iter,keygen_ns
0,39541406
1,23306777
2,18217386
3,14804865
4,14196798
5,27963210
6,21083486
7,29603360
8,13628081
9,22751190
10,14210983
11,15306860
12,20534788
13,14747995
14,17113323
15,15322008
16,20424900
17,16511700
18,14181242
19,13622933
20,16438997
21,17631873
22,13615730
23,14764625
24,14209057
25,17081749
26,25190888
27,31660524
28,23240964
29,24241971
30,20453863
31,13632822
32,19399448
33,16459515
34,16490477
35,13620692
36,14776181
37,18221793
38,13629840
39,21050209
40,14766551
41,15337712
42,15932965
43,17045490
44,14781255
45,14184186
46,17595911
47,14751162
48,27883619
49,15927187
50,15892780
51,13613249
52,23918604
53,22219641
54,15898095
55,17023732
56,26469467
57,30424223
58,29022534
59,17704225
60,13660637
61,15355545
62,27983433
63,23405739
64,24014696
65,30259187
66,19345188
67,21675220
68,14790458
69,16514866
70,15355082
71,17568244
72,17617503
73,15922817
74,19455576
75,14788365
76,13625451
77,21678480
78,16447496
79,21103708
80,17030750
81,22213955
82,16499515
83,14182169
84,16473996
85,23953585
86,19344597
87,21061578
88,42817316
89,18132238
90,17077768
91,14201816
92,21555277
93,15931409
94,17037064
95,14750459
96,18832287
97,24442322
98,14176316
99,13618692
100,14786569
101,15307693
102,14756663
103,38795395
104,15888669
105,16421423
106,29587842
107,18267959
108,17039175
109,22766671
110,20525492
111,17633558
112,23347981
113,25077815
114,17659447
115,14764625
116,13610156
117,15294378
118,17633707
119,13627952
120,13612026
121,17086842
122,15915928
123,15324101
124,32889104
125,14183797
126,14793310
127,18764547
128,19902794
129,17031083
130,34180091
131,21066542
132,15907132
133,18844287
134,26313821
135,14172650
136,15305360
137,16494682
138,15922095
139,23318556
140,14202279
141,14188186
142,14766236
143,13609600
144,13615396
145,16422404
146,22803079
147,19410244
148,22183530
149,25121963
150,15298953
151,19376559
152,20471307
153,16470070
154,15325823
155,17622392
156,15890039
157,15888947
158,14765162
159,20997931
160,15309008
161,14171039
162,27375328
163,13618526
164,20536750
165,14762995
166,16452793
167,13619692
168,15315935
169,24469358
170,25617791
171,13620711
172,13608544
173,13619082
174,19371152
175,13621896
176,16454367
177,15327823
178,32287926
179,26693910
180,19928719
181,16496441
182,13615767
183,15327989
184,14746996
185,17637355
186,14176946
187,24560042
188,14171058
189,14182965
190,28511279
191,20961376
192,14207186
193,20585157
194,18239571
195,14201687
196,19334985
197,15923058
198,14730033
199,27357754
200,19364781
201,21071912
202,33200379
203,18177738
204,15326101
205,21077541
206,27876156
207,31898041
208,13656785
209,18188886
210,18695603
211,19313115
212,18755361
213,28488669
214,17617410
215,14789421
216,17580300
217,17593818
218,17683539
219,19892517
220,15313990
221,20438103
222,14174316
223,27346254
224,14217853
225,19940276
226,15860836
227,15333249
228,14171816
229,19908998
230,14205149
231,33735317
232,13618822
233,33694374
234,23940048
235,16004446
236,17663429
237,13631933
238,15308175
239,14176928
240,22778264
241,20441103
242,14769939
243,13613822
244,18786343
245,15890706
246,14171872
247,29647064
248,30207225
249,20416900
250,19873387
251,25548902
252,14195779
253,13619100
254,17594633
255,17599467
256,18140461
257,15906650
258,15873558
259,18095331
260,27652381
261,18145146
262,14165020
263,16476866
264,14164984
265,15315675
266,16977213
267,16509959
268,13608803
269,14741181
270,17512190
271,18171164
272,17595225
273,14745884
274,18760824
275,20551491
276,31211844
277,22709784
278,19823684
279,24323100
280,16427682
281,14747347
282,18093387
283,18752232
284,22156993
285,18149905
286,15295083
287,39742812
288,17636799
289,14188224
290,25493681
291,34029778
292,26277340
293,19280819
294,14764366
295,25570884
296,15887447
297,14762625
298,15906761
299,15356415
300,15358415
301,18105665
302,15337267
303,22669728
304,18677047
305,14745996
306,13609063
307,26778352
308,14184075
309,13613841
310,14718792
311,26732205
312,14189001
313,31300065
314,19846924
315,13613711
316,14747959
317,18732325
318,26114693
319,16988825
320,34716437
321,14746588
322,18182645
323,19346874
324,21632869
325,21626332
326,14777922
327,34650234
328,19884610
329,13610434
330,18172071
331,14718477
332,14190279
333,13606322
334,23871457
335,16463848
336,23233612
337,18706899
338,15325305
339,27300681
340,26069619
341,15887928
342,18129905
343,21556111
344,20355901
345,51648022
346,15323990
347,15878391
348,14714347
349,24957723
350,18096479
351,19848980
352,23196260
353,19322004
354,23258889
355,18120034
356,14714440
357,21570296
358,17633632
359,16494330
360,14720329
361,15863040
362,15293416
363,22109068
364,22787506
365,32418979
366,35704760
367,13610359
368,15857947
369,16421219
370,21479056
371,25675068
372,14177483
373,18638455
374,21470797
375,22241863
376,18742047
377,15296193
378,19865888
379,25486644
380,30726534
381,23782995
382,15856336
383,19880331
384,14743866
385,22110179
386,14172094
387,18643511
388,15275342
389,26156211
390,14733552
391,17600429
392,32309055
393,15329008
394,22671136
395,31191900
396,14169612
397,21526537
398,14195076
399,16435923
400,14193872
401,17008120
402,16941251
403,16465292
404,14751921
405,20423233
406,15859465
407,13610545
408,32971678
409,18104849
410,22181974
411,14160817
412,19814796
413,15900595
414,18099239
415,44186636
416,41172778
417,14723681
418,15343101
419,28248744
420,14167668
421,18134220
422,13617452
423,28273319
424,18715787
425,14752570
426,17079898
427,13618915
428,14196631
429,14766495
430,25392201
431,23216205
432,36268107
433,18795972
434,18156404
435,17528263
436,18115979
437,22173622
438,22728950
439,13605138
440,14190872
441,17024102
442,17019936
443,19263338
444,17555799
445,16479255
446,18721862
447,19293689
448,15301675
449,18117831
450,17621299
451,16978861
452,17026750
453,13605100
454,15335397
455,28999478
456,20412381
457,31169603
458,20879599
459,15307101
460,18720844
461,19899739
462,14754570
463,13622341
464,32332999
465,14802402
466,14772625
467,26747335
468,27752546
469,26587466
470,20512306
471,15855188
472,16516922
473,15291915
474,14188613
475,14723607
476,15316860
477,15324786
478,14185650
479,29508769
480,15913761
481,18776232
482,18769398
483,14186668
484,27613029
485,27731805
486,33932038
487,15878002
488,24998149
489,19283838
490,14740829
491,14737292
492,17543930
493,13615100
494,15855836
495,17548096
496,14189353
497,19852480
498,16990250
499,13609729
