iter,keygen_ns
0,209275
1,209109
2,208295
3,213109
4,211275
5,212128
6,208424
7,211461
8,211164
9,225924
10,211516
11,211349
12,209331
13,209164
14,211479
15,211424
16,212127
17,209183
18,210294
19,206571
20,210034
21,209016
22,210295
23,212386
24,212350
25,208998
26,209220
27,209239
28,243405
29,213424
30,209220
31,210220
32,208257
33,210183
34,210090
35,212146
36,211461
37,209164
38,210313
39,209887
40,211127
41,210997
42,209128
43,208090
44,208165
45,208128
46,213516
47,223442
48,211535
49,210998
50,210183
51,211257
52,212220
53,208072
54,211016
55,211128
56,211220
57,210016
58,209887
59,209979
60,212869
61,210942
62,212368
63,209961
64,209220
65,209183
66,220072
67,209183
68,212405
69,209072
70,208313
71,211275
72,214054
73,207201
74,211461
75,210313
76,208460
77,211258
78,211275
79,210980
80,212146
81,210960
82,211257
83,208072
84,210331
85,217405
86,210498
87,209424
88,211479
89,210535
90,210350
91,209331
92,211609
93,212350
94,211516
95,210424
96,208183
97,212294
98,209461
99,210276
100,212720
101,212405
102,209220
103,208054
104,218220
105,208109
106,210535
107,211201
108,210220
109,208849
110,211572
111,209220
112,211498
113,213350
114,208072
115,207516
116,1650205
117,274479
118,567309
119,250072
120,213591
121,214961
122,213183
123,210701
124,216646
125,218683
126,215572
127,214201
128,221220
129,215146
130,216665
131,213961
132,257016
133,228553
134,209905
135,210683
136,210609
137,210239
138,210683
139,211497
140,214572
141,931750
142,262589
143,214942
144,1075174
145,274683
146,237350
147,217072
148,211479
149,210665
150,471254
151,367830
152,225368
153,331404
154,327423
155,218553
156,212313
157,209757
158,210275
159,230591
160,213701
161,210831
162,209831
163,206535
164,211646
165,209868
166,208961
167,206590
168,210795
169,208720
170,208683
171,210757
172,209720
173,209979
174,207868
175,208869
176,208701
177,209961
178,241461
179,210979
180,210924
181,209627
182,208998
183,209665
184,210090
185,209683
186,209739
187,209628
188,210664
189,210794
190,208850
191,208516
192,209775
193,209591
194,210201
195,209461
196,223146
197,208702
198,210998
199,208831
200,212035
201,209868
202,208812
203,209628
204,209887
205,210479
206,209905
207,210757
208,210813
209,209849
210,212665
211,209739
212,210886
213,208850
214,213257
215,220423
216,212109
217,210091
218,210776
219,208498
220,210776
221,207701
222,209869
223,212664
224,209998
225,210646
226,210979
227,210702
228,208850
229,209683
230,210831
231,210757
232,208943
233,210738
234,226461
235,214461
236,210961
237,210979
238,210332
239,211109
240,208757
241,209035
242,214201
243,208906
244,211164
245,211109
246,209739
247,210961
248,213442
249,211702
250,211035
251,211201
252,211739
253,245053
254,217738
255,211072
256,210980
257,210016
258,211109
259,208980
260,213072
261,211960
262,213035
263,210609
264,208887
265,208868
266,208054
267,209757
268,210016
269,208665
270,207831
271,208628
272,253219
273,212905
274,211942
275,209924
276,213924
277,209498
278,209812
279,212091
280,211109
281,211869
282,210960
283,210646
284,208053
285,210795
286,209942
287,211924
288,209887
289,209775
290,212887
291,224146
292,212498
293,208127
294,211961
295,212924
296,211035
297,210942
298,210943
299,209960
300,209702
301,212831
302,211943
303,209849
304,210961
305,210461
306,213072
307,211646
308,211776
309,207794
310,220054
311,212646
312,210109
313,210812
314,208979
315,210016
316,205646
317,209832
318,210998
319,210609
320,210923
321,211776
322,210776
323,209664
324,210906
325,208849
326,210794
327,211924
328,209831
329,220850
330,209998
331,207979
332,210905
333,209961
334,207776
335,209868
336,209646
337,210035
338,205831
339,208739
340,208776
341,210757
342,211980
343,211720
344,212979
345,210702
346,210775
347,212016
348,221053
349,210739
350,208979
351,212868
352,212905
353,208683
354,208720
355,208905
356,209739
357,210664
358,210738
359,211202
360,213294
361,208794
362,209924
363,206665
364,209813
365,210701
366,211869
367,218942
368,212905
369,212072
370,209831
371,208054
372,213035
373,208572
374,210868
375,209646
376,210128
377,210775
378,209646
379,207665
380,209683
381,207868
382,209720
383,207832
384,208905
385,210813
386,243942
387,215942
388,210072
389,211794
390,208794
391,211739
392,212757
393,210646
394,208924
395,208850
396,209868
397,210886
398,211109
399,208739
400,209757
401,208609
402,210942
403,210572
404,224887
405,211183
406,209961
407,211757
408,210165
409,208738
410,210850
411,209868
412,210943
413,209868
414,210109
415,209665
416,208534
417,211794
418,209887
419,210535
420,209776
421,211775
422,207776
423,221331
424,211128
425,210905
426,210924
427,209905
428,209683
429,208628
430,208775
431,211998
432,210201
433,211035
434,208831
435,212923
436,210961
437,211665
438,212979
439,209646
440,210609
441,214535
442,223460
443,208869
444,209868
445,210146
446,208868
447,210053
448,205535
449,210165
450,209831
451,211887
452,208516
453,207869
454,208831
455,212849
456,209868
457,208998
458,209794
459,209850
460,211720
461,229202
462,210923
463,210701
464,207979
465,211720
466,208757
467,210998
468,208683
469,209961
470,208757
471,211924
472,208535
473,209868
474,209813
475,209924
476,211128
477,210109
478,208776
479,209923
480,219443
481,210942
482,208108
483,209664
484,207868
485,211720
486,209923
487,209702
488,209905
489,209665
490,211831
491,208757
492,211905
493,210665
494,207794
495,209849
496,211053
497,209646
498,210887
499,217683
500,212794
501,209776
502,209738
503,208943
504,211849
505,209887
506,211887
507,211072
508,209776
509,208849
510,212961
511,209813
512,208794
513,212813
514,206664
515,212906
516,207794
517,208998
518,217849
519,208701
520,211072
521,208739
522,211775
523,207758
524,208812
525,208554
526,209016
527,211887
528,210776
529,210794
530,208701
531,207849
532,211683
533,210757
534,208738
535,209517
536,210702
537,216146
538,209497
539,212386
540,211757
541,210869
542,209757
543,209850
544,208776
545,210942
546,208794
547,209794
548,210683
549,207905
550,207887
551,208887
552,210794
553,210776
554,211868
555,211979
556,217423
557,211535
558,210220
559,207850
560,211035
561,209739
562,211998
563,208479
564,209757
565,209646
566,209850
567,210646
568,211739
569,207849
570,209794
571,210868
572,210831
573,210720
574,211868
575,218072
576,208665
577,212165
578,207850
579,212035
580,207646
581,211664
582,208720
583,210554
584,209979
585,207794
586,208739
587,211053
588,211849
589,212035
590,210017
591,209979
592,209831
593,208980
594,217183
595,211423
596,209072
597,210832
598,210831
599,207776
600,210757
601,210664
602,208831
603,208664
604,211924
605,210609
606,212905
607,208535
608,209054
609,210554
610,212738
611,207942
612,210886
613,216998
614,212998
615,211016
616,210869
617,209683
618,210701
619,209813
620,209554
621,208960
622,207665
623,209905
624,208720
625,212869
626,209701
627,210665
628,208850
629,212923
630,209721
631,211813
632,217590
633,212350
634,209072
635,210609
636,207887
637,208775
638,210739
639,207868
640,209924
641,210794
642,209832
643,207905
644,212887
645,209498
646,209090
647,210720
648,207868
649,207775
650,211276
651,219943
652,211738
653,210831
654,212942
655,208924
656,210739
657,210683
658,208924
659,207757
660,210887
661,209609
662,209923
663,209813
664,210072
665,210628
666,212775
667,211850
668,208091
669,209720
670,216812
671,210572
672,211109
673,211720
674,210665
675,209664
676,207997
677,207590
678,211813
679,209646
680,210850
681,207739
682,210035
683,210646
684,209683
685,207720
686,209961
687,209683
688,213035
689,218868
690,209924
691,210942
692,211757
693,209072
694,211739
695,210127
696,210628
697,209905
698,208794
699,212849
700,210646
701,208831
702,208868
703,210757
704,210035
705,209980
706,211720
707,210609
708,217868
709,209813
710,209997
711,209849
712,208850
713,212016
714,208739
715,211702
716,207849
717,207813
718,209924
719,208572
720,210887
721,208831
722,213109
723,208979
724,210776
725,208683
726,212702
727,223849
728,212720
729,208795
730,210868
731,211664
732,210757
733,208831
734,209813
735,211738
736,208998
737,211757
738,209850
739,212776
740,208757
741,208942
742,210646
743,208794
744,209738
745,210702
746,218683
747,212072
748,209831
749,209701
750,209887
751,210924
752,208794
753,208924
754,209812
755,208646
756,211127
757,209832
758,208090
759,207609
760,210794
761,210887
762,209998
763,210739
764,210720
765,216664
766,209757
767,210905
768,211961
769,208923
770,210497
771,211128
772,206794
773,207757
774,208887
775,210831
776,210869
777,208923
778,211721
779,212683
780,211831
781,210887
782,209979
783,209794
784,218516
785,211665
786,212071
787,210831
788,212016
789,209572
790,208831
791,208739
792,209998
793,210739
794,211960
795,209887
796,211831
797,206813
798,210720
799,209554
800,209868
801,207831
802,208924
803,218794
804,209128
805,210924
806,210998
807,207979
808,212257
809,210664
810,210905
811,210998
812,210683
813,212035
814,208831
815,210794
816,210998
817,208683
818,209757
819,210794
820,211128
821,209850
822,215349
823,209720
824,211035
825,209849
826,209776
827,212831
828,210887
829,210720
830,209035
831,208591
832,210664
833,209776
834,209701
835,211832
836,208831
837,209942
838,210776
839,212664
840,209758
841,217275
842,212646
843,208257
844,209683
845,210738
846,207609
847,208628
848,209794
849,209794
850,209572
851,210091
852,209683
853,210646
854,208757
855,209887
856,209702
857,211738
858,209906
859,208794
860,215775
861,212812
862,209202
863,210924
864,208960
865,211775
866,208924
867,209776
868,209905
869,208646
870,209998
871,208850
872,210849
873,210831
874,210868
875,207905
876,208794
877,208849
878,212757
879,217294
880,211868
881,209868
882,209924
883,210998
884,211664
885,208554
886,210720
887,209924
888,209868
889,207812
890,208776
891,207776
892,209109
893,213961
894,211998
895,207998
896,208868
897,207720
898,216516
899,213831
900,210813
901,210868
902,212128
903,210683
904,208646
905,208627
906,210850
907,207813
908,210887
909,208646
910,210720
911,209442
912,211868
913,211535
914,207720
915,211813
916,210979
917,217850
918,208572
919,211109
920,211053
921,210831
922,212016
923,211813
924,210831
925,211016
926,208739
927,208924
928,213831
929,211849
930,211608
931,208757
932,210590
933,209776
934,208868
935,210942
936,218831
937,208738
938,212831
939,209646
940,209998
941,209702
942,206812
943,212850
944,208109
945,209702
946,212053
947,210776
948,209979
949,210813
950,213294
951,212757
952,212757
953,212942
954,210887
955,217571
956,211146
957,210108
958,209849
959,212091
960,209702
961,207720
962,210572
963,213016
964,211609
965,206701
966,210609
967,211072
968,210906
969,209831
970,207665
971,209738
972,208646
973,208813
974,223368
975,211961
976,210924
977,213164
978,209776
979,210831
980,210905
981,208923
982,211906
983,207849
984,210924
985,209776
986,208813
987,211738
988,208739
989,210739
990,208849
991,208795
992,211905
993,219164
994,210609
995,210832
996,210886
997,207869
998,212701
999,210943
1000,210534
1001,213090
1002,210739
1003,208720
1004,210461
1005,210683
1006,209886
1007,209998
1008,210906
1009,208849
1010,211850
1011,210850
1012,215664
1013,211128
1014,211109
1015,211739
1016,208942
1017,211794
1018,209887
1019,212868
1020,209183
1021,211035
1022,208960
1023,209868
1024,209831
1025,210553
1026,210665
1027,208646
1028,209702
1029,209553
1030,210831
1031,218757
1032,209702
1033,207665
1034,210886
1035,211869
1036,211868
1037,210850
1038,211849
1039,206480
1040,211609
1041,210850
1042,210702
1043,209923
1044,209868
1045,208701
1046,207850
1047,208813
1048,213924
1049,212090
1050,218739
1051,210664
1052,209813
1053,210183
1054,211794
1055,212757
1056,207906
1057,211664
1058,209720
1059,209646
1060,211943
1061,210664
1062,209961
1063,211887
1064,209776
1065,210720
1066,210812
1067,208943
1068,208646
1069,216146
1070,210850
1071,209942
1072,210535
1073,211683
1074,210906
1075,209016
1076,209757
1077,210887
1078,210868
1079,209887
1080,210942
1081,210757
1082,208702
1083,211887
1084,209701
1085,210924
1086,209739
1087,210942
1088,218313
1089,208924
1090,210961
1091,208961
1092,210923
1093,213813
1094,209850
1095,209794
1096,210961
