iter,sign_ns,verify_ns
0,782214,353533
1,589512,353737
2,1556948,353552
3,591902,353718
4,590513,353534
5,781973,353682
6,590624,353534
7,590439,361256
8,5487631,354144
9,5086913,353515
10,1023009,353849
11,590809,353459
12,2967323,353756
13,2197904,353441
14,1752538,353737
15,2003962,353460
16,2089831,353756
17,2822713,353459
18,2609530,361219
19,1710095,354145
20,1026453,353552
21,2066887,353682
22,1267728,353571
23,1074193,353774
24,1036841,353552
25,591383,353737
26,2375866,353571
27,589864,353681
28,3156413,353533
29,591197,360923
30,1032916,354071
31,1510356,353793
32,591050,353515
33,1952591,353737
34,783603,353497
35,973527,353811
36,782363,353497
37,1173618,353737
38,1943018,353589
39,2285829,353700
40,590624,353515
41,1268414,361848
42,589661,353867
43,1075711,353533
44,1607928,353774
45,1460060,353516
46,589883,353700
47,2627326,353571
48,781252,353682
49,1760946,353534
50,1945425,353700
51,2197349,353533
52,590883,361792
53,5089395,353996
54,1025952,353719
55,2149757,353552
56,592217,353682
57,5242022,353497
58,2006925,353682
59,1267950,353590
60,832158,353737
61,1903685,353515
62,1459060,353682
63,590642,360718
64,1082026,354274
65,1268988,353589
66,832751,353700
67,1223655,353552
68,1075934,353682
69,974083,353534
70,1269432,353719
71,789770,353497
72,1267025,353682
73,831658,353515
74,589809,360737
75,1075897,354404
76,2146590,353700
77,590438,353497
78,1026008,353663
79,1325635,353497
80,591346,353645
81,834269,353497
82,1269451,353645
83,2144497,353478
84,834010,353663
85,3317115,353478
86,3881684,360941
87,1024990,353885
88,781715,353645
89,2530864,353496
90,1461152,353663
91,1034657,353478
92,591291,353626
93,1075879,353515
94,589513,353626
95,1030693,353460
96,2376810,353663
97,1269099,361608
98,1280246,354201
99,590716,353478
100,1752334,353700
101,590494,353590
102,6112385,353608
103,1075138,353534
104,2003073,353644
105,1025638,353534
106,590550,353626
107,1245321,353478
108,1327875,360886
109,891398,354015
110,2791083,353719
111,1245061,353441
112,1647947,353700
113,1420023,353441
114,1756316,353682
115,2148812,353423
116,1268135,353700
117,780733,353404
118,589902,353719
119,1225765,353422
120,1077434,361311
121,1219673,353830
122,1712446,353533
123,2621345,353663
124,2818454,353516
125,781900,353626
126,842436,353441
127,2620012,353644
128,642771,353496
129,1297191,353608
130,641142,353441
131,1236914,361515
132,810918,354460
133,606439,353867
134,1227433,354126
135,822529,353848
136,1092415,354126
137,2205293,353811
138,1279561,354126
139,1753076,353830
140,1319580,354126
141,1068712,353811
142,1256487,360978
143,677493,354663
144,843807,353922
145,1270395,354071
146,3065488,353885
147,1717075,354089
148,1548448,353904
149,635587,354034
150,1170359,353867
151,2027554,354052
152,2233182,353849
153,985879,366274
154,4083831,354959
155,1946925,354071
156,4174329,353904
157,835973,354071
158,589605,353941
159,3883591,354071
160,792603,353923
161,597068,354089
162,605309,353959
163,1064175,354070
164,1359375,353903
165,1157970,361441
166,1021786,354108
167,1026027,353478
168,1645946,353737
169,2015480,353460
170,973786,353775
171,1083637,353497
172,1948073,353774
173,1904314,353478
174,2661103,353774
175,793585,353515
176,1026583,366126
177,831955,353923
178,2049313,353756
179,1317987,353515
180,1510430,353737
181,3799277,353478
182,3073266,353719
183,591254,353533
184,1023694,353737
185,2585659,353459
186,591883,353737
187,973435,360996
188,2769102,354219
189,832196,353589
190,1036546,353737
191,3688279,353571
192,835696,353774
193,783067,353534
194,1843593,353718
195,5111950,353552
196,595124,353719
197,1073211,353497
198,782288,353700
199,589809,361941
200,1574521,353793
201,783307,353515
202,2197275,353756
203,784992,353533
204,1023509,353737
205,833307,353515
206,1021786,353718
207,845622,353533
208,3308523,353737
209,787492,353533
210,590383,361126
211,1994684,353903
212,599198,353737
213,2481364,353533
214,3782685,353700
215,593827,353534
216,3348819,353700
217,1215877,353607
218,793511,353700
219,1077082,353552
220,1457023,353663
221,1214544,361033
222,2344699,354330
223,1956277,353571
224,833103,353719
225,2381143,353552
226,596939,353700
227,832473,353515
228,2132294,353663
229,1276432,353552
230,590327,353738
231,1025287,353552
232,780974,360700
233,832065,354515
234,1711853,353737
235,781937,353571
236,832807,353682
237,1329431,353515
238,1653280,353682
239,1075452,353515
240,2769028,353737
241,832899,353515
242,782270,353682
243,1223710,353534
244,2002925,361460
245,3111895,354386
246,4175126,354071
247,974250,353959
248,2003202,354070
249,590327,353904
250,589494,354015
251,589901,353922
252,1075082,354052
253,1851834,353904
254,2525549,354033
255,590994,361348
256,782307,354108
257,1407690,353570
258,589531,353719
259,982898,353570
260,831862,353774
261,2476309,353608
262,1605595,353718
263,1601317,353571
264,3202969,353719
265,832880,353534
266,3251079,360904
267,3307060,354070
268,2961082,353756
269,590549,353497
270,832010,353737
271,1075823,353478
272,831659,353737
273,1900518,353533
274,1842592,353756
275,1274969,353460
276,2134071,353719
277,832047,353478
278,2386088,361663
279,831862,353570
280,783474,353792
281,3494688,353534
282,1764334,353719
283,3640019,353552
284,1078916,353719
285,1893907,353478
286,1326876,353792
287,2135775,353478
288,590198,353756
289,1656150,361238
290,1075712,354145
291,589550,353459
292,1953314,353719
293,2524142,353497
294,870825,353737
295,1946796,353478
296,590624,353793
297,2192682,353496
298,1703946,353737
299,5530741,353478
300,591679,360997
301,590402,354274
302,1024231,353534
303,1358968,353774
304,1468596,353571
305,2872009,353700
306,591402,353571
307,1754908,353681
308,1024934,353608
309,1660150,353682
310,782510,353534
311,2090832,360645
312,591143,354422
313,1167322,353830
314,1408542,353496
315,2246922,353663
316,1216858,353552
317,4073626,353700
318,2962952,353534
319,3255987,353682
320,1319487,353515
321,1268117,353719
322,1711705,353570
323,591624,361441
324,1996258,354311
325,3105358,354071
326,591254,353904
327,4704861,354070
328,591494,353885
329,1215895,354052
330,781678,353904
331,782066,354070
332,647475,353923
333,1464838,354070
334,1793500,361293
335,599550,354052
336,3589780,353552
337,1225302,353682
338,591050,353570
339,1218117,353719
340,1074545,353515
341,1035860,353626
342,1074748,353552
343,832733,353701
344,5044450,353497
345,2679177,361015
346,1607688,354330
347,1027101,353552
348,590179,353718
349,590031,353534
350,1026472,353719
351,1519485,353496
352,1510837,353719
353,1749631,353515
354,591457,353718
355,1650688,353570
356,591087,353719
357,1609911,361423
358,784307,353793
359,1316728,353608
360,1074656,353701
361,1609984,353515
362,3348671,353682
363,1075508,353552
364,2962489,353682
365,3978591,353533
366,1510874,353719
367,590531,353534
368,2671862,361126
369,1319469,354182
370,782474,353515
371,1274413,353811
372,1755501,353497
373,1758557,353792
374,592291,353515
375,590587,353775
376,1076007,353460
377,590050,353812
378,1227080,353478
379,3008137,360978
380,2587549,354330
381,1905851,353570
382,1268284,353755
383,1894500,353515
384,3018748,353737
385,592198,353515
386,782567,353682
387,1084897,353533
388,3730278,353738
389,2087943,353515
390,1952740,360774
391,590920,354182
392,1894260,353700
393,781733,353589
394,3836499,353737
395,3015970,353608
396,1269191,353681
397,1034286,353552
398,1894759,353719
399,1274895,353608
400,1409838,353700
401,589938,353552
402,3208172,361478
403,591124,354311
404,590328,354108
405,4558362,353978
406,783455,354089
407,1274784,353922
408,1703131,354163
409,589642,353941
410,1085786,354034
411,833436,353922
412,1266561,354033
413,2528882,384163
414,1458393,354534
415,1712187,353534
416,974583,353718
417,2187108,353589
418,1904981,353700
419,2785009,355292
420,5017802,353737
421,592124,353552
422,1841241,353737
423,597623,353552
424,1319802,361941
425,1075323,354274
426,1785278,353534
427,1026527,353793
428,973472,353478
429,2103554,353682
430,835492,353608
431,831880,353700
432,832381,353515
433,1469707,353700
434,1457393,353515
435,1944610,360996
436,597327,354293
437,2811435,353775
438,788622,353589
439,2612622,353719
440,589106,353589
441,980490,353737
442,1409115,353589
443,590476,353718
444,1316357,353515
445,1898203,353812
446,1025564,353570
447,2907268,365404
448,1651410,353996
449,588531,353793
450,598068,353515
451,2468013,353701
452,589698,353571
453,1760927,353755
454,1356469,353590
455,3881517,353719
456,832474,353608
457,781937,353737
458,798214,361404
459,1458838,354107
460,1266987,353571
461,589254,353719
462,839733,353534
463,832344,353700
464,780178,353552
465,1993443,353830
466,589994,353534
467,1508762,353719
468,2334033,353607
469,7008930,361071
470,1325635,354349
471,588846,353552
472,1026361,353719
473,1515448,353533
474,1266154,353681
475,1510041,353533
476,588976,353700
477,597291,353589
478,590272,353663
479,832399,353496
480,780955,353681
481,2435513,361552
482,3057155,353923
483,789862,353515
484,1217284,353681
485,5272670,353552
486,589216,353701
487,1706095,353515
488,589309,353663
489,832566,353590
490,588995,353756
491,1515096,353608
492,590309,361200
493,2132627,353923
494,1416356,353719
495,781511,353626
496,1841408,353700
497,2471735,353534
498,589735,353682
499,1023527,353589
500,1080600,353719
501,781659,353589
502,1213895,353682
503,2478938,360904
504,1265821,354311
505,1022527,353589
506,1900259,353737
507,2224182,353515
508,597068,353756
509,2567548,353534
510,1032212,353701
511,973454,353534
512,3977590,353700
513,783011,353553
514,589198,360737
515,2576030,354478
516,1410227,353700
517,589828,353552
518,589383,353682
519,982934,353552
520,590402,353681
521,589809,353533
522,2089331,353700
523,2144183,353552
524,973749,353719
525,972453,353515
526,1518281,365533
527,832065,354385
528,3251857,354089
529,1267339,353923
530,1656262,354089
531,1357598,353959
532,589198,354033
533,2579122,353941
534,3049822,354071
535,1218062,353923
536,831325,354089
537,2437920,361607
538,2902287,354441
539,596142,353923
540,1890518,354126
541,3688408,353904
542,3343504,354108
543,2273533,353941
544,589402,354089
545,1223692,353904
546,1023787,354089
547,1073749,353922
548,1083490,361293
549,590087,354663
550,1983203,353923
551,2041184,354052
552,2083553,353922
553,2630307,354089
554,1802019,353922
555,3779685,354089
556,2963508,353904
557,589735,354108
558,588679,353904
559,589975,360849
560,2957452,355034
561,1901666,354089
562,2081479,353922
563,832547,354089
564,3976164,353886
565,3299319,354089
566,1415393,353904
567,2469364,354071
568,1164229,353923
569,1275839,354108
570,1023879,353922
571,780566,361589
572,833695,354534
573,839529,353904
574,1026731,354182
575,971731,353885
576,2331792,354163
577,2760288,353923
578,2144627,354182
579,833103,353867
580,2287218,354145
581,589957,353867
582,1214988,361237
583,780177,354534
584,1811056,353941
