iter,keypair,sign,verify
0,5138624,16053594,5554590
1,5040139,16706054,5541619
2,5009643,26489638,5544674
3,4977443,54055298,5542508
4,5005303,12786718,5543078
5,5074745,12777210,5538387
6,5069187,12091070,5537146
7,4944887,8835956,5541324
8,5007803,8836360,5540440
9,5036335,12093348,5540580
10,5003855,8848778,5541282
11,5074019,23220828,5539461
12,4975428,25106112,5542354
13,4973311,8837450,5539188
14,4946181,12772564,5539988
15,5039695,8832670,5547544
16,4977413,36905552,5539823
17,4979255,16042406,5542222
18,5038499,16025142,5541694
19,4917293,23215494,5547136
20,4978647,16037464,5539670
21,4976361,8838398,5539962
22,5036989,23907444,5543954
23,5100595,23928334,5544102
24,4915033,37609290,5540319
25,5067585,8836056,5545080
26,4944103,37600990,5541964
27,5098111,12096594,5540312
28,4976715,8835360,5539773
29,5007057,12775768,5544438
30,5009043,36910852,5544530
31,5040661,8849730,5540802
32,5042445,8834352,5544994
33,5002363,12087866,5541386
34,5071019,19278756,5539752
35,5008645,33661372,5541402
36,5039221,12777060,5541158
37,4979487,19976862,5541263
38,5039537,8835137,5541470
39,5068959,23207422,5546938
40,5009667,12095424,5540755
41,5107089,12092288,5542356
42,5040391,16022084,5539822
43,5069805,15330362,5541819
44,5038843,23899942,5540362
45,5074395,44081248,5539446
46,5101703,12779144,5539776
47,5037957,8835522,5545079
48,4980937,12088616,5540706
49,5038435,36234970,5542224
