iter,keypair,encaps,decaps
0,1334284,1457764,1778326
1,1237224,1438768,1757045
2,1232627,1433394,1762949
3,1240120,1433240,1761797
4,1230673,1439560,1761205
5,1240637,1435206,1762485
6,1230767,1433492,1756297
7,1228807,1433206,1759637
8,1238567,1431088,1760831
9,1238763,1431838,1758731
10,1234099,1432874,1755561
11,1234855,1437787,1755289
12,1229885,1439538,1761051
13,1231621,1432508,1757109
14,1234119,1438330,1756521
15,1228949,1437076,1756449
16,1230146,1432216,1763775
17,1233993,1433026,1761721
18,1231367,1432788,1758273
19,1231235,1435214,1756503
20,1231783,1437650,1759457
21,1232613,1433732,1758485
22,1235365,1431890,1762879
23,1230541,1434850,1762967
24,1263137,1461980,1789521
25,1232633,1432122,1757279
26,1231817,1438070,1755809
27,1235303,1432684,1762001
28,1231769,1432296,1757493
29,1231273,1433974,1758859
30,1233695,1432026,1758134
31,1235601,1434478,1759539
32,1236373,1438364,1764523
33,1231351,1431972,1761661
34,1235493,1431044,1762831
35,1236551,1430736,1756967
36,1230767,1438180,1756821
37,1232837,1428852,1756373
38,1232509,1432316,1758219
39,1233611,1431918,1757985
40,1237249,1437682,1761713
41,1229679,1439764,1758059
42,1235603,1431414,1761125
43,1233863,1435770,1760103
44,1231233,1436690,1761163
45,1233147,1436232,1758411
46,1235967,1431696,1758823
47,1235869,1435417,1757247
48,1232887,1432785,1759291
49,1233333,1433175,1756587
