class,cycles
0,64407655
1,64546212
0,64784409
1,64649064
0,64591988
1,64797488
0,64565737
1,64733865
0,64727216
1,65007867
0,64740365
1,64753482
0,64678472
1,64807374
0,64562637
1,64875666
0,64516943
1,64668639
0,64497448
1,64724076
0,64746907
1,64639213
0,64675097
1,64849626
0,64543064
1,64885621
0,64756656
1,64733876
0,64694783
1,64730609
0,64730576
1,64569082
0,64813861
1,64474514
0,64616380
1,64526723
0,64665247
1,64843136
0,64636106
1,64740460
0,64784396
1,64619707
0,64684964
1,64533313
0,64622941
1,64427182
0,64635968
1,64582157
0,64717597
1,64500658
0,64565836
1,64717452
0,64791035
1,64753482
0,64629550
1,64717515
0,64795524
1,64803987
0,64859485
1,64639260
0,64885611
1,64536460
0,64724026
1,64759886
0,64595173
1,64464742
0,64636087
1,64642500
0,64451712
1,64813836
0,64743204
1,64759865
0,64794239
1,64777936
0,64582170
1,64629447
0,64613129
1,64507003
0,64569082
1,64697990
0,64911691
1,64655660
0,64694796
1,64678460
0,64613184
1,64569174
0,64704529
1,64675135
0,64839836
1,64823551
0,64707725
1,64694720
0,64753529
1,64701097
0,64454991
1,64882236
0,64544944
1,64575560
0,64875694
1,64681649
0,64971938
1,64681704
0,64572339
1,64642724
0,64800842
1,64639246
0,64684918
1,64746929
0,64658854
1,64955704
0,64629554
1,64823762
0,64797443
1,64629438
0,64629489
1,64830138
0,64790891
1,64800756
0,64371833
1,64559246
0,64823546
1,64487574
0,64839896
1,64678411
0,64707797
1,64888768
0,64474366
1,64988204
0,64665388
1,64549496
0,64777877
1,64965655
0,64810557
1,64784441
0,64823486
1,64619743
0,64629465
1,65011089
0,65033981
1,64740458
0,64665422
1,64704381
0,64616458
1,64892029
0,64691452
1,64691451
0,64684893
1,64613234
0,64737009
1,64794160
0,64659133
1,64675133
0,64704531
1,64820380
0,64539904
1,64701144
0,65001411
1,64591937
0,64585415
1,64595275
0,64803894
1,64911593
0,64526775
1,64451634
0,64833324
1,64569166
0,64663922
1,64733821
0,64678500
1,64823549
0,64503816
1,64820364
0,64467925
1,64635957
0,64430505
1,64582102
0,64688102
1,64723971
0,64846385
1,64717499
0,64691511
1,64582054
0,64585366
1,64533202
0,64490845
1,64978504
0,64549569
1,64622987
0,64836582
1,64746863
0,64658861
1,64694736
0,64569088
1,64665366
0,64613206
1,64734035
0,64823515
1,64746992
0,64846354
1,64671873
0,64733763
1,64500617
0,64740452
1,64588595
0,64717577
1,64626153
0,64575614
1,64820224
0,64684901
1,64737163
0,64750086
1,64539835
0,64556139
1,64671848
0,64800884
1,64681707
0,64711112
1,64813832
0,64474687
1,64671880
0,64613090
1,64622889
0,64572375
1,64658967
0,64826787
1,64588810
0,64710988
1,64856149
0,64566082
1,64487560
0,64727322
1,64454793
0,64642470
1,64665295
0,64898566
1,64820377
0,64777760
1,64665341
0,64675144
1,64645681
0,64613184
1,64981948
0,64746935
1,64737076
0,65047130
1,64681713
0,64595172
1,64652246
0,64720862
1,64655582
0,64787656
1,64720757
0,64642463
1,64613199
0,64740779
1,64645873
0,64952376
1,64711048
0,64695324
1,64461469
0,64794152
1,64619680
0,64629430
1,64652362
0,64653501
1,64691453
0,64707777
1,64962249
0,64753481
1,64691369
0,64905162
1,64526831
0,64921425
1,64826757
0,64582091
1,64813874
0,64704455
1,64787862
0,64671947
1,64862748
0,64613243
1,64724069
0,64836741
1,64694718
0,64823542
1,64895489
0,64668594
1,64875583
0,64852940
