class,cycles
0,64668584
1,64968753
0,64797436
1,64578975
0,64846343
1,64632775
0,64856158
1,64852984
0,64756598
1,64839892
0,64803854
1,64710947
0,64746882
1,64885575
0,64859455
1,64578791
0,64794201
1,64619664
0,64556037
1,64616508
0,64727307
1,64879006
0,64642448
1,64461393
0,64781104
1,64852916
0,64807295
1,64843100
0,64784420
1,64794196
0,64642428
1,64622884
0,64905296
1,64665297
0,64510307
1,64658757
0,64648995
1,64740367
0,64642506
1,64691401
0,64691506
1,64720809
0,64830168
1,64724032
0,64965394
1,64733854
0,64487485
1,64520166
0,64816964
1,64843077
0,64829937
1,64727237
0,64810600
1,64981698
0,64613196
1,64911660
0,64652429
1,64836541
0,64743656
1,64911596
0,64388161
1,64972090
0,64777911
1,64704588
0,64730540
1,64529931
0,64720775
1,64668698
0,64658719
1,64595509
0,64817088
1,64668526
0,64613230
1,64695289
0,64474533
1,64665243
0,64662154
1,64668619
0,64572342
1,64714247
0,64836533
1,64756673
0,64591924
1,64839855
0,64487486
1,64797337
0,64737040
1,64578894
0,64671954
1,64649056
0,64636193
1,64717478
0,64756735
1,65004588
0,64803977
1,64784390
0,64720811
1,64743594
0,64800740
1,64746854
0,64756748
1,64616429
0,64668625
1,64661954
0,64639179
1,64901887
0,64794097
1,64852974
0,64872444
1,64649038
0,64740352
1,64704545
0,64707776
1,64658754
0,64523356
1,64704479
0,64750154
1,64777823
0,64965510
1,64430432
0,64833320
1,64613234
0,64632598
1,64777770
0,64613131
1,64698008
0,64613156
1,64546195
0,64852929
1,64724077
0,64616585
1,64714294
0,64530027
1,64487579
0,64862544
1,64523411
0,64888819
1,64678434
0,64688296
1,64642530
0,64365190
1,64652180
0,64591959
1,64681652
0,64856283
1,64942616
0,64523390
1,64711126
0,64875693
1,64613048
0,64810467
1,64820410
0,64704451
1,64569151
0,64704475
1,64684867
0,64724012
1,64869229
0,64810439
1,64730642
0,64733820
1,64784468
0,64711048
1,64813833
0,64833353
1,64697982
0,64743625
1,64888724
0,64724081
1,64918165
0,64578851
1,64898651
0,64688153
1,64668704
0,64746883
1,64791035
0,64720716
1,64839941
0,64655576
1,64645752
0,64698033
1,64559275
0,64591867
1,64655510
0,64813756
1,64733927
0,64559327
1,64539736
0,64559211
1,64678466
0,64675035
1,64971875
0,64536457
1,64588716
0,64968790
1,64733813
0,64717466
1,64733788
0,64826843
1,64688087
0,64908326
1,64504012
0,64724198
1,64591965
0,64626190
1,64836596
0,64958983
1,64629422
0,64384859
1,64484231
0,64652311
1,64911561
0,64629524
1,64595224
0,64852921
1,64645779
0,64649013
1,64645752
0,64905103
1,64675100
0,64849667
1,64632868
0,64572431
1,64658746
0,64813852
1,64901828
0,64588640
1,64781096
0,64711081
1,64836580
0,64622905
1,64737029
0,64668528
1,64582157
0,64619682
1,64918232
0,64836646
1,64585391
0,64794248
1,65053504
0,65047058
1,64740369
0,64846374
1,64694722
0,64901857
1,64668532
0,64733804
1,64578774
0,64461576
1,64717591
0,64678461
1,64546343
0,64649037
1,64790827
0,64591983
1,64743616
0,64911583
1,64724106
0,64714210
1,64797470
0,64420623
1,64549507
0,64737259
1,64681661
0,64639378
1,64681719
0,64826782
1,64704433
0,64632686
1,64464668
0,64862699
1,64490809
0,64701256
1,64591931
0,64803807
1,64918179
0,64371724
1,64665304
0,64585605
1,64572304
0,64866166
1,64784325
0,64711054
1,64648993
0,64830171
1,64681694
0,64559314
1,64849712
0,64684921
1,64503911
0,64684914
1,64787828
0,64777954
1,64888760
0,64678553
1,64807130
0,64639154
1,64856195
0,64781274
1,65007793
0,64733867
1,64787736
0,64691376
1,64694655
0,64750093
1,64753347
0,64454923
1,64588700
0,64794244
1,64578773
0,64911546
1,64513700
0,64901842
1,64816942
0,64852982
1,64649061
0,64797492
1,64704457
0,64552873
1,64719179
0,64823502
1,64840045
0,64688139
1,64707706
0,64730626
1,64575611
0,64820270
1,64732058
0,64714348
1,64569090
0,64737346
1,64474453
0,64632796
1,64684957
0,64733819
1,64797488
0,64626304
1,64872374
0,64849655
1,64839694
0,64649059
1,64629397
0,64639212
1,64717598
0,64784281
1,64451688
0,64800780
1,64756772
0,64921372
1,64455000
0,64675227
1,64862622
0,65004569
1,64642361
0,64862697
1,64882260
0,64949096
1,64790983
0,64823508
1,64384694
0,64681720
1,64704586
0,64794194
1,64800791
0,64588679
1,64707699
0,64585378
1,64710993
0,64846360
1,64753340
0,64759976
1,64585401
0,64730494
1,64756650
0,64750195
1,64549492
0,64523439
1,64575603
0,64629484
1,64727331
0,64645804
1,64578878
0,64949059
1,64569072
0,64671814
1,64859361
0,64684812
1,64507090
0,64391404
1,64813650
0,64803930
1,64921485
0,64746946
1,64826717
0,64945912
1,64652238
0,64507046
1,64543862
0,64756663
1,64556036
0,64743576
1,64684896
0,64658906
1,64743740
0,64684896
1,64724178
0,64898519
1,64533163
0,64555996
1,64740428
0,64865947
1,64613050
0,64746862
1,64446032
0,64691382
1,64649078
0,64642568
1,64698055
0,64619659
1,64750166
0,64878986
1,64836567
0,64753435
1,64665269
0,64733840
1,64833233
0,64694795
1,64800655
0,64565815
1,64662010
0,64797470
1,64843140
0,64756705
1,64727245
0,64843158
1,64750509
0,64477709
1,64781150
0,64790894
1,64536343
0,64675077
1,64655578
0,64737028
1,64710972
0,64794196
1,64579030
0,64668730
1,64760051
0,64759943
1,64733832
0,64784357
1,64556008
0,64911543
1,64678333
0,64658848
1,64862813
0,64875698
1,64671859
0,64717556
1,64753439
0,64756683
1,64588691
0,64737056
1,64878965
0,64427220
1,64750140
0,64645685
1,64523457
0,64972232
1,64648940
0,64536475
1,64753416
0,64975390
1,64869287
0,64724085
1,64507091
0,64661980
1,64681603
0,64632709
1,64662132
0,64750038
1,64804020
0,64626179
1,64572332
0,64652243
1,64639168
0,64781182
1,65030664
0,64717525
1,64753431
0,64972059
1,64655443
0,64740308
1,64500587
0,64591842
1,64529978
0,64803984
1,64694716
0,64549495
1,64743726
0,64804432
1,64520132
0,64507221
1,64872411
0,64588617
1,64787655
0,64410979
1,64658850
0,64629435
1,64448330
0,64655557
1,64471204
0,64794212
1,64697989
0,64619659
1,64975259
0,64733794
1,64862775
0,64846505
1,64882231
0,64820300
1,64658927
0,64859348
1,64648927
0,64794193
1,64639244
0,64781124
1,64642496
0,64790945
1,64833275
0,64681653
1,64420706
0,64908373
1,64629307
0,64668684
1,64629490
0,64830097
1,64694680
0,64523444
1,64512018
0,64714210
1,64823624
0,64513620
1,64595150
0,64797576
1,64750041
0,64642557
1,64839854
0,64750210
1,64701169
0,64582245
1,64862782
0,64507094
1,64697930
0,64710944
1,64898528
0,64823688
1,64697883
0,64879140
1,64724055
0,64629434
1,64707703
0,64636044
1,64582203
0,64879070
1,64526834
0,64714200
1,64556112
0,64865903
1,64616313
0,64629431
1,64753453
0,64655656
1,64490883
0,64707767
1,64714316
0,64733840
1,64562595
0,64705027
1,64591896
0,64823573
1,64807192
0,64578787
1,64613122
0,64949070
1,64908357
0,64649138
1,64823479
0,64691383
1,64569052
0,64797407
1,64414087
0,64681696
1,64585416
0,64662137
1,64497270
0,64701183
1,64636163
0,64817035
1,64733851
0,64753440
1,64707736
0,64843221
1,64908309
0,64619577
1,64787634
0,64746911
1,64869221
0,64711186
1,64817009
0,64516879
1,64494029
0,64852867
1,64684967
0,64675123
1,64613174
0,64542871
1,64730496
0,64787669
1,64756687
0,64714328
1,64636074
0,64655527
1,64856057
0,64727276
1,64652216
0,64743756
1,64908443
0,64720735
1,64797495
0,64759931
1,64746779
0,64714173
1,64500649
0,64523415
1,64678394
0,64856229
1,64417352
0,64784385
1,64565772
0,64794288
1,64668527
0,64681569
1,64823464
0,64781058
1,64701311
0,64836584
1,64865985
0,64655623
1,64565829
0,64707796
1,64866059
0,64407580
1,64756729
0,64672061
1,64639250
0,64804416
1,64575717
0,64668617
1,64823570
0,64639285
1,64724207
0,64648983
1,64591964
0,64490872
1,64299866
0,64730638
1,64639075
0,64846318
1,64856167
0,64746817
1,64516876
0,64790906
1,64616346
0,64626228
1,64724068
0,64694789
1,64826932
0,64635974
1,64588638
0,65024111
1,64533347
0,64781250
1,64810455
0,64677547
1,64694680
0,64733841
1,64839888
0,65133568
1,64794256
0,64981774
1,64905162
0,64843693
1,64642506
0,64673299
1,64645827
0,64681662
1,64733841
0,64556102
1,64626221
0,64645712
1,64740415
0,64575572
1,64691522
0,64671839
1,64622994
0,64616465
1,64797391
0,64523413
1,64533178
0,64681630
1,64678377
0,64840569
1,64707749
0,64533176
1,64549563
0,64704556
1,64743603
0,64998102
1,64645702
0,64655519
1,64546176
0,64746807
1,64781149
0,64665368
1,64619576
0,64794270
1,64513549
0,64781124
1,64859394
0,64697945
1,64865953
0,64613158
1,64616584
0,64862813
1,64642413
0,64655502
1,64678404
0,64697919
1,64823506
0,64750262
1,64717511
0,64839855
1,64823662
0,64797451
1,64481010
0,64342309
1,64853089
0,64856206
1,64665284
0,64645818
1,64658921
0,64781207
1,64777916
0,64585328
1,64800791
0,64471261
1,64665315
0,64743580
1,64733843
0,64888765
1,64862736
0,64723955
1,64807193
0,64882334
1,65195403
0,64958897
1,64497309
0,64753450
1,64958845
0,64895232
1,64642450
0,64790950
1,64724046
0,64539748
1,64813678
0,64688120
1,64711010
0,64684927
1,64639291
0,64875693
1,64891978
0,64833289
1,64714267
0,64717509
1,64688137
0,64684872
1,64888831
0,64655521
1,64542987
0,64658702
1,64859521
0,64648970
1,64743599
0,64582226
1,64497420
0,64827108
1,64684866
0,65030727
1,64642543
0,64655644
1,64846362
0,64622850
1,64711004
0,64658833
1,64737114
0,64784312
1,64507167
0,64724066
1,64777912
0,64826806
1,64451714
0,64852885
1,64616399
0,64998028
1,64797417
0,64736974
1,64578796
0,64684839
1,64562520
0,64898458
1,64616349
0,64743765
1,64645735
0,64649087
1,64784499
0,64629443
1,64803910
0,64865956
1,64591973
0,64733873
1,64510388
0,64503794
1,64688249
0,64701181
1,64671830
0,64727400
1,64727327
0,65050311
1,64500602
0,64671938
1,64526484
0,64582163
1,64839874
0,64740396
1,64720795
0,64724119
1,64760004
0,64464705
1,64471210
0,64701180
1,64588685
0,64691488
1,64720719
0,64839686
1,64859376
0,64750109
1,64665301
0,64694748
1,64862763
0,64471221
1,64516815
0,64720745
1,64797411
0,64803934
1,64865992
0,64727339
1,64750138
0,64918262
1,64921489
0,64787630
1,64959087
0,64658786
1,64730585
0,64565870
1,64717563
0,64723972
1,64727473
0,64697966
1,64945818
0,64635888
1,64665257
0,64875797
1,64750151
0,64616368
1,64430368
0,64671890
1,64730550
0,64750263
1,64585427
0,64562508
1,64810439
0,64652279
1,64619616
0,64717886
1,64733848
0,64820307
1,64378171
0,64794223
1,64720817
0,64526748
1,64911635
0,64849553
1,64668450
0,64839841
1,64859461
0,64975132
1,64684885
0,64549578
1,64836603
0,64649079
1,64533266
0,64503894
1,64619628
0,64836540
1,64642551
0,64898813
1,64414211
0,64813886
1,64813812
0,64572472
1,64697916
0,65060012
1,64665282
0,64901903
1,64626051
0,64691421
1,64427355
0,64836615
1,64918072
0,64843117
1,64701170
0,64714335
1,64410744
0,64813782
1,64737122
0,64985032
1,64559339
0,64694775
1,64635871
0,64836588
1,64849624
0,64622948
1,64578847
0,64539750
1,64665450
0,64833297
1,64800630
0,64578879
1,64707716
0,64985022
1,64591919
0,64807251
1,64694567
0,64582024
1,64710992
0,64404303
1,64823558
0,64694731
1,64691404
0,64730564
1,64830122
0,64655521
1,64882291
0,64575657
1,64569086
0,64658706
1,64548941
0,64649035
1,64784391
0,64733784
1,64536431
0,64533213
1,64807231
0,64622862
1,64836594
0,64852902
1,64720852
0,64704479
1,64494031
0,64697969
1,64658746
0,64733850
1,64526668
0,64807291
1,64862574
0,64681655
1,64856110
0,64820293
1,64810477
0,64981806
1,64665387
0,64730630
1,64671889
0,64872497
1,64542993
0,64494032
1,64639182
0,64565855
1,64746837
0,64852907
1,64549510
0,64803905
1,64626252
0,64671826
1,64588623
0,64736970
1,64727337
0,64720757
1,64626168
0,64737033
1,64658773
0,64701247
1,64556012
0,64348834
1,64645615
0,64720813
1,65017789
0,64817102
1,64681627
0,64623072
1,64849658
0,64678306
1,64784342
0,64839773
1,64852882
0,64740556
1,64642561
0,64559360
1,64816941
0,64800685
1,64803995
0,64616412
1,64810436
0,64639299
1,64856115
0,64694661
1,64885214
0,64668547
1,64756744
0,64658960
1,64962144
0,64753137
1,64662079
0,64787591
1,64616323
0,64613183
1,64714211
0,64879122
1,64632771
0,64797622
1,64849555
0,64756733
1,64720751
0,64458187
1,64694606
0,64918216
1,64613211
0,64655447
1,64526608
0,64833299
1,64494117
0,64918050
1,64658850
0,64898652
1,64697913
0,64542942
1,64582089
0,64585457
1,64572441
0,64803990
1,64591943
0,64658716
1,64737097
0,64711012
1,64787600
0,64652277
1,64836704
0,64918299
1,64862637
0,64616383
1,64836565
0,64856136
1,64746877
0,64859462
1,64833389
0,64710920
1,64668524
0,64820224
1,64681629
0,64500504
1,64952443
0,64655522
1,64803984
0,64759876
1,64743666
0,64882255
1,64565772
0,64503798
1,64622893
0,64635881
1,64730619
0,64836566
1,64655599
0,64714297
1,64592130
0,64827623
1,64684782
0,64849632
1,64516877
0,64652233
1,64879077
0,64800903
1,64817004
0,64503915
1,64467997
0,64817153
1,64743767
0,64595196
1,64639246
0,64707737
1,64578828
0,64756661
1,64740342
