class,cycles
0,64862747
1,64629377
0,64737042
1,64862634
0,64753329
1,64671940
0,64952339
1,64636137
0,64675130
1,64632810
0,64384846
1,64671838
0,64668632
1,64665216
0,64691529
1,64717587
0,64743638
1,64671888
0,64655587
1,64665420
0,64740234
1,64777930
0,64720889
1,64536490
0,64714357
1,64468019
0,64833437
1,64823488
0,64671841
1,64526677
0,64671906
1,64510431
0,64591961
1,64480996
0,64523403
1,64885438
0,64720766
1,64753392
0,64569177
1,64552871
0,64658678
1,64414125
0,64591897
1,64427204
0,64720751
1,64730588
0,64820423
1,64856058
0,64662109
1,64975232
0,64675154
1,64588569
0,64642500
1,64569179
0,64549440
1,64856221
0,64688070
1,64727284
0,64652300
1,64872468
0,64720903
1,64908403
0,64407660
1,64856178
0,64875734
1,64701324
0,64898639
1,64985136
0,64800666
1,64562524
0,64668576
1,64378158
0,64698016
1,64753471
0,64743619
1,64962170
0,64859398
1,64645721
0,64484206
1,64688244
0,65024238
1,64645935
0,64859476
1,64813702
0,64694636
1,64484214
0,64724010
1,64648989
0,64645918
1,64697925
0,64526751
1,64790905
0,64672029
1,64781094
0,64578941
1,64569198
0,64526644
1,64626372
0,64740373
1,64629374
0,64720919
1,64872602
0,64836575
1,64484195
0,64616401
1,64420642
0,64678345
1,64652299
0,64981863
1,64791014
0,64562427
1,65004576
0,64616376
1,64582213
0,64655583
1,64875898
0,64668661
1,64697938
0,64523411
1,64888779
0,64727310
1,64632715
0,64794118
1,64595192
0,64652203
1,64759943
0,64843136
1,64649051
0,64823473
1,64584584
0,64707663
1,64701211
0,64582134
1,64626241
0,64658769
1,64516981
0,64588848
1,64760007
0,64619567
1,64740334
0,64746938
1,64797441
0,64684931
1,64797531
0,64959074
1,64684987
0,64846436
1,64879124
0,64756825
1,64908281
0,64694840
1,64543132
0,64714239
1,64784398
0,64875757
1,64733861
0,64730601
1,64740496
0,64882295
1,64759888
0,64949116
1,64803978
0,64685007
1,64585470
0,64787706
1,64626158
0,64694642
1,64753430
0,64629449
1,64507112
0,64658743
1,64588677
0,64655556
1,64833343
0,64691435
1,64642581
0,64971899
1,64955744
0,64830109
1,64743615
0,64888717
1,64668672
0,64730566
1,64892077
0,64461538
1,64575601
0,64487480
1,64743607
0,64746935
1,64668705
0,64846425
