iter,keypair,sign,verify
0,189723714,61162066,741131
1,130287563,61111020,741518
2,400171368,61226844,740712
3,241267048,61116270,740937
4,130303205,61189132,740705
5,323370596,61113504,741247
6,130282871,61066499,740782
7,185790653,61082848,741043
8,138103594,61194494,741019
9,145927464,61276493,740829
10,269456302,61210686,741002
11,130282871,61219119,741097
12,191304616,61036798,740685
13,189697050,61218917,740973
14,185809423,61191903,741061
15,416359509,61085746,740765
16,212356662,61252361,741030
17,188117745,61263137,741247
18,204570431,61221515,741005
19,307301901,61344282,741162
20,257722866,61200018,741027
21,130298551,61151382,740933
22,315523218,61170347,740960
23,187366837,61077207,741101
24,147473891,61346767,740774
25,189708037,61284623,740997
26,147470726,61088229,741334
27,422857083,61317243,741145
28,242858903,61312005,741190
29,130300114,61309319,740967
