iter,keypair,sign,verify
0,137324511,64784504,792761
1,538376596,64649145,792614
2,242879830,64639235,792529
3,202914798,64915023,792835
4,152170751,64746988,792758
5,232647142,64642534,792810
6,277147467,64539745,792438
7,152155238,64968775,792709
8,207569580,64575601,792706
9,192678548,64711117,792741
10,182957435,64626228,792188
11,277705839,64481035,792521
12,137328050,64697938,792736
13,186950238,64588693,792436
14,142472031,64724031,792402
15,157282016,64804013,792440
16,182380168,64898167,792428
17,422125439,64662333,792754
18,237751433,64781194,792708
19,202959604,64675204,792629
20,292529619,64626273,792516
21,246876101,64565938,792777
22,162470884,64968633,792648
23,196633295,64555998,792481
24,166975438,64830118,792691
25,137308923,64791078,792461
26,157319979,64569146,792823
27,537880349,64730639,793139
28,152193229,64733873,792843
29,222310460,64626292,792531
