class,cycles
0,23867062
1,23884158
0,23765315
1,23897263
0,23628250
1,23757802
0,23772007
1,23905027
0,24017591
1,23823176
0,23926878
1,23894912
0,23799080
1,23830836
0,23971657
1,23728243
0,23622064
1,23924079
0,23775965
1,23749038
0,23996141
1,23897357
0,23853647
1,23841056
0,23865340
1,23833463
0,23852743
1,23810112
0,23913162
1,23770654
0,23930944
1,23967715
0,23727113
1,23732307
0,23825441
1,23654428
0,23913985
1,23953641
0,23923266
1,23924384
0,23850482
1,23759036
0,23890759
1,23921836
0,23846532
1,23756275
0,23963028
1,23797184
0,23893718
1,23830885
0,23957588
1,23835895
0,23856325
1,23910357
0,23979372
1,23959123
0,23895089
1,23765556
0,24014021
1,23877074
0,24020181
1,23835097
0,24067915
1,23777241
0,23809201
1,23993981
0,23818272
1,24106489
0,23956111
1,23848818
0,23933263
1,23925763
0,23807854
1,23950699
0,23699029
1,24092130
0,24058754
1,23892237
0,23923062
1,23848770
0,23866669
1,23813046
0,23764363
1,23862824
0,23923271
1,23925691
0,23774502
1,23978253
0,23789901
1,23876091
0,23756327
1,24032158
0,23818389
1,23862598
0,23756508
1,23742551
0,24006552
1,23853502
0,23841211
1,23746158
0,23856626
1,23882420
0,23878569
1,23824523
0,23938559
1,23810319
0,23875828
1,23962760
0,23847844
1,23752874
0,23840043
1,23892339
0,23867172
1,23729561
0,24012920
1,23746601
0,23921607
1,23764198
0,23573615
1,23800299
0,23884609
1,24027732
0,24091962
1,23898407
0,23965197
1,23922814
0,23996022
1,23890978
0,23842554
1,23882412
0,23730608
1,23749345
0,23845116
1,23833664
0,23714708
1,23825463
0,23878617
1,23936984
0,23800270
1,23849026
0,23844792
1,23923218
0,23834743
1,23996124
0,23979884
1,23971955
0,23956161
1,23786335
0,23827216
1,23774537
0,23783553
1,23903772
0,23909223
1,23837072
0,23798981
1,23929662
0,23766904
1,23786974
0,23898667
1,24016017
0,23761667
1,23817104
0,23993552
1,23994860
0,23958890
1,23824395
0,23633550
1,23784875
0,23938481
1,23921451
0,23934674
1,23806560
0,24032023
1,23613269
0,23890870
1,23685326
0,23891988
1,23888266
0,23796005
1,23811676
0,23888428
1,23786260
0,23643994
1,23922881
0,23729723
1,24019052
0,23982946
1,23920306
0,23979671
1,23985525
0,23922997
1,23777093
0,23754962
1,23878425
0,23958999
1,23796159
0,23839972
1,23901446
0,23708053
1,23982924
0,24022743
1,23810528
0,24051130
1,23715894
0,23888487
1,23888502
0,23899135
1,23911674
0,23896121
1,23866805
0,23885829
1,24061442
0,23892621
1,23926952
0,23782866
1,23904035
0,23931943
1,23891912
0,23988185
1,24029408
0,23757432
1,23835129
0,23896128
1,23909315
0,23938339
1,23929535
0,23701549
1,23831128
0,23600012
1,23889805
0,23920382
1,23901531
0,23769523
1,23857927
0,23745204
1,23922809
0,23878309
1,23835893
0,23719567
1,23937332
0,23763305
1,23823034
0,23931911
1,23942499
0,23922958
1,23850471
0,23761658
1,23931993
0,23968979
1,23994602
0,23856470
1,24015987
0,24024467
1,23860521
0,23677084
1,23677342
0,23944943
1,23741128
0,24031877
1,23790758
0,23960184
1,23732082
0,23900098
1,23935895
0,23769302
1,23853488
0,23871054
1,24021735
0,23697863
1,23798717
0,23744079
1,23878557
0,23739885
1,23935940
0,23789522
1,23830694
0,23793555
1,23925408
0,23792443
1,23693630
0,23790629
1,23875788
0,23912721
1,23779950
0,23724451
1,23811670
0,23779850
1,23838528
0,23987199
1,23806226
0,23872095
1,23897527
0,23778411
1,23825804
0,23795165
1,23832086
0,23766664
1,24084419
0,23801736
1,23750451
0,24022954
1,23839939
0,23837192
1,23897550
0,23719770
1,23951826
0,23788284
1,23862786
0,24001233
1,23847750
0,23945380
1,23986903
0,24087407
1,23939923
0,23882360
1,23866723
0,23703134
1,23853681
0,23670695
1,23891197
0,23913007
1,23765725
0,23833504
1,24019186
0,23917560
1,23734934
0,23700366
1,23769484
0,23953989
1,23998356
0,23833495
1,23821543
0,23781470
1,23815741
0,24010429
1,23981715
0,23778396
1,23810422
0,23876505
1,23810455
0,23932172
1,23885542
0,23964154
1,23719714
0,23969476
1,23792358
