class,cycles
0,23831779
1,23886128
0,23946001
1,23770140
0,23939545
1,23801128
0,23928150
1,23904664
0,23902300
1,23820752
0,23929275
1,23802165
0,23989025
1,23826604
0,23811190
1,23657890
0,23894147
1,23715358
0,23734725
1,23867780
0,23926822
1,23740840
0,23784473
1,24018751
0,23758718
1,23708957
0,23967196
1,23861300
0,23924978
1,23989027
0,23871692
1,24053168
0,23900035
1,23804851
0,23922395
1,23828794
0,23986717
1,23835881
0,23775533
1,24086585
0,23855953
1,23703647
0,23872812
1,23930470
0,23927823
1,23884153
0,23784504
1,23865124
0,23960138
1,23790608
0,24047055
1,23748932
0,23857203
1,23644874
0,24058410
1,23943321
0,23962524
1,23790569
0,23769165
1,23836634
0,23832782
1,23898301
0,23994372
1,23770432
0,23852351
1,23922773
0,23864961
1,23968859
0,23857116
1,23718045
0,23961239
1,23938148
0,23742008
1,23904397
0,23971399
1,23843460
0,23922652
1,23987797
0,24054463
1,23926445
0,23825222
1,23723116
0,23842098
1,24115967
0,23806341
1,23827636
0,23852207
1,23683061
0,23838092
1,23971254
0,23917837
1,23876497
0,23681976
1,23955772
0,23783222
1,23940623
0,24087979
1,23787164
0,23825548
1,23922542
0,23776820
1,23958451
0,23923660
1,23729531
0,23834453
1,23863930
0,24022115
1,23903436
0,23831981
1,23940562
0,23889403
1,23828812
0,23793488
1,23866286
0,23782032
1,23783335
0,23903233
1,23899754
0,23867587
1,23938285
0,23997221
1,24054411
0,23827861
1,23964735
0,23926430
1,23825000
0,23832625
1,23995901
0,23953516
1,23897063
0,23867472
1,23808818
0,23692040
1,23890536
0,23811710
1,23816615
0,23894827
1,23945847
0,23746000
1,23797034
0,23926326
1,23961269
0,23935097
1,23921034
0,24047189
1,23924881
0,23793105
1,23769063
0,23873068
1,23790220
0,23766879
1,23918188
0,23793393
1,24058120
0,23820529
1,23934525
0,23739471
1,23866260
0,23976630
1,24013935
0,23963728
1,23738270
0,24002263
1,23975413
0,23941737
1,23928793
0,23792918
1,23835659
0,23721665
1,23795709
0,23775239
1,23829212
0,23694499
1,23834468
0,23831731
1,23844380
0,23835558
1,23758687
0,23825176
1,24123625
0,23820978
1,23775211
0,23983070
1,23837905
0,23893287
1,24017494
0,24010278
1,23983682
0,23949819
1,23861180
0,23776778
1,23806101
0,23860103
1,24057088
0,23737941
1,23767507
0,23717962
1,23748876
0,23747429
1,23824171
0,23759933
1,23938006
0,23843306
1,23954418
0,23857411
1,23797081
0,23847120
1,23812808
0,23798349
1,23944300
0,23835605
1,23803559
0,23771962
1,23856010
0,24018793
1,23777062
0,24058367
1,23797064
0,23655100
1,23940723
0,23825071
1,23953637
0,23748262
1,23740984
0,23721708
1,23872718
0,23794589
1,23863913
0,23899581
1,23890488
0,23743379
1,23849893
0,23919819
1,23815281
0,23946086
1,23764180
0,23784387
1,23874182
0,23805002
1,23921009
0,23921162
1,23892803
0,23922860
1,23966055
0,23771497
1,23834227
0,23899678
1,23954674
0,23909708
1,23947303
0,23689987
1,23911504
0,23899884
1,23940861
0,23861406
1,24000935
0,23960063
1,23829385
0,24115704
1,23736840
0,24011175
1,23787159
0,23967740
1,23852220
0,23760031
1,23803177
0,23826784
1,23959785
0,23862564
1,23907191
0,23749943
1,23734569
0,23987758
1,23877942
0,23881523
1,23870111
0,23790503
1,23788559
0,23898393
1,23931722
0,23844658
1,23869048
0,23795943
1,24083637
0,23672827
1,23835907
0,23852430
1,24000729
0,23875333
1,23849687
0,23866680
1,23912450
0,23852667
1,23845528
0,23793330
1,23845868
0,24000465
1,23967272
0,23779342
1,23810262
0,23863419
1,24019820
0,23990598
1,23735693
0,23951949
1,23776706
0,23904622
1,23739698
0,23755095
1,23911312
0,23989214
1,23928864
0,23898076
1,23809023
0,23807419
1,23858590
0,23958497
1,23894686
0,23964946
1,24057103
0,23815687
1,23883169
0,23953385
1,23886786
0,23927753
1,23875725
0,23826550
1,24037799
0,23836914
1,23838103
0,23643360
1,23922766
0,23831700
1,23739596
0,23891688
1,23999524
0,23926150
1,23820687
0,23876726
1,23993529
0,23656628
1,23851068
0,23974136
1,23974128
0,23989198
1,23692056
0,23920092
1,23738624
0,23951887
1,23762898
0,23898420
1,23916604
0,23682039
1,23962437
0,23839753
1,23958256
0,23911655
1,23967587
0,23762691
1,24124948
0,23959864
1,23779487
0,23820628
1,23903711
0,23980363
1,23730682
0,23763595
1,23945485
0,23870230
1,23944387
0,23834626
1,23847040
0,23996049
1,23951823
0,23747354
1,23957441
0,23972643
1,23790890
0,23877789
1,23765099
0,23984115
1,23956054
0,23781886
1,23947393
0,23800851
1,24005645
0,23953104
1,23827957
0,24089250
1,23809929
0,23896635
1,23889158
0,23932971
1,24035346
0,23874419
1,23799628
0,23889410
1,23720387
0,23803825
1,23959855
0,24079312
1,23902528
0,23811369
1,23915186
0,23834374
1,23827583
0,23927640
1,23784619
0,23777985
1,23801062
0,23808611
1,23838264
0,23874207
1,23892143
0,23867614
1,23966568
0,23980519
1,23900874
0,23947088
1,23987990
0,23895756
1,23911414
0,23906104
1,23829126
0,23880579
1,23839453
0,23702411
1,24087972
0,23802275
1,23959945
0,23900508
1,23985164
0,23753640
1,23887698
0,23876579
1,23749813
0,23923128
1,24087756
0,23794391
1,23759772
0,23920881
1,23772987
0,23877990
1,23895813
0,23957122
1,23812660
0,23842045
1,23947163
0,23774092
1,23857288
0,23947167
1,23874106
0,23999736
1,23882001
0,23983217
1,23865273
0,23925191
1,23784621
0,23794422
1,23861021
0,24004868
1,23773211
0,23946393
1,23808647
0,23966431
1,23769060
0,23861543
1,23870274
0,23933025
1,23834278
0,23781985
1,23584825
0,24097097
1,23826153
0,23758766
1,23922510
0,23647512
1,23779413
0,23994503
1,23876523
0,23741049
1,23890704
0,23837297
1,23787380
0,23812843
1,23784536
0,23798520
1,23989161
0,24128912
1,23870362
0,23873849
1,23752696
0,23766546
1,24115760
0,23903191
1,23894319
0,23712488
1,23852680
0,23770579
1,23923765
0,23782003
1,23875189
0,24032956
1,23896657
0,23767651
1,23872749
0,23953067
1,23735762
0,24082308
1,23996799
0,23609014
1,23939542
0,23786051
1,23837030
0,23964890
1,23800857
0,23765032
1,23855944
0,23972670
1,23700067
0,23912736
1,24059580
0,23860918
1,23819229
0,23835552
1,23859821
0,23752639
1,23898569
0,23944389
1,23933904
0,23813783
1,23841122
0,23953484
1,23828960
0,23887744
1,23954675
0,23951821
1,23837820
0,23793197
1,23847291
0,23816574
1,23830023
0,23825048
1,23953789
0,23869027
1,24082709
0,24026033
1,23915254
0,24024988
1,23860739
0,23795881
1,23810041
0,23838321
1,23955800
0,23827852
1,24082313
0,23921290
1,23848758
0,23908676
1,23893431
0,23734365
1,23897261
0,24052047
1,23879153
0,23831590
1,23953252
0,23674418
1,23985280
0,23955901
1,23889123
0,23973549
1,23666300
0,23833012
1,23877028
0,23793288
1,23934243
0,23753784
1,23985513
0,23789307
1,23905908
0,23890902
1,23779306
0,23922754
1,23946028
0,23912376
1,23874157
0,23963715
1,23791888
0,23875044
1,23908831
0,23953242
1,23915061
0,23900899
1,23719191
0,23903275
1,23938143
0,23737132
1,23955724
0,23955703
1,23829359
0,24022642
1,23886972
0,23868788
1,23894455
0,24053445
1,24012456
0,23941803
1,23928030
0,24000939
1,23805094
0,23856018
1,23810460
0,23881848
1,23672931
0,23719264
1,23812706
0,23865426
1,23634486
0,23880553
1,23831849
0,23932872
1,23798079
0,23830399
1,23726862
0,23759809
1,23853677
0,23730302
1,23889259
0,23854532
1,24035324
0,23758447
1,23663556
0,24021378
1,23755347
0,23759937
1,23730251
0,23970247
1,23927847
0,24000914
1,23785921
0,24132706
1,23775476
0,23898644
1,23827716
0,24114595
1,23772717
0,23834076
1,23762464
0,23775387
1,23926550
0,23868976
1,24082545
0,23923905
1,23857263
0,23789168
1,23863643
0,23929142
1,23960072
0,23917870
1,23880711
0,23897059
1,23765150
0,23769189
1,23962576
0,23908471
1,23890401
0,23931805
1,23930161
0,23734253
1,23897294
0,23948820
1,23852634
0,23822403
1,23918535
0,23786863
1,23680984
0,23802548
1,23822664
0,23937984
1,23777787
0,23819130
1,23913935
0,23692139
1,23986151
0,23852667
1,23945855
0,23939365
1,23843694
0,23868590
1,23761431
0,24065095
1,23847058
0,24056954
1,23985380
0,23924844
1,23832004
0,23971477
1,23857184
0,23865276
1,23950047
0,23871855
1,23712948
0,23834254
1,24006112
0,23780810
1,23844785
0,23770203
1,23833110
0,23826432
1,23766348
0,23731685
1,23909811
0,23990389
1,23854842
0,23989323
1,23937305
0,23736959
1,23892048
0,23813785
1,23807533
0,23820443
1,23821410
0,23778212
1,23934215
0,23922457
1,23723967
0,23827670
1,23899527
0,23985064
1,23767820
0,23759588
1,23987911
0,23781450
1,23784570
0,23697322
1,23648364
0,23903535
1,23836805
0,23762250
1,23812892
0,23920075
1,24082671
0,23877703
1,23901030
0,23991850
1,23843219
0,23874095
1,23815117
0,23789201
1,23922693
0,23887887
1,23876802
0,23995795
1,23994388
0,23845864
1,23699939
0,23897267
1,23701004
0,23944667
1,23716746
0,23762352
1,23880447
0,23758613
1,23916458
0,23840580
1,23866263
0,23944150
1,24119350
0,23918887
1,23954305
0,23747358
1,23919765
0,23796054
1,23831700
0,23799764
1,23851230
0,23841858
1,23854691
0,23842086
1,23732029
0,23953523
1,23862687
0,23776744
1,23966368
0,23894942
1,23765160
0,24085415
1,23919737
0,23805149
1,23748564
0,23812601
1,23826734
0,23797001
1,23953071
0,23922737
1,23729313
0,23930448
1,23816750
0,23863525
1,23694509
0,23910229
1,23838027
0,23875173
1,23771907
0,23857207
1,24018379
0,24101908
1,23875667
0,23921074
1,23851169
0,23868935
1,23925143
0,23776902
1,23912520
0,23940628
1,23900896
0,23777993
1,23829290
0,23831870
1,23931716
0,24055700
1,24007398
0,23861102
1,23995377
0,23959872
1,23899481
0,23803429
1,23659894
0,23932882
1,24026689
0,23750183
1,23811634
0,23844741
1,23800884
0,23825270
1,23822422
0,23957276
1,23955998
0,23834118
1,23829204
0,23850988
1,23975529
0,23819309
1,23856069
0,23866110
1,23850212
0,23880405
1,23966297
0,23903677
1,23955769
0,23801276
1,23975077
0,23954528
1,23884247
0,23770287
1,23802150
0,24003419
1,23884784
0,23963400
1,23827822
0,23985489
1,23923813
0,23751307
1,23958342
0,23889547
1,23758792
0,23801294
1,23890280
0,23829034
1,23829504
0,23887751
1,23761315
0,23937860
1,23987739
0,23899808
1,23737232
0,23647757
1,23960984
0,23879472
1,23866187
0,23753865
1,23972758
0,23694474
1,23948818
0,23735635
1,23891973
0,23955461
1,23954427
0,24050254
1,24019870
0,23824157
1,23840527
0,23991984
1,23857137
