class,cycles
0,23942341
1,23777279
0,23784488
1,23892469
0,23837649
1,23846459
0,23623794
1,23790302
0,24024747
1,23981234
0,23864092
1,23822781
0,23765894
1,23983539
0,23976641
1,23797380
0,23869039
1,23783234
0,23881303
1,23755205
0,23836046
1,24040253
0,23735136
1,23917968
0,23865149
1,23813295
0,23875821
1,23895483
0,23885814
1,23784568
0,23855141
1,23766220
0,23782014
1,23911472
0,23867936
1,23953398
0,23771112
1,24046503
0,23806641
1,23777242
0,23924017
1,23986412
0,23737908
1,23918866
0,23883004
1,23989040
0,23634403
1,23708659
0,23923647
1,23870158
0,23879763
1,23814405
0,23752569
1,23729384
0,23852513
1,23836191
0,23744158
1,23927918
0,23804066
1,23897257
0,23896031
1,23850898
0,23896257
1,23836151
0,23787043
1,23907404
0,23874567
1,23868949
0,23856593
1,23984097
0,23817855
1,23808103
0,23808184
1,23930733
0,23850836
1,23761659
0,24086146
1,23748132
0,23813171
1,23825706
0,23959869
1,24108635
0,23987627
1,23928123
0,23867428
1,23842626
0,23898791
1,23856519
0,24069654
1,24061792
0,23879529
1,23986231
0,23993241
1,23927693
0,23949318
1,23940516
0,23940249
1,23950884
0,23816421
1,23914521
0,23917354
1,23906423
0,23958400
1,23886682
0,23982640
1,23728714
0,24001967
1,23696487
0,23896050
1,23752710
0,23903491
1,23873101
0,23744427
1,23726090
0,23835919
1,23929427
0,23824229
1,23857230
0,23820434
1,23888326
0,23853989
1,23820331
0,23793542
1,23800481
0,23814695
1,23844909
0,24073874
1,23946909
0,23778446
1,23890374
0,23763250
1,23856556
0,23864436
1,23971576
0,23840106
1,23890906
0,24055558
1,23864156
0,23770541
1,23843945
0,23847935
1,23849826
0,23847478
1,24112852
0,23922964
1,23759108
0,23830922
1,23826705
0,24051494
1,23977668
0,23841035
1,23979739
0,23816306
1,23664945
0,23927876
1,23926341
0,23860014
1,23980021
0,23934301
1,24025853
0,23921820
1,23892045
0,23819271
1,23840144
0,23774117
1,23862759
0,23918779
1,23764491
0,23979935
1,24028596
0,23664660
1,23851134
0,23849273
1,23725701
0,23918523
1,23809130
0,23788668
1,24034168
0,23767084
1,23793916
0,23688573
1,23882771
0,24112622
1,23543824
0,23818941
1,23778587
0,23947909
1,24025014
0,23806846
1,23872098
0,23856268
1,23806761
0,23948083
1,23742727
