iter,keypair,sign,verify
0,52825016,21806390,364447
1,106147758,21856781,364230
2,69025615,21971413,364407
3,81885394,21907906,379240
4,62711408,21838357,364360
5,68393749,22059022,378939
6,93372560,21779711,364440
7,72397607,21995141,364395
8,54488782,21930129,378936
9,67326194,21776348,364255
10,72014710,21999076,364228
11,82014426,21849782,378946
12,64140917,21935589,379172
13,53681932,21882725,364404
14,56838384,21995222,364582
15,64942498,21863244,364471
16,55633926,21833263,364417
17,80142407,21877630,378918
18,56245843,21983044,379194
19,55633926,21904232,378790
20,64403963,21906412,378714
21,65061049,21794882,378713
22,110644022,21798101,378829
23,66366762,22092362,379071
24,60689666,21715646,378829
25,75684511,21989269,379242
26,57063433,21951691,378762
27,73224410,21888883,364274
28,79493777,21872464,378862
29,95589240,21852821,378818
30,97014475,21879809,378975
31,55061336,21962193,378934
32,140534993,21914542,364251
33,105500518,21814673,378810
34,56555356,22040205,378727
35,86710818,21912492,364272
36,61326737,21880816,378992
37,58721926,21835165,364264
38,87056920,22012889,379184
39,67238092,21982833,379007
40,54254555,21798116,378783
41,83662444,21812737,364555
42,55340462,21853920,364417
43,54832348,21951858,378916
44,90175045,21824079,378991
45,70439076,21833265,364383
46,56271032,21901400,379037
47,55404974,22006497,378927
48,64937259,21933448,378951
49,89956569,21880600,378865
