iter,keypair,sign,verify
0,59754947,23947832,410567
1,102531393,23875523,394377
2,76765549,23833229,394300
3,54258118,23770578,394255
4,60960637,23889562,410813
5,53658086,23868669,394284
6,90253146,23947818,410512
7,70711079,23865170,394348
8,80300134,23884039,410590
9,84977715,23828279,410935
10,66776243,23936899,394359
11,60241474,23912069,410520
12,81982900,23846978,410688
13,68084479,23923651,410567
14,84236572,23888868,410519
15,73878860,23813853,410636
16,53950017,23684695,410760
17,88510553,23812803,394193
18,106857842,23719362,410491
19,72878740,23853870,410922
20,61481307,23796029,410505
21,85550212,23870476,394349
22,60971281,23887645,410476
23,90865225,23778316,393991
24,83797388,23951590,410599
25,86366712,23894075,410557
26,92079692,23838355,394261
27,59565989,23951606,410619
28,64765674,24009139,410717
29,65360398,23859034,410902
