iter,keypair,sign,verify
0,1356068,2254863,1351200
1,1376777,2254232,1351240
2,1366387,5491488,1351359
3,1335298,3347268,1351420
4,1376685,5052365,1351587
5,1345606,2359828,1351922
6,1345685,4037191,1351509
7,1355952,1717750,1352071
8,1366381,5169805,1351804
9,1335444,2796916,1351468
10,1335385,1717831,1351450
11,1356069,5148241,1351638
12,1335432,3996660,1351236
13,1356031,1717878,1351673
14,1356231,1717811,1351803
15,1366317,1717850,1351322
16,1335337,2398835,1351639
17,1366490,2900794,1351490
18,1366367,1717725,1351997
19,1387004,1717844,1351414
20,1387025,2359286,1352024
21,1345724,2897341,1351710
22,1355923,3360615,1351180
23,1355971,1717966,1350998
24,1397309,3343699,1351342
25,1366298,2790042,1351374
26,1376769,4456744,1351230
27,1387179,3567052,1351596
28,1366338,2359981,1351365
29,1355939,2283548,1351008
30,1345791,2257547,1351336
31,1387073,7462215,1351424
32,1366385,1717839,1351730
33,1366308,1717716,1352026
34,1355945,1717920,1351396
35,1345768,1717968,1351163
36,1355880,1717798,1351824
37,1366369,2259977,1351498
38,1356075,3364498,1351786
39,1335401,3426105,1350996
40,1366377,2396989,1351333
41,1355902,7237443,1351542
42,1376665,1717905,1351136
43,1345751,2397619,1351553
44,1356022,2254524,1351408
45,1355881,6119333,1351895
46,1355996,3360296,1352027
47,1366263,2282634,1351497
48,1355779,2820529,1351416
49,1366372,3394030,1351155
50,1386828,1717840,1351604
51,1376814,3496546,1351878
52,1335550,1718037,1350802
53,1324937,2860467,1351442
54,1356171,2282390,1351382
55,1325015,2284357,1350935
56,1366344,2253874,1351495
57,1366357,5631958,1351429
58,1356144,4621848,1350692
59,1345700,2358999,1351727
60,1366408,5861323,1351649
61,1345749,2795847,1351068
62,1345675,1717910,1351016
63,1335394,6750579,1351264
64,1376762,1717841,1351560
65,1366452,3943086,1351285
66,1376829,2283136,1351879
67,1387129,5097907,1351969
68,1376772,1717810,1351835
69,1366340,3038804,1351711
70,1356062,2321004,1351564
71,1345660,5755415,1351539
72,1387078,5313906,1352187
73,1366361,6905752,1351495
74,1366284,3874902,1352082
75,1335216,14657172,1351651
76,1345679,3335056,1351697
77,1366302,2322221,1351666
78,1345638,2888821,1351699
79,1345855,3924961,1351395
80,1345719,5738146,1351871
81,1355955,1717791,1351774
82,1366377,1717906,1351104
83,1345597,6080571,1351397
84,1345582,3459878,1351471
85,1355953,2827102,1351345
86,1366338,2818165,1351226
87,1345664,3429916,1351477
88,1376756,3078381,1351321
89,1345668,1717937,1351076
90,1345758,1717867,1351487
91,1356187,2999395,1351428
92,1355921,6188303,1351456
93,1345587,1717829,1351529
94,1387002,2253427,1351488
95,1356135,1717917,1351063
96,1366444,3403753,1351771
97,1345828,5008686,1351373
98,1356056,3356501,1351355
99,1376569,2255534,1350877
