iter,keypair,sign,verify
0,3242569,19190514,3085718
1,3243067,14584491,3085735
2,3242915,9897311,3086104
3,3243062,3645524,3085466
4,3243216,11697848,3085274
5,3243292,15775342,3085619
6,3243494,10945589,3085330
7,3243943,6279723,3085375
8,3242916,3645454,3085643
9,3243526,3645415,3085907
10,3242739,3645580,3085683
11,3243056,3645380,3085983
12,3243314,6355850,3085940
13,3242253,8994646,3085830
14,3242338,3645492,3085965
15,3242708,5324545,3085545
16,3243396,7042937,3086099
17,3244132,9184379,3086019
18,3243293,4559995,3086247
19,3243808,11738734,3085995
20,3242554,12569517,3085088
21,3242088,8836104,3085665
22,3242031,3645445,3085592
23,3242655,5321103,3085671
24,3243184,6509745,3085315
25,3242206,3645618,3085195
26,3242032,3645306,3085853
27,3243338,4489945,3085434
28,3242033,6525024,3085791
29,3242823,6352477,3085703
