iter,keypair,encaps,decaps
0,375955,375033,411143
1,376148,375226,411336
2,376025,375103,411213
3,376119,375197,411307
4,375831,374909,411019
5,376019,375097,411207
6,376143,375221,411331
7,375687,374765,410875
8,375847,374925,411035
9,375808,374886,410996
10,376115,375193,411303
11,375676,374754,410864
12,376280,375358,411468
13,375952,375030,411140
14,386585,385696,421773
15,376002,375080,411190
16,376213,375291,411401
17,376054,375132,411242
18,376159,375237,411347
19,375984,375062,411172
20,376174,375252,411362
21,386642,385720,421830
22,375484,374562,410672
23,375856,374934,411044
24,376103,375181,411291
25,376136,375214,411324
26,375862,374940,411050
27,376144,375222,411332
28,375711,374789,410932
29,375712,374790,410900
30,376211,375289,411399
31,376290,375368,411478
32,375715,374793,410903
33,375822,374900,411010
34,375745,374823,410933
35,375687,374765,410875
36,375864,374942,411052
37,386593,385671,421781
38,386639,385717,421827
39,376011,375089,411199
40,376019,375097,411207
41,375860,374938,411048
42,375865,374943,411053
43,376159,375205,411315
44,375374,374452,410562
45,375725,374803,410913
46,375839,374917,411027
47,375749,374827,410937
48,376018,375096,411206
49,375804,374882,410992
50,376224,375302,411412
51,375766,374844,410954
52,375684,374762,410872
53,376346,375424,411534
54,375946,375024,411134
55,376244,375322,411432
56,375859,374937,411047
57,376099,375211,411287
58,375686,374764,410874
59,376159,375237,411347
60,375995,375073,411183
61,375995,375073,411183
62,375866,374944,411054
63,375936,375014,411124
64,375814,374892,411002
65,375867,374945,411055
66,375963,375041,411151
67,375827,374905,411015
68,376028,375106,411216
69,376376,375454,411564
70,375831,374909,411019
71,376305,375383,411527
72,375987,375065,411175
73,375815,374893,411003
74,375520,374598,410708
75,375400,374478,410588
76,375606,374684,410794
77,375617,374695,410805
78,376097,375175,411285
79,376213,375291,411401
80,375652,374730,410840
81,376066,375144,411254
82,376169,375247,411357
83,376158,375236,411346
84,375615,374693,410803
85,376163,375241,411351
86,376131,375242,411319
87,375792,374870,410980
88,375892,374970,411080
89,376088,375166,411276
90,376255,375333,411443
91,376052,375130,411240
92,376018,375096,411206
93,375991,375069,411179
94,375973,375051,411161
95,375927,375005,411115
96,376044,375122,411232
97,376171,375249,411359
98,376021,375099,411209
99,375981,375059,411169
