iter,keypair,sign,verify
0,14655063,343152889,20806514
1,14655100,343152440,20083354
2,14655063,343174561,20131600
3,14655100,343177647,20517285
4,14655093,343159005,19842301
5,14655099,343162509,20035107
6,14655100,343219184,20227992
7,14655103,343201509,20710064
8,14655093,343153192,20276133
9,14655100,343152818,20613659
10,14655099,343182986,20758257
11,14655093,343176343,19938716
12,14655101,343183357,20902966
13,14655063,343151163,20083336
14,14655099,343166151,20083374
15,14655063,343150947,20179769
16,14655100,343190068,20902909
17,14655100,343206029,20420860
18,14655100,343167967,19890519
19,14660263,343175518,20469046
