iter,keypair,sign,verify
0,16628637,389335229,23021866
1,16628683,389335284,23295113
2,16628681,389335152,24060204
3,16628679,389335172,22967155
4,16628685,389335327,23076304
5,16628680,389335371,23404457
6,16628681,389335129,23295017
7,16628681,389335319,22912612
8,16628682,389335179,23841972
9,16628678,389335152,23404502
10,16628682,389335178,24278877
11,16628683,389335395,23076555
12,16628676,389335153,22529821
13,16628685,389335195,23951350
14,16628682,389335389,23513660
15,16628681,389335098,23568676
16,16628681,389335260,23349757
17,16628681,389335131,22420584
18,16628680,389335149,22639285
19,16628682,389335286,22803071
20,16628682,389335381,23732538
21,16628678,389335355,24005711
22,16628680,389335422,23404457
23,16628685,389335093,23076617
24,16628682,389335173,23349738
25,16628682,389335363,23896574
26,16628684,389335269,23732392
27,16628685,389335346,23732499
28,16628682,389335313,23295105
29,16628680,389335204,23951069
