iter,keypair,sign,verify
0,1057476758,8040234498,7534394
1,1057476743,8040234384,8186957
2,1057476760,8040234350,7752070
3,1057476737,8040234448,8241295
4,1057476738,8040234508,7697601
5,1057476711,8040234360,8404405
6,1057476742,8040234272,7915283
7,1057476724,8040234489,7915181
8,1057476713,8040234422,7697600
9,1057476780,8040234385,7915134
10,1057476769,8040234423,7588893
11,1057476742,8040234397,7914922
12,1057476729,8040234496,7860713
13,1057476710,8040234313,8186989
14,1057476739,8040234511,8186980
15,1057476743,8040234448,7697550
16,1057476732,8040234487,7969367
17,1057476748,8040234347,7752068
18,1057476741,8040234475,8295624
19,1057476753,8040234280,8458646
20,1057476729,8040234506,7806353
21,1057476738,8040234328,8078219
22,1057476725,8040234537,8078198
23,1057476806,8040234346,7969521
24,1057476740,8040234392,7588893
25,1057476713,8040234227,8295623
26,1057476746,,
