iter,keypair,sign,verify
0,86265161,23499055,464849
1,108785864,23646616,464695
2,84836784,23369150,465011
3,78484276,23492685,464643
4,81834098,23531816,448644
5,83583722,23495097,464988
6,102051957,23410577,464610
7,78144126,23479267,448721
8,139197845,23607939,464855
9,79172007,23580826,465290
10,82523321,23620137,448817
11,94438347,23399012,464724
12,83796624,23640641,464986
13,91773035,23522964,465221
14,92287910,23564976,448819
15,108145243,23414584,448773
16,88986747,23625827,448216
17,104832977,23675555,465078
18,128862161,23592668,448678
19,101462327,23436113,464684
20,91432554,23638149,464816
21,151098723,23573213,464534
22,99026322,23488266,464469
23,95821872,23595199,448597
24,81135025,23508392,448352
25,114626452,23546682,464462
26,99954109,23431144,464527
27,79536658,23516122,465142
28,85332084,23515863,465141
29,101100861,23436878,464650
