iter,keypair,sign,verify
0,2770837,15385723,2765154
1,2703614,3391439,2765752
2,2726031,4434769,2765935
3,2748436,4443244,2765804
4,2793114,6540816,2765474
5,2725857,7835219,2765890
6,2748214,7614253,2764629
7,2765964,5680901,2764777
8,2699089,5623260,2765710
9,2743331,7654905,2766207
10,2765701,6538121,2766659
11,2721252,3396093,2765363
12,2765897,5703584,2765975
13,2814893,3391534,2766460
14,2703653,3391399,2765836
15,2748389,13353925,2765467
16,2748691,3391477,2766097
17,2770613,3391355,2766661
18,2748330,4441664,2765665
19,2792887,15416189,2765300
20,2743450,15319152,2765428
21,2810488,7788527,2766235
22,2743756,5583793,2765488
23,2743584,5647822,2766085
24,2721229,3396197,2766016
25,2743146,3391398,2766011
26,2725961,8929284,2765672
27,2770276,5693446,2766133
28,2748223,3391491,2766535
29,2748310,4474924,2766825
30,2703498,3391535,2765763
31,2748094,15651204,2764981
32,2743460,12309109,2765050
33,2743543,3395882,2765463
34,2720951,8720893,2765836
35,2765919,13167806,2765901
36,2721347,7785039,2766945
37,2698680,3396255,2765776
38,2721073,5479700,2766660
39,2703643,3391445,2766094
40,2748532,5588197,2765806
41,2725759,3391555,2766236
42,2770485,3391373,2765360
43,2725564,3391563,2765837
44,2770370,4440885,2766467
45,2765560,5526297,2766521
46,2788050,3396066,2764979
47,2698932,10003078,2765178
48,2810095,4480693,2767018
49,2765362,6682999,2767023
50,2743202,3396175,2766327
51,2699039,3391311,2765395
52,2770722,8731145,2766773
53,2725936,11072593,2765318
54,2770213,11227683,2765460
55,2726017,7582562,2767209
56,2815085,3391400,2765146
57,2726093,5739153,2766808
58,2788023,10002168,2765925
59,2743484,9865871,2765058
60,2787871,5522285,2765607
61,2721261,6577137,2765481
62,2810074,4444425,2765154
63,2743501,4439912,2765446
64,2748558,8896955,2766434
65,2792383,3391511,2766359
66,2703940,4440577,2767104
67,2748410,12923003,2765589
68,2748459,5855605,2766333
69,2748269,4476650,2765816
70,2770666,3396093,2766121
71,2698920,3396260,2765530
72,2743581,6691474,2763838
73,2698869,4695050,2766735
74,2766009,6536935,2766336
75,2743336,4539215,2765412
76,2787885,19185700,2766170
77,2747986,5677157,2766247
78,2726302,7578209,2765783
79,2703768,7837789,2766394
80,2792687,13142083,2766273
81,2748317,7669952,2766969
82,2770856,8657989,2766805
83,2770335,3396039,2764851
84,2743603,3396036,2765112
85,2721247,3395923,2765242
86,2787760,8632217,2767061
87,2698700,3396087,2765999
88,2765636,4436435,2765712
89,2743231,5516319,2765501
90,2703815,4433961,2765571
91,2703719,8886115,2766933
92,2725761,6785881,2766479
93,2770582,3391215,2765490
94,2792889,14167825,2765414
95,2770222,5525622,2766175
96,2765866,8942819,2765927
97,2743637,6695294,2765719
98,2810236,4656928,2766106
99,2765594,6635765,2765744
