iter,keypair,sign,verify
0,2790048,15549422,2782590
1,2717296,3416673,2782055
2,2740033,4471511,2781522
3,2762128,4480640,2783525
4,2807151,6600785,2781263
5,2739676,7910366,2781993
6,2762022,7687227,2781999
7,2779422,5732092,2780787
8,2712679,5672423,2781808
9,2756995,7729695,2782236
10,2779648,6598924,2782873
11,2734748,3421478,2782330
12,2779753,5757553,2784011
13,2829064,3417037,2782386
14,2717375,3416784,2781776
15,2762058,13490532,2783063
16,2762377,3416578,2783703
17,2784550,3416954,2782335
18,2762082,4479581,2781544
19,2806932,15579857,2781137
