iter,sign_ns,verify_ns
0,24752,62368
1,24908,62244
2,24991,62488
3,24771,62263
4,24679,62465
5,23222,62246
6,20962,62214
7,21101,62409
8,20932,64436
9,21017,62285
10,20969,62260
11,20846,62291
12,21043,62400
13,20980,62280
14,20979,62254
15,20930,62379
16,20959,62495
17,21048,62499
18,20958,62492
19,20966,62411
20,20903,62333
21,20918,62550
22,21003,62447
23,20920,63050
24,21000,64950
25,21043,64031
26,21033,62649
27,20962,67793
28,20979,77852
29,21057,86477
30,21002,71100
31,20922,77738
32,21190,65865
33,20874,66283
34,20872,65981
35,20892,66159
36,21019,65705
37,23993,65979
38,21044,69954
39,20960,75740
40,23674,93524
41,25005,109857
42,24843,108906
43,25668,87097
44,24127,86775
45,24133,92438
46,23974,73804
47,24073,68289
48,24069,62301
49,24087,65274
50,24196,74271
51,21160,72927
52,20869,76080
53,20881,98111
54,20984,75901
55,20940,76955
56,20913,70408
57,20975,68824
58,20946,71389
59,20819,62457
60,21083,62361
61,21037,62480
62,21024,62574
63,21019,66839
64,20931,65695
65,21195,62833
66,20910,62597
67,21026,69933
68,20911,62647
69,20902,62310
70,20882,62456
71,20887,62361
72,20887,62427
73,20811,66425
74,21072,62553
75,21100,62237
76,21674,62428
77,21162,62209
78,20886,62421
79,20892,62292
80,20954,64192
81,20817,62372
82,20994,62417
83,23113,62535
84,20835,62368
85,20915,62374
86,23065,62474
87,24910,62340
88,24745,62454
89,24736,62474
90,24897,62467
91,24762,62569
92,25184,62580
93,25428,62551
94,24965,62328
95,24856,65590
96,26089,69716
97,21193,66788
98,21372,66835
99,21145,62405
100,21013,62373
101,20899,62320
102,21152,62349
103,20808,62318
104,21017,62369
105,21164,62508
106,21076,62352
107,21169,62295
108,21037,62298
109,21040,62337
110,20914,62206
111,21025,62424
112,20995,66748
113,21119,62576
114,21049,62530
115,21171,62299
116,21053,62486
117,20988,62564
118,20948,62517
119,21191,62324
120,21105,62376
121,21294,66419
122,20988,62604
123,20884,62211
124,20966,62245
125,20939,62252
126,21017,62269
127,21323,62424
128,24430,69561
129,21159,62543
130,20987,62682
131,23105,63069
132,24820,62505
133,24982,62333
134,24845,62280
135,25086,62474
136,25788,62538
137,24316,62316
138,24282,62380
139,24142,63145
140,24177,62403
141,24356,62538
142,24158,62572
143,24242,62251
144,24498,65400
145,21639,62390
146,21250,62402
147,21123,62321
148,21192,62423
149,20863,62249
150,20781,62576
151,21040,62653
152,21050,62502
153,20856,62615
154,20968,62381
155,20937,62370
156,20881,62300
157,20770,62698
158,20799,62410
159,20945,62468
160,20913,65988
161,20912,62627
162,20995,62352
163,20842,62409
164,21034,62590
165,21046,62318
166,20908,62592
167,20980,62245
168,21001,62494
169,21032,62228
170,21013,62381
171,20820,62351
172,20711,62531
173,23755,62471
174,21095,62357
175,21087,62390
176,24304,65232
177,25581,62672
178,25711,62481
179,25744,62366
180,25725,62500
181,25602,62466
182,25709,62333
183,25632,62588
184,25639,62343
185,25640,62804
186,25768,62479
187,25530,62327
188,20859,62522
189,20874,62604
190,20919,62416
191,21063,62435
192,21047,65355
193,20776,62524
194,20799,62406
195,20762,62409
196,20892,62488
197,21004,62573
198,21097,62486
199,20905,62553
200,20981,62522
201,20850,62330
202,21048,62247
203,20828,62312
204,20929,62356
205,20905,62424
206,20896,62367
207,21015,62370
208,20872,65419
209,20780,62408
210,21064,62467
211,20974,66498
212,21024,62689
213,20858,62690
214,20904,62480
215,20918,62344
216,20977,62403
217,20975,62636
218,23253,66757
219,20842,62470
220,21215,62439
221,24541,63184
222,25811,62471
223,25890,65326
224,25847,62611
225,26629,62460
226,24847,62425
227,25688,62491
228,22754,62375
229,22770,62539
230,22746,62297
231,23609,62706
232,20911,62550
233,20877,62466
234,21037,62436
235,21097,62558
236,20952,62439
237,21157,62387
238,21175,62290
239,20885,65223
240,20949,62733
241,21189,62323
242,21042,62284
243,21064,62657
244,21130,62254
245,21027,62472
246,20975,62625
247,21081,62280
248,20967,62332
249,21064,62542
250,20922,62330
251,21182,62370
252,21029,62475
253,20758,62505
254,20958,62407
255,21061,65729
256,20957,62687
257,21032,62546
258,21003,62484
259,21133,62332
260,20892,62471
261,20962,62333
262,20940,62465
263,23779,62377
264,21003,62545
265,20870,62405
266,21645,62201
267,22673,62605
268,24325,62459
269,24884,66183
270,24839,62398
271,24872,66589
272,24775,62608
273,25492,62343
274,22756,62427
275,22784,62313
276,22709,62199
277,22183,62511
278,20884,62267
279,20978,63484
280,20952,62396
281,20947,62519
282,21029,62468
283,20737,62256
284,21025,62307
285,20783,62366
286,21061,62436
287,20847,65181
288,20849,62571
289,20856,62385
290,20955,62513
291,20861,62461
292,20959,62573
293,20980,62514
294,20828,62301
295,20821,62649
296,21089,62509
297,20943,62428
298,20954,62543
299,21018,62239
300,20851,62661
301,21013,62552
302,20944,62585
303,20943,65423
304,20918,66632
305,20932,62376
306,21043,62038
307,21031,62452
308,21052,62399
309,23316,62084
310,20903,62439
311,21006,66324
312,20947,62467
313,23062,62236
314,21582,62341
315,22726,62368
316,22769,62519
317,22710,62309
318,22806,62666
319,22717,66202
320,22727,62926
321,23700,62411
322,22013,62175
323,22125,62323
324,21919,62377
325,22016,62466
326,20989,62286
327,20807,62446
328,20885,62248
329,20939,62076
330,21020,62378
331,20851,62339
332,20925,62333
333,20815,62549
334,20950,62357
335,20857,64743
336,20929,62637
337,20984,62518
338,21126,62431
339,20773,62360
340,20956,62667
341,20813,62359
342,21005,62574
343,21006,62444
344,20948,62677
345,20824,62418
346,20991,62602
347,21014,62445
348,20884,62413
349,20970,62626
350,20941,62513
351,20972,64907
352,21090,62388
353,21090,62204
354,20858,62391
355,20921,62328
356,23412,62587
357,20950,62278
358,20838,62309
359,21120,62330
360,21497,62370
361,21584,62497
362,21406,62413
363,21668,62523
364,21429,62512
365,21578,62409
366,21482,62415
367,21606,66728
368,21557,62380
369,21528,62391
370,21521,62456
371,22624,68022
372,21007,62428
373,20815,62356
374,21015,62357
375,21114,62424
376,20939,62343
377,20865,62432
378,21030,62463
379,20891,62319
380,20798,62360
381,21024,66362
382,20938,62715
383,20976,65452
384,20904,62548
385,20822,62533
386,20885,62364
387,20986,62634
388,21038,62420
389,21065,62545
390,20840,62457
391,20814,62553
392,20898,62358
393,21048,62308
394,20843,62394
395,20956,62312
396,20906,62476
397,20805,62373
398,20788,70153
399,20905,62550
400,20679,62372
401,20954,62620
402,20996,62290
403,23284,62529
404,21006,62394
405,21285,66617
406,20925,62556
407,21699,62562
408,20959,62533
409,21148,62475
410,20922,62320
411,21021,62369
412,21067,66188
413,21021,62579
414,20958,64436
415,20969,62519
416,20892,62839
417,20935,62541
418,20925,62606
419,20865,66657
420,20845,62497
421,20904,62348
