iter,sign_ns,verify_ns
0,251388,137882
1,583134,137977
2,584107,137905
3,361254,140316
4,813330,136354
5,695747,135685
6,1135616,135836
7,1258632,136169
8,257312,136022
9,584447,135864
10,481875,136088
11,587518,139355
12,254650,135577
13,592301,136611
14,365011,136045
15,479341,136104
16,258362,136099
17,363894,136028
18,261703,138982
19,589533,136522
20,694088,137053
21,370657,136979
22,701401,136565
23,1131703,137745
24,807453,136407
25,592647,138274
26,1139476,137668
27,254159,136975
28,588064,137128
29,583240,137380
30,485516,137144
31,362927,137043
32,597295,137191
33,1253640,137605
34,920309,136271
35,367512,136253
36,810928,141617
37,594462,136276
38,585646,136038
39,366468,141206
40,253644,138618
41,253636,137130
42,586611,137133
43,360772,137300
44,477052,137434
45,255404,137079
46,362725,137159
47,1679620,138917
48,695519,137937
49,259250,138063
50,478929,138004
51,805110,137224
52,261014,136982
53,481147,137336
54,1168398,138266
55,1586494,137155
56,257900,136828
57,1468528,136663
58,588532,137026
59,368527,136675
60,1024483,136990
61,805721,136622
62,2448278,138465
63,1157719,141289
64,1247409,137329
65,1578253,137098
66,268648,142711
67,1908548,135999
68,1464072,136079
69,475644,138628
70,259185,137562
71,477865,137756
72,261502,137305
73,1028734,137056
74,473053,136892
75,592787,137528
76,369115,138945
77,368104,137684
78,1362144,142207
79,260725,135111
80,255568,135791
81,591889,136019
82,252380,135507
83,814729,136882
84,364810,137597
85,589229,136879
86,592289,135415
87,252479,134592
88,1028798,136029
89,1462541,136037
90,588321,136192
91,1348954,138330
92,3340884,136825
93,804663,137345
94,595099,137377
95,367258,136287
96,597323,136318
97,479565,136788
98,821421,138019
99,252936,138490
100,257762,136891
101,255024,137209
102,590456,138037
103,581907,137376
104,365761,145583
105,1473659,174746
106,1364409,148970
107,1153614,164358
108,260641,157920
109,693681,141284
110,1137089,137159
111,803994,136520
112,256478,138859
113,1465954,138942
114,364762,140042
115,475655,138045
116,252913,136876
117,376511,137493
118,1848242,137141
119,1435423,138785
120,587659,138381
121,256289,139302
122,694263,136992
123,477461,137008
124,806619,137972
125,256000,137851
126,806089,138866
127,254135,138610
128,805550,137234
129,474113,138172
130,916781,138349
131,371903,137341
132,1031922,138072
133,805553,142710
134,696524,139749
135,477366,136596
136,810961,141628
137,915250,136708
