iter,sign_ns,verify_ns
0,15322394,845324
1,15348103,841664
2,15365455,836755
3,15223530,836659
4,14864952,838717
5,15191784,837031
6,15502483,837506
7,15395314,838418
8,15351797,838471
9,15426652,838937
10,15387865,841118
11,15406113,839621
12,15398469,839463
13,15394998,838694
14,15435146,847796
15,15593494,842747
16,15418656,834961
17,15883171,840132
18,15853516,838255
19,16319512,838344
20,16417837,837394
21,16377315,839515
22,16206105,840373
23,15878869,837528
24,15867399,839236
25,15908270,838774
26,15884409,839724
27,15874299,838178
28,15901340,889121
29,15904459,879831
30,15902294,842866
31,15883294,841345
32,15863648,841856
33,15889404,845736
34,15850368,844295
35,15882420,838051
36,15862576,842022
37,15880525,840108
38,15917911,839643
39,15887419,839444
40,15885344,842436
41,15822400,836394
42,15403475,839003
43,15354821,844480
44,15353257,842473
45,15375783,838844
46,15396363,838307
47,15355497,840765
48,15366525,838049
49,15365841,839597
50,15468702,839991
51,15343000,838711
52,15375997,839999
53,15372370,849841
54,15374541,842642
55,15387967,839173
56,15388828,838751
57,15385835,838232
58,15368948,840160
59,15392198,837971
60,15379299,836949
61,15382293,840470
62,15335400,838517
63,15113677,837560
64,15211285,838154
65,15426687,837817
66,15650053,842565
67,16069744,843406
68,15882937,839366
69,15895784,838366
70,15856409,838533
71,15896668,839152
72,15843298,841218
73,15895646,836610
74,15872141,837651
75,15913312,839061
76,15943506,837912
77,15902237,837100
78,15865253,837622
79,15894148,837185
80,15882382,842155
81,15891801,842697
82,15855070,837608
83,15444065,837608
84,15358164,848310
85,15613799,836645
86,15857470,836959
87,15979820,843740
88,16389351,840227
89,16704045,843383
90,17005909,838715
91,17077345,838377
92,17004001,841894
93,17053023,839585
94,17025813,839043
95,17023806,842856
96,17044709,844103
97,17019734,836188
98,16974392,842052
99,17028116,838349
100,16979439,838132
101,16992247,837569
102,16994186,837776
103,17004227,837326
104,16984549,837077
105,17058105,838001
106,16988797,846328
107,17036024,839474
108,17031941,837912
109,17001620,837114
110,17148773,836956
111,17184155,838634
112,17197509,840996
113,17234533,843613
114,17791322,839610
115,17758827,838999
116,17656970,836607
117,17464041,845747
118,17656314,837813
119,17617893,845454
120,17640773,842560
121,17761654,841940
122,17743505,837238
123,17740789,839489
124,17647462,838236
125,17734019,837611
126,17693766,839119
127,18338309,843081
128,18303110,849991
129,18322536,835091
130,18303724,840882
131,18443153,842569
132,17791012,844940
133,17763040,845485
134,17643949,838385
135,17640761,837420
136,17072696,837498
137,16998732,846144
138,17204984,840763
139,17049407,839118
140,17188500,838418
141,16834791,837086
142,16418702,841647
143,16430789,839424
144,16539299,839258
145,16299228,838241
146,15882326,839596
147,15900750,849917
148,16027170,1057462
149,16020192,903915
150,15989954,849954
151,15965610,839472
152,15904106,838898
153,15501371,842831
154,15357558,847922
155,15382174,838055
156,15379135,838269
157,15384257,839351
158,15339631,838195
159,15406300,839724
160,15654711,838304
161,15505726,839603
162,15487505,835451
163,15483686,837588
164,15493255,837663
165,15282098,838116
166,14974530,839053
167,15015820,837905
168,14981966,837989
169,15118014,839555
170,15426089,839524
171,15000711,839919
172,14841445,839766
173,14891235,837525
174,14860933,836884
175,14898020,837955
176,14887946,838506
177,15084375,838014
178,15009725,838392
179,14996976,838048
180,14891153,841555
181,14980271,838162
182,14514693,839051
183,14439948,839041
184,14448814,837695
185,14515709,836714
186,14393983,836298
187,14452786,835034
188,14434488,838417
189,14472456,837594
190,14487547,836770
191,14583927,837563
192,14428256,845408
193,14485232,840679
194,14430813,839660
195,14436562,837075
196,14441072,838771
197,14603940,837397
198,14603182,838060
199,14587485,837837
200,14436251,837866
201,14464460,841507
202,14496080,841238
203,14482138,837961
204,14541663,837875
205,14464514,837321
206,14556352,837603
207,14564501,839650
208,14574741,837107
209,14486935,837353
210,14425553,839760
211,14485417,837537
212,14425122,840090
213,14463590,838966
214,14414678,839504
215,14428631,845300
216,14581813,842570
217,14543253,839764
218,14421879,844284
219,14574510,847604
220,14522950,842320
221,14470314,839175
222,14752097,838107
223,14488841,848053
224,14446775,837553
225,14906832,837835
226,15153517,838911
227,14685815,957682
228,14574727,852780
229,14520728,841415
230,14719816,839769
231,14466033,843745
232,14435786,837452
233,14434565,841387
234,14416644,848579
235,14551510,843851
236,14451544,839062
237,14815043,836889
238,14539126,836736
239,14515757,847559
240,14608576,838055
241,14408623,838578
242,14557989,839635
243,14451786,839736
244,14415756,837727
245,14452370,841821
246,14446490,839883
247,14597366,839415
248,14456069,842385
249,14441497,839236
250,14590618,837588
251,14590126,846724
252,14638672,848888
253,14544728,845130
254,14448499,839203
255,14467361,839532
256,14426707,840809
257,14734271,839261
258,14448747,844135
259,14432473,845824
260,14484285,841132
261,15115098,836890
262,14809010,837925
263,14569114,845456
264,14516813,840120
265,14557310,846711
266,14445611,849059
267,14434431,841464
268,14424270,838815
269,14449795,837648
270,14837418,837650
271,14462626,839456
272,14530732,838285
273,14647480,839593
274,14444368,838117
275,14547086,836013
276,14608812,837811
277,14539300,838405
278,14491289,837758
279,14554593,838362
280,14433621,838227
281,14434425,836065
282,14409464,836867
283,14439499,837210
284,14429725,839434
285,14447404,838004
286,14454993,841331
287,14683110,841711
288,14576000,847684
289,14538728,838584
290,14472944,843737
291,14527123,843538
292,14658499,844279
293,14571484,844472
294,14632153,837727
