iter,sign_ns,verify_ns
0,286930303,454215
1,294593797,452036
2,301096732,3461121
3,298259343,451795
4,300795683,455050
5,302654311,453531
6,300389580,456502
7,298667197,452505
8,302135007,452181
9,295679266,3455892
10,290659758,453465
11,293521944,456985
12,305069656,452706
13,301687481,455527
14,301354928,453721
15,293550234,3454971
16,289442137,452360
17,293128466,466124
18,293646371,450486
19,292777581,451552
20,288169259,456277
21,293793561,453073
22,290170812,3465044
23,318481787,452637
24,476403610,455765
25,430866437,451629
26,406314258,453142
27,399614796,451597
28,390256448,3455198
29,371711135,451648
30,369780590,451614
31,376354888,454120
32,359291022,451186
33,315118227,453699
34,299208562,451034
35,289681876,3455798
36,289264084,452447
37,290754040,454422
38,297675667,451358
39,289947039,453358
40,289432324,450789
41,287601453,450992
42,287010940,3456446
43,299105640,452547
44,302514954,453335
45,297434954,452096
46,294955667,454280
47,292185495,450729
48,377548013,3454886
49,445605638,451635
50,433809835,453200
51,350138819,452051
52,310952834,452438
53,301697469,453713
54,299479286,451489
55,289011158,3455329
56,286360978,450997
57,294322027,453967
58,299093449,450271
59,294854898,453552
60,296633808,451551
61,292796623,3454284
62,299034755,452012
63,318836748,450898
64,316061023,453203
65,301393039,451168
66,302750482,453294
67,301479973,450719
68,295888147,3455079
69,288456418,451783
70,290821946,453216
71,292944927,451557
72,295956161,451963
73,290707092,452781
74,292630780,451197
75,294931118,3455788
76,292687476,452044
77,305098044,453744
78,298731521,452011
79,292233508,453802
80,291814772,451959
81,293096386,3455764
82,293428527,452648
83,310835955,451902
84,328425298,455635
85,319158604,479298
86,292486037,3459953
87,292790351,453227
88,284297249,455621
89,281667627,451583
90,284939331,454832
91,298809089,451153
92,322946582,453984
93,326102250,451559
94,313442450,451017
95,300234178,3436344
96,302911971,432176
97,309755426,433463
98,294425070,432088
99,291429598,433387
100,286312674,430947
101,288407026,3434300
102,288148275,432303
103,306659875,432823
104,333522095,435133
105,320571251,431877
106,311418784,435286
107,304040716,432040
108,300240228,3434418
109,292863778,432109
110,296360527,431537
111,300038601,434877
112,299054771,431471
113,298886313,3434943
114,294025767,431890
115,290797417,433813
116,287516227,436965
117,285563167,435522
118,284288174,434564
119,288047827,432170
120,283866782,434465
121,287054019,431071
122,289809030,3435441
123,290107003,431982
124,289492926,431572
125,300603319,434141
126,300650801,431825
127,299974098,434245
128,303646407,432887
129,295676720,3441536
130,290491928,442437
131,295977283,439402
132,304446563,432441
133,298143263,432378
134,293219545,435222
135,305795236,433182
136,303662917,3442786
137,299806053,432348
138,298984788,434957
139,287448038,437175
140,287731384,436430
141,286546247,434700
142,302628705,433596
143,318286599,3436378
144,312046777,432120
145,300559606,434014
146,295378908,431768
147,297856687,431608
148,546353173,434116
149,600688849,432127
150,587842060,3491644
151,597117623,541986
152,589968796,467275
153,654333160,433230
154,641789506,437118
155,616162522,434451
156,606399511,3439163
157,583701153,433390
158,586290990,432964
159,577670612,436223
160,575906182,432562
161,581233790,435365
162,589218029,431601
163,591418611,3435076
164,582504664,432116
165,598384924,434729
166,590117519,432469
167,690362395,432169
168,623420050,3457792
169,584117545,436479
170,646721213,444889
171,647815327,435663
172,588207572,452109
173,581157857,454033
174,594429301,455826
175,587720294,456278
176,583679615,455085
177,587177968,3458397
178,588472445,451127
179,583260592,454362
180,587001565,451962
181,575803484,455306
182,575939592,451441
183,581382233,3457734
184,569494415,451851
185,587615264,434786
186,582627188,434936
187,606875769,431571
188,587330437,457320
189,593852530,533566
190,593445801,3461572
191,584535169,452499
192,587014614,455629
193,587947994,452177
194,581844658,455157
195,582152203,451380
196,587982887,3456379
197,594055448,452619
198,599824047,451868
199,591710076,454513
