iter,sign_ns,verify_ns
0,496142,326965
1,496136,289186
2,490159,282778
3,496899,282628
4,505095,283588
5,497344,278701
6,494022,279172
7,493984,281926
8,504498,284314
9,494695,279854
10,498330,280724
11,506022,284754
12,507253,278830
13,498423,277939
14,500241,279798
15,496115,284179
16,487153,278504
17,494051,278856
18,492707,286939
19,498874,280751
20,496475,290654
21,497568,285964
22,492729,279561
23,497620,279677
24,494627,279543
25,498399,280629
26,503202,281770
27,496735,280254
28,491176,282543
29,492269,281614
30,489144,277974
31,494463,278826
32,486913,279683
33,494804,277883
34,489646,277417
35,491548,279731
36,489317,278951
37,494238,279609
38,495893,281561
39,502560,283086
40,497146,281968
41,493686,278250
42,495542,278650
43,495792,282377
44,491823,277970
45,495311,278722
46,492489,281817
47,501913,277985
48,499362,277258
49,494781,278135
50,490751,280920
51,495043,279958
52,498858,281108
53,495674,281921
54,493343,315729
55,493827,318496
56,491993,277288
57,499286,286594
58,491691,280389
59,495340,279402
60,497914,280528
61,497115,280133
62,494958,281556
63,499593,280493
64,492242,281668
65,494065,282297
66,494519,282184
67,493030,283843
68,488596,278356
69,495669,278699
70,494334,278185
71,494956,295140
72,495140,285693
73,510063,282515
74,499662,282030
75,498388,277963
76,496043,277855
77,492405,279166
78,492534,280696
79,495570,277935
80,506033,277239
81,512514,279413
82,492622,280308
83,493274,277570
84,502005,278516
85,494262,281254
86,500341,278021
87,499773,278536
88,493725,278580
89,494319,280567
90,496014,277819
91,492937,298841
92,495258,279557
93,500381,277327
94,497567,278487
95,495591,278076
96,495022,281328
97,502399,345353
98,485810,281839
99,493587,283623
100,504564,279116
101,510029,278739
102,497148,278619
103,500099,282456
104,500123,279407
105,502786,279111
106,491842,281487
107,497298,280314
108,499151,280216
109,494483,280920
110,505487,280837
111,495996,279506
112,494670,277679
113,497887,280492
114,499029,278621
115,506236,280434
116,493269,280094
117,499850,282254
118,496301,279311
119,494985,280420
120,499781,278925
121,491720,280030
122,491956,278145
123,495863,277748
124,493114,281853
125,501113,281473
126,499762,280497
127,496191,278114
128,528741,287665
129,810257,277870
130,526497,279579
131,496118,281006
132,494766,280345
133,495037,282382
134,495437,281156
135,494806,281480
136,506325,279154
137,498528,278509
138,491969,280096
139,491725,280095
140,488399,280161
141,488825,280310
142,500770,281573
143,495430,282922
144,491945,280693
145,498250,283063
146,492829,278012
147,514498,280406
148,502179,277300
149,495908,279289
150,493934,278612
151,493183,278485
152,497102,277793
153,500004,280583
154,497077,278157
155,488073,278921
156,493143,283011
157,493390,278580
158,491844,280084
159,500249,279013
160,501185,281582
161,500762,280112
162,500804,280070
163,499478,281391
164,493238,277424
165,499764,277895
166,500338,279797
167,496673,281469
168,491036,279100
169,509950,277995
170,493219,276883
171,500449,280475
172,493844,278280
173,500832,278734
174,498671,281367
175,495936,278528
176,489029,279327
177,492134,279085
178,492690,281989
179,499960,279222
180,494228,279894
181,488987,282049
182,494509,277953
183,500895,278166
184,490398,277516
185,496316,280632
186,486084,277406
187,492353,277672
188,494636,280099
189,495667,283623
190,493119,286259
191,498059,278067
192,497533,280793
193,495506,280102
194,500836,280544
195,502442,280321
196,493970,279674
197,497112,278679
198,499633,295894
199,501718,288425
200,502900,283713
201,503094,280566
202,523667,281573
203,527196,281882
204,496085,277053
205,501744,278555
206,495830,279985
207,493908,279697
208,489786,277770
209,492222,277636
210,492384,282767
211,488464,283897
212,497168,282412
213,489944,284257
214,494674,281363
215,497425,280669
216,489971,278729
217,494445,282269
218,503041,278410
219,497413,277584
220,492333,281809
221,496595,278430
222,495985,278780
223,492559,279492
224,494337,280903
225,494953,278708
226,491025,279980
227,496286,278397
228,488400,281954
229,496927,280196
230,494814,281183
231,498071,284442
232,489108,279195
233,496523,278890
234,544319,278997
235,532777,280374
236,492080,279470
237,497157,278333
238,492120,281194
239,495418,277622
240,494569,278553
241,494595,277008
242,495137,280484
243,495490,280691
244,493707,281310
245,501018,284122
246,493503,279182
247,497457,281829
248,497403,324408
249,503959,411733
250,498298,289096
251,496092,278118
252,493485,280030
253,492789,278679
254,489755,276803
255,493762,278247
256,497318,281822
257,490029,280424
258,492004,280388
259,489807,281653
260,494182,281425
261,491357,278417
262,491279,278649
263,499380,281454
264,493699,278390
265,500036,280070
266,496887,282999
267,502897,279690
268,581585,280138
269,535140,278942
270,501708,280022
271,501867,278378
272,493626,280931
273,499316,280872
274,497001,278020
275,496208,279154
276,491817,277841
277,495877,280120
278,494182,278368
279,491683,277635
280,500429,278035
281,502014,283824
282,490035,278423
283,499177,279383
284,495333,282667
285,503451,280006
286,496583,305222
287,495268,310527
288,495536,305960
289,508263,313463
290,494184,307524
291,491878,294139
292,501789,280309
293,490368,280733
294,492716,282677
295,501232,290944
296,495516,277798
297,497890,278214
298,486371,284650
299,501109,280888
300,494331,281760
301,501047,284661
302,496758,278795
303,492774,277674
304,494777,278047
305,496851,282758
306,488827,283668
307,495863,282736
308,501530,285935
309,500253,286724
310,500522,281128
311,600873,281706
312,549090,282608
313,506154,283369
314,497029,286641
315,503465,282025
316,495753,284637
317,498546,278341
318,494986,279945
319,498226,282147
320,516219,279234
321,528843,278658
322,509016,277869
323,498407,282678
324,499341,279647
325,509065,279490
326,504511,280539
327,501685,276800
328,502140,277862
329,528097,280826
330,579925,282565
331,539644,280414
332,499747,279185
333,499583,283430
334,511074,277638
335,501476,279334
336,495125,278395
337,493696,281138
338,492861,277676
339,496142,277760
340,490147,282837
341,492108,278966
342,487723,299171
343,497986,284209
344,492163,282682
345,502545,277252
346,497291,277795
347,498385,277847
348,492245,279591
349,493625,278094
350,493188,278615
351,499768,281633
352,508751,278145
353,507680,277419
354,498160,276988
355,502328,281282
356,494400,279076
357,496356,278587
358,493580,281806
359,495452,276786
360,496358,277120
361,535099,278272
362,920990,280086
363,621706,278622
364,519650,277807
365,494811,282452
366,495510,278787
367,495398,277754
368,519983,277177
369,496381,279714
370,499033,277390
371,497429,277675
372,499106,276853
373,493318,278526
374,511591,277191
375,506528,276337
376,508944,301315
377,501067,280666
378,509947,281890
379,510800,281035
380,526394,283489
381,496693,277856
382,507418,278749
383,491981,282102
384,497179,277641
385,492830,277944
386,497510,278018
387,490754,282972
388,496973,282535
389,502710,281076
390,508203,283964
391,489717,278542
392,506564,286601
393,491659,285783
394,536362,285517
395,543010,279984
396,509220,278073
397,496768,279648
398,508654,283412
399,502786,298242
400,491726,285115
401,494326,325567
402,489853,301893
403,496849,282695
404,496426,282959
405,499586,290554
406,496758,278746
407,492054,282079
408,499788,290285
409,496951,285727
410,499305,278492
411,499462,281234
412,586422,283754
413,507476,278350
414,517581,279004
415,511005,281537
416,494941,278198
417,502158,279731
418,495781,280012
419,497520,278688
420,494894,279342
421,498052,280183
422,489164,282883
423,497032,278146
424,497202,277524
425,500341,277800
426,501330,280474
427,499756,277392
428,496397,278064
429,497837,280954
430,493098,278467
431,493309,278080
432,489271,279069
433,503316,287543
434,498922,277836
435,493231,279428
436,513934,281094
437,541571,279113
438,491963,280081
439,494040,279220
440,496674,280505
441,492941,282814
442,500205,320579
443,500546,287314
444,500120,285700
445,496365,282987
446,501261,280663
447,506499,287596
448,492866,280613
449,500512,280197
450,501064,289630
451,497352,297493
452,497928,287544
453,495518,279132
454,496753,285216
455,493671,280520
456,493070,279912
457,509557,284035
458,490352,283283
459,500919,282706
460,501954,279650
461,497649,282058
462,490778,278268
463,500391,278870
464,495287,277116
465,494083,290653
466,494062,279329
467,494023,279063
468,525076,281237
469,509453,283429
470,497499,277579
471,495540,277175
472,495178,292645
473,499691,302656
474,497129,303949
475,492779,306905
476,491004,278845
477,500334,278548
478,496523,279917
479,502077,279377
480,487825,278775
481,494896,279727
482,495275,280740
483,499791,281818
484,491249,276980
485,511066,278259
486,496508,282426
487,489604,277715
488,496111,276768
489,492328,302754
490,490470,305093
491,492922,311475
492,494061,280182
493,493708,281801
494,508440,278809
495,491736,282765
496,497459,282149
497,493332,276907
498,496802,277700
499,492238,280341
500,505835,280530
501,527574,278851
502,493382,279915
503,492846,280199
504,492961,277957
505,492597,281059
506,503935,277748
507,498351,279664
508,497661,290023
509,491881,279962
510,498292,280862
511,496396,277426
512,494495,277177
513,494002,277704
514,504280,283670
515,492559,279104
516,492832,278238
517,499628,279702
518,500182,278456
519,498247,279577
520,635449,282833
521,594997,282304
522,549733,283468
523,499599,280577
524,519688,278744
525,508150,284810
526,493326,278494
527,500433,278559
528,494847,279519
529,503109,278692
530,489789,291529
531,490641,315653
532,490156,286311
533,504453,278904
534,495938,278246
535,493239,279990
536,493679,282473
537,505521,277932
538,499713,276897
539,497532,279444
540,492456,280730
541,494268,279785
542,493602,282090
543,500822,278620
544,500152,279689
545,497749,281220
546,491150,300126
547,496766,318295
548,492895,325966
549,492851,305186
550,495045,279608
551,529291,277902
552,699868,279175
553,519997,296736
554,506119,279517
555,503088,277828
556,495360,280907
557,503869,277605
558,499487,277834
559,515921,278568
560,492060,281123
561,493646,279950
562,493192,280690
563,501295,281205
564,492748,277140
565,495074,277721
566,504988,278448
567,501213,279718
568,497477,277526
569,507278,279618
570,494154,279394
571,495127,280573
572,496124,277081
573,497838,278493
574,509382,281025
575,535830,277524
576,517560,280107
577,518875,278977
578,501250,280234
579,505554,277590
580,524353,279659
581,592070,280743
582,517512,279616
583,722870,279213
584,554482,278146
585,497330,281728
586,500118,279897
587,491442,280069
588,523742,281673
589,496269,278764
590,536265,278607
591,572838,278425
592,625984,280570
593,660827,277283
594,568209,279432
595,556184,279405
596,494533,280494
597,534108,279956
598,519509,280210
599,560376,282641
600,506992,280322
601,516947,280544
602,493880,279531
603,515678,304561
604,489653,285412
605,495237,293464
606,491770,327077
607,495838,286236
608,495688,277744
609,501534,284795
610,495475,293371
611,493531,282841
612,494176,281497
613,491501,285728
614,493128,279889
615,497486,279723
616,497436,280777
617,493771,280045
618,502645,280421
619,503955,280777
620,493812,281114
621,495093,279831
622,502423,280063
623,498684,280620
624,492253,280699
625,501684,280614
626,489380,281812
627,494414,281586
628,489984,278664
629,489898,283037
630,497400,278759
631,511347,279090
632,505159,276906
633,499276,276319
634,488065,281101
635,501460,277385
636,494607,278064
637,494746,277013
638,498469,280372
639,497662,278390
640,496403,278375
641,506160,280094
642,494470,277484
643,520502,278302
644,495413,278950
645,541379,280866
646,572063,277198
647,498847,277663
648,496199,277430
649,493940,280013
650,490818,277528
651,498657,280831
652,492729,280667
653,500136,278863
654,497034,278591
655,503097,278063
656,500661,281907
657,496588,278975
658,487966,279934
659,501203,282636
660,501254,297873
661,501807,309006
662,500923,434187
663,498113,339265
664,493178,277976
665,497808,278444
666,498468,282011
667,499843,277922
668,491907,277645
669,498885,281595
670,496823,277933
671,496959,277643
672,493219,279570
673,495649,281221
674,495591,278392
675,490536,278893
676,506723,280850
677,519120,277980
678,575362,278396
679,496114,277842
680,493655,280546
681,495606,278644
682,493634,276698
683,490074,276091
684,493376,278037
685,498203,276772
686,503254,276747
687,506606,278574
688,500564,277730
689,495782,277831
690,493547,277243
691,496166,280298
692,502237,280275
693,504230,279604
694,499993,283251
695,497190,279487
696,492377,279230
697,489939,279255
698,496112,280055
699,499047,278072
700,502819,278761
701,501738,281075
702,489736,280345
703,499726,280292
704,493333,281053
705,490892,281365
706,496030,279499
707,506911,278940
708,497103,279306
709,502292,278145
710,493005,275913
711,494568,277466
712,494310,280328
713,491406,277927
714,491861,277925
715,512840,276563
716,516953,279368
717,506921,280538
718,495004,280618
719,498231,282674
720,490300,278213
721,500352,279443
722,497933,279835
723,501189,281210
724,492349,278741
725,500208,279043
726,493501,280570
727,500137,280186
728,498077,277479
729,504031,278077
730,511827,280186
731,679469,293247
732,517993,279905
733,510312,279226
734,497971,281929
735,503731,279013
736,494456,278400
737,493526,280881
738,493339,282594
739,504230,279527
740,493960,278215
741,498069,279763
742,508981,278346
743,493690,279305
744,497446,280640
745,492128,281829
746,496628,279355
747,493881,279063
748,494425,286398
749,497041,285451
750,493905,280846
751,500723,282718
752,501890,286016
753,535971,281568
754,532558,281619
755,502177,282111
756,495644,282464
757,485469,278168
758,499685,279009
759,499276,283688
760,505534,278130
761,528779,277963
762,607459,283205
763,702044,277674
764,648047,278145
765,543684,278502
766,577199,285477
767,585661,279682
768,512726,279282
769,524269,280644
770,500452,280696
771,532708,278178
772,500835,277786
773,510012,287263
774,496047,279974
775,522206,280533
776,507112,284000
777,521949,304759
778,502421,358020
779,503769,337034
780,494984,348857
781,497631,285831
782,493954,278237
783,504691,296344
784,517980,279023
785,503585,279173
786,498138,280496
787,493353,278156
788,497729,279061
789,527424,277637
790,603269,279301
791,553608,279675
792,520203,281090
793,622080,281693
794,632038,277611
795,551028,277514
796,509318,276682
797,500990,279564
798,496164,279110
799,493665,278658
800,497186,281691
801,495974,281706
802,513056,280390
803,490700,280219
804,493851,283409
805,499461,280281
806,503368,343982
807,500805,287089
808,502517,282934
809,495435,281655
810,495186,281631
811,500503,283012
812,508718,281379
813,505390,277882
814,499391,279651
815,510862,279829
816,495004,280572
817,501085,281313
818,494018,282233
819,492099,280189
820,494088,289214
821,495291,283895
822,495177,281658
823,497489,278830
824,496629,279180
825,492298,280676
826,533364,304178
827,503854,305742
828,501977,289082
829,492129,281833
830,492835,279796
831,493481,279497
832,498257,281280
833,504634,278644
834,502364,279212
835,496682,277751
836,501881,280329
837,494603,277910
838,496286,277128
839,521386,295232
840,490898,296271
841,505728,287008
842,491961,282872
843,492096,284353
844,495217,280681
845,500030,279905
846,494672,282164
847,498684,279555
848,497779,279028
849,491067,279962
850,503213,283136
851,494982,280777
852,492917,280664
853,489805,281286
854,494875,277941
855,492461,278632
856,490349,278014
857,495946,280709
858,498175,278748
859,500205,279311
860,498980,280045
861,504399,279169
862,492138,278780
863,490792,279741
864,496154,280489
865,501563,278014
866,501739,282030
867,495581,281230
868,497237,280796
869,499111,279589
870,505009,280437
871,497263,282113
872,501015,279222
873,507868,278948
874,496153,280357
875,495290,282581
876,512341,281563
877,492153,281011
878,507154,284890
879,496457,278328
880,508780,279044
881,496410,277694
882,497645,281650
883,497718,280689
884,485907,280240
885,496315,281178
886,493647,280344
887,496145,281968
888,503038,282115
889,493607,282647
890,497690,287412
891,492957,280473
892,500474,280926
893,492943,281158
894,506571,280604
895,494000,279261
896,496487,281328
897,502109,281404
898,495832,279197
899,498779,278107
900,503836,302420
901,507139,279512
902,496241,279634
903,496648,282737
904,493142,284290
905,503599,280903
906,500801,278977
907,495022,287090
908,496568,298182
909,489698,280634
910,493867,282087
911,494326,278943
912,496312,279637
913,492746,279452
914,497574,280726
915,494490,278438
916,499782,278996
917,491626,280065
918,504130,278292
919,499927,278450
920,495526,278632
921,492142,280355
922,494586,278970
923,502972,278470
924,494965,279384
925,496796,276968
926,500808,278791
927,500063,279545
928,494969,279160
929,493663,278812
930,494781,277887
931,493177,278273
932,499739,280078
933,489277,278043
934,498261,278320
935,494314,280465
936,493015,278072
937,492102,282478
938,493078,282531
939,489460,282378
940,494809,280307
941,488925,280012
942,492704,281167
943,490639,279830
944,495497,279419
945,497555,279147
946,499796,280102
947,498792,279121
948,501261,278041
949,495845,277729
950,497904,280190
951,498231,278875
952,503214,277741
953,501049,280169
954,496201,279745
955,496704,279237
956,498873,279589
957,491497,280076
958,493509,279478
959,492227,278675
960,495286,280922
961,495618,278983
962,498344,278163
963,497319,278557
964,504964,281614
965,505282,280061
966,497127,278849
967,494667,281570
968,496210,280361
969,491882,279761
970,489901,280492
971,490436,283268
972,495470,280909
973,496797,280302
974,490768,280225
975,496193,279785
976,503198,278972
977,495393,278768
978,499842,280143
979,494816,277163
980,503145,278199
981,500901,278022
982,494493,280910
983,497969,280114
984,500998,279432
985,491189,281602
986,497887,279116
987,489768,278939
988,499536,278418
989,504407,282656
990,491292,280037
991,491793,278741
992,498115,280721
993,489182,281316
994,493624,282258
995,497068,283416
996,495065,282214
997,494616,321644
998,492821,306627
999,498200,285843
1000,497828,279572
1001,499270,278755
1002,491312,279821
1003,497045,282055
1004,497817,279075
1005,499738,280077
1006,503896,289009
1007,516402,277806
1008,495443,278080
1009,496038,277953
1010,500955,282388
1011,492692,279302
1012,495296,280546
1013,496357,295599
1014,493451,286026
1015,495367,398178
1016,491994,401255
1017,495577,387533
1018,490514,302511
1019,488312,301556
1020,490863,280987
1021,496449,280379
1022,498525,283060
1023,509727,285905
1024,493241,281315
1025,498299,280258
1026,499554,282869
1027,498425,278584
1028,492012,281423
1029,495158,281611
1030,495021,281808
1031,499602,278986
1032,497953,278079
1033,493859,288705
1034,494177,277387
1035,499992,278943
1036,490625,279461
1037,500245,281086
1038,500815,278606
1039,494765,278965
1040,503270,279011
1041,497803,280961
1042,497917,278250
1043,496805,279052
1044,492224,280319
1045,496589,278977
1046,496542,278476
1047,490698,278587
1048,494167,280674
1049,492898,277948
1050,492784,278275
1051,495902,280680
1052,516401,277134
1053,547242,279568
1054,507242,280667
1055,510463,280516
1056,498292,279157
1057,496911,279955
1058,496996,282092
1059,499731,279393
1060,491568,279302
1061,509286,279747
1062,501488,279685
1063,501869,278059
1064,492090,279194
1065,501181,278089
1066,508418,280339
1067,498739,281133
1068,491696,281020
1069,500415,280293
1070,488555,279406
1071,495319,279721
1072,604669,278826
1073,740811,281843
1074,563354,283124
1075,520279,280760
1076,515584,281616
1077,506125,277381
1078,513873,278413
1079,503499,278987
1080,505652,281195
1081,499649,282841
1082,503090,281546
1083,510036,282100
1084,555572,278540
1085,491829,293668
1086,493554,279611
1087,497859,282148
1088,497882,279529
1089,493920,278516
1090,491820,278324
1091,493571,281212
1092,493813,279805
1093,489136,281228
1094,504524,281893
1095,503863,280693
1096,499472,280836
1097,497221,279983
1098,499090,283061
1099,494557,280084
1100,501909,278235
1101,498134,281680
1102,501506,279595
1103,502726,278874
1104,494541,278618
1105,496817,281564
1106,496228,278712
1107,494649,278772
1108,510228,282180
1109,490906,277078
1110,495295,278183
1111,491939,279053
1112,497447,279656
1113,490314,278004
1114,494076,278035
1115,501713,278530
1116,495649,279756
1117,528310,278752
1118,511014,278393
1119,496829,284145
1120,500130,280877
1121,495050,281032
1122,502272,283404
1123,503394,289028
1124,501146,279765
1125,495895,278049
1126,493836,279527
1127,495312,278460
1128,503996,279567
1129,505733,279480
1130,494708,282294
1131,488803,279106
1132,487543,279619
1133,496287,280081
1134,498599,277815
1135,508819,278186
1136,505628,277381
1137,503084,280452
1138,496484,279045
1139,493014,277683
1140,500394,278369
1141,492740,279972
1142,524004,277977
1143,493823,278200
1144,496096,281825
1145,496624,279888
1146,497073,280793
1147,491717,279986
1148,491337,280959
1149,494711,279346
1150,503624,280404
1151,504573,280565
1152,497630,277176
1153,493043,277445
1154,499516,277642
1155,497834,282259
1156,501207,281544
1157,496251,280751
1158,497440,283685
1159,498174,280618
1160,495571,280748
1161,494038,280341
1162,500460,281848
1163,491621,278601
1164,495390,277682
1165,494628,278171
1166,495260,280905
1167,498147,278934
1168,502114,278520
1169,497557,280538
1170,502264,277250
1171,499544,277240
1172,496331,277421
1173,493475,279952
1174,509460,279577
1175,501658,280414
1176,498029,282740
1177,492298,290582
1178,496921,279582
1179,491012,280735
1180,506190,282786
1181,498253,280025
1182,500625,281350
1183,490448,282255
1184,494798,278950
1185,489502,278566
1186,494257,279361
1187,494174,283681
1188,497336,282745
1189,492663,281135
1190,499718,284014
1191,498402,277441
1192,501459,277133
1193,497802,276840
1194,489603,281025
1195,494082,276688
1196,491811,277670
1197,498683,277363
1198,495599,281551
1199,493660,279487
