iter,sign_ns,verify_ns
0,375489,373274
1,419796,377534
2,340095,370684
3,349322,375863
4,350687,373931
5,399178,374712
6,330811,375374
7,413724,371098
8,337134,371307
9,388603,374813
10,329240,372667
11,578270,375577
12,523585,371157
13,436886,381835
14,331195,380881
15,343965,377212
16,325734,385712
17,360475,379991
18,447611,375804
19,326771,377239
20,481110,378485
21,555634,369552
22,359420,372823
23,337448,371666
24,365086,371571
25,349982,371481
26,402769,370820
27,439449,380463
28,398254,377541
29,404818,375931
30,325391,376262
31,392937,371602
32,428857,372362
33,344921,372105
34,329885,369332
35,357031,370634
36,325968,369647
37,518903,369788
38,353380,372449
39,346500,372246
40,323423,379032
41,567300,380330
42,390092,376627
43,333464,375510
44,361898,371636
45,329805,372267
46,391056,375122
47,327482,371370
48,325638,377048
49,346674,374959
50,346231,370334
51,390584,373522
52,353984,374037
53,404649,371295
54,385357,373941
55,337052,373160
56,334848,373201
57,334209,375236
58,384662,371146
59,351373,372253
60,336405,371884
61,448060,371221
62,357022,374289
63,369352,383222
64,469399,378277
65,332254,380089
66,352286,374635
67,338048,375890
68,332527,373459
69,367726,371892
70,434928,374679
71,371685,371910
72,392298,374779
73,405636,377416
74,324053,374471
75,322889,381420
76,350343,374691
77,349340,375818
78,405683,374012
79,404551,373604
80,373952,375474
81,430353,378639
82,362958,373108
83,373053,373033
84,373784,371137
85,400155,371431
86,369629,376010
87,374882,377264
88,338279,377232
89,456484,385239
90,387823,380719
91,375667,380530
92,337896,376254
93,359192,375783
94,433878,376346
95,343214,373518
96,369633,371114
97,380470,374378
98,324194,371636
99,323289,457307
100,327792,380503
101,336268,373064
102,336528,378883
103,324550,373217
104,352033,372523
105,471679,374465
106,334913,369030
107,376971,379977
108,325269,371499
109,336606,372243
110,483020,376859
111,373272,371648
112,349885,380364
113,458597,373301
114,377785,379559
115,321482,379849
116,484001,376034
117,350280,373568
118,362842,380355
119,363757,384383
120,347991,380028
121,415164,372276
122,414892,373304
123,481398,373764
124,342309,483311
125,351257,502440
126,362155,379697
127,324486,376627
128,349980,394269
129,346635,374189
130,373351,376202
131,421542,372886
132,340426,371122
133,445997,375556
134,412842,384495
135,367138,374365
136,419954,388156
137,384681,378484
138,390619,378278
139,326674,380664
140,465826,374903
141,376253,375967
142,393226,373488
143,456356,371660
144,326623,382134
145,341588,374868
146,351255,376637
147,423781,378495
148,343794,376835
149,455052,383254
150,342475,370994
151,388390,371281
152,390988,371898
153,344513,370972
154,370813,373255
155,364457,371056
156,341658,372949
157,338649,382062
158,367853,384032
159,459191,383326
160,512428,375249
161,398695,374357
162,443843,374447
163,348205,372636
164,366235,373216
165,339725,374379
166,407230,485921
167,427845,474966
168,365154,399704
169,384516,394392
170,322890,381988
171,337229,378996
172,335776,380043
173,389874,381654
174,409630,381149
175,362194,381221
176,457108,377249
177,323973,379053
178,416219,374648
179,326065,379588
180,323459,379706
181,347237,374064
182,437249,377564
183,409649,409349
184,332812,397576
185,340892,571209
186,402589,433521
187,335401,450930
188,332307,479656
189,416676,421297
190,333592,440321
191,355069,463659
192,351288,372993
193,361828,371345
194,383695,373584
195,413857,372807
196,346224,372642
197,329175,373976
198,414069,371953
199,452514,370916
200,354122,373389
201,494735,372301
202,364130,380949
203,379706,388830
204,340381,381015
205,370385,379305
206,339838,493583
207,406917,434845
208,460727,394686
209,434144,387252
210,406924,384373
211,371679,375501
212,469832,376805
213,331023,373506
214,324895,374897
215,435840,375010
216,340284,383775
217,354945,379406
218,418525,379017
219,375689,375536
220,331197,386346
221,539458,384140
222,417007,380618
223,360948,381292
224,413461,378319
225,366581,378245
226,364436,374783
227,378232,372397
228,331323,374286
229,349423,374786
230,435527,371198
231,332644,375195
232,371026,373698
233,336319,374398
234,356848,373974
235,348908,381680
236,337168,381197
237,338889,377202
238,369182,374936
239,325458,377789
240,325275,371152
241,408182,375422
242,370976,375415
243,337511,373322
244,470897,376090
245,413392,382664
246,335450,379685
247,397724,382837
248,366245,375773
249,358709,380200
250,527591,375179
251,332210,378840
252,328118,378213
253,396143,382915
254,330206,376709
255,366123,378295
256,479243,381736
257,456824,384029
258,356819,378806
259,357187,375036
260,346100,375289
261,461070,374140
262,323941,373306
263,375876,374070
264,321363,379114
265,337431,376033
266,368416,375154
267,349105,374223
268,334650,376067
269,366695,372949
270,335000,372333
271,349331,377154
272,438995,373646
273,337795,376974
274,366805,373153
275,377321,370821
276,375192,373845
277,391887,373108
278,360111,371436
279,376691,375993
280,342936,371981
281,321314,372394
282,335043,372710
283,415082,371194
284,347256,383738
285,385451,389344
286,465492,382780
287,382211,384415
288,341448,378106
289,367611,384605
290,366898,373034
291,454689,373886
292,327583,375307
293,347484,372485
294,416722,372285
295,333947,378973
296,415141,373234
297,370033,374463
298,385915,377080
299,423471,606042
300,340435,421974
301,382982,383939
302,324650,382637
303,420078,374508
304,326457,378972
305,377602,374130
306,403260,372615
307,404532,376072
308,337237,373836
309,361754,370884
310,385308,376041
311,418013,378756
312,326400,377172
313,362781,372487
314,335062,371868
315,433895,380759
316,324452,377570
317,322913,372053
318,409888,379870
319,362754,374122
320,353334,375451
321,322876,373025
322,362755,382894
323,336515,391955
324,342697,376648
325,344581,381827
326,342218,389127
327,366400,385324
328,370829,381658
329,336144,376808
330,464132,373983
331,390474,375782
332,332672,370467
333,363091,379722
334,327237,385773
335,413651,380156
336,321470,376548
337,338442,371798
338,358604,372532
339,486860,373313
340,329677,413577
341,340426,504946
342,498794,379658
343,363820,378502
344,345442,380337
345,361180,371833
346,358600,376793
347,403541,371387
348,375768,370091
349,361495,374053
350,387504,380444
351,450023,375416
352,329671,379616
353,338417,372179
354,375412,383715
355,378688,380834
356,354587,374539
357,323802,412268
358,373274,401527
359,362913,540941
360,507987,471250
361,337979,374450
362,404890,371692
363,421006,373254
364,328995,384772
365,421821,376142
366,326304,374063
367,443618,377283
368,344107,371176
369,362996,371549
370,355417,374250
371,347992,372706
372,325142,374561
373,441808,375104
374,387256,374776
375,378543,382846
376,322459,385173
377,340079,382849
378,339335,378458
379,335072,373802
380,336278,380769
381,347344,381579
382,341241,557486
383,491640,404829
384,328714,387566
385,346484,385970
386,327977,376474
387,530911,378348
388,386286,372539
389,581289,374676
390,327739,386733
391,381004,391235
392,361373,377212
393,336102,383233
394,352329,374772
395,326732,382288
396,321242,388340
397,323448,388118
398,335390,389411
399,332262,376909
400,350880,383779
401,327834,382202
402,327296,380874
403,344107,382092
404,409022,372714
405,401619,371507
406,364259,375730
407,326086,374597
408,323603,375985
409,337780,377101
410,367182,376218
411,323190,378492
412,393656,378853
413,347281,378300
414,320892,373661
415,337659,372145
416,361410,370990
417,607999,369439
418,376929,370531
419,383978,370916
420,348151,371962
421,361116,372902
422,325104,381619
423,363899,377703
424,352365,376450
425,363397,374006
426,386600,372738
427,377952,376371
428,381203,371365
429,341129,373598
430,390739,373367
431,325848,372977
432,375510,386564
433,397315,374748
434,326193,372737
435,334169,374260
436,337453,371005
437,368677,371527
438,333051,374692
439,402746,373159
440,360462,373013
441,339278,372544
442,513647,372777
443,363261,374049
444,338826,370828
445,460128,388471
446,343070,403421
447,340849,411099
448,352169,380369
449,322729,382799
450,434974,376123
451,469272,387548
452,353105,395697
453,338541,401715
454,352137,391112
455,390128,388887
456,365609,400176
457,424246,406680
458,346652,465527
459,366803,431126
460,469487,379807
461,358228,402457
462,328826,377208
463,353145,395309
464,324083,385761
465,324023,375318
466,361283,404404
467,362904,373126
468,337955,378188
469,364539,385937
470,359323,374259
471,386860,381003
472,457401,381339
473,366215,374911
474,455816,403438
475,329454,373526
476,327150,376325
477,589501,384419
478,326522,374592
479,372018,383947
480,368424,373381
481,390530,376956
482,334583,388650
483,382603,375100
484,347029,380039
485,480817,374165
486,370570,372112
487,473213,388044
488,361868,371376
489,342843,370261
490,357241,377119
491,356873,374967
492,468059,378115
493,337681,378992
494,325203,373098
495,355031,383067
496,363837,370728
497,350312,373369
498,470555,393014
499,325455,373350
500,351086,379400
501,437883,373767
502,533404,369072
503,350616,391170
504,368851,383818
505,341615,381400
506,442917,384862
507,336388,371623
508,366918,377227
509,324556,380795
510,349561,374534
511,324078,381417
512,331637,374433
513,359721,387399
514,332092,379760
515,326614,371836
516,382956,381242
517,406439,370161
518,376295,372056
519,323388,382818
520,404989,372163
521,338842,372510
522,346335,374805
523,437862,368818
524,442585,377415
525,341137,381518
526,857313,369578
527,374617,391258
528,332081,377384
529,330021,376650
530,353202,378667
531,382007,373217
532,375901,380850
533,364049,375152
534,325643,373159
535,364287,383601
536,400527,372739
537,364681,374750
538,360669,376313
539,323232,372433
540,337858,381705
541,321586,378765
542,334692,380212
543,375209,381752
544,336073,373214
545,413371,374900
546,402367,378671
547,393684,374312
548,402884,375047
549,384521,406019
550,362139,373726
551,370087,377967
552,436457,372310
553,371312,373120
554,480366,372701
555,363771,371538
556,340004,375428
557,361672,373710
558,328716,383745
559,332022,379753
560,324320,376560
561,362135,376440
562,340106,374502
563,340556,372695
564,416860,375532
565,323451,379316
566,335877,378133
567,417551,373866
568,335931,373849
569,432266,375987
570,364965,374881
571,437287,373064
572,357203,374933
573,335835,372081
574,376605,374112
575,326547,371148
576,455604,371202
577,457896,377509
578,324571,371006
579,339961,371598
580,331582,374069
581,326819,371846
582,363996,371791
583,388149,370151
584,336271,371212
585,324546,373283
586,352047,381021
587,393148,370985
588,322380,373074
589,396915,369910
590,365445,377844
591,325058,383790
592,385473,376980
593,331549,383306
594,339878,377646
595,583640,374725
596,325232,379435
597,341888,380156
598,335054,373323
599,354329,379596
600,446418,375426
601,340903,380369
602,337890,382300
603,353125,374610
604,499566,387424
605,361771,378543
606,322082,378091
607,428544,378549
608,348859,372159
609,328602,376826
610,356045,375058
611,336784,371411
612,374626,386053
613,328469,371652
614,342336,374088
615,377086,378634
616,393762,370395
617,326413,388804
618,338779,374271
619,325779,380069
620,341040,390385
621,321650,373562
622,394972,374736
623,398582,384591
624,354752,370608
625,360806,379719
626,456338,373264
627,352967,373158
628,339998,382846
629,335468,370571
630,326833,376545
631,346233,385166
632,336886,377809
633,443826,388160
634,335616,376248
635,388620,373782
636,323215,395560
637,323164,369991
638,440922,387120
639,364468,375864
640,349590,372782
641,329520,422282
642,415832,370864
643,358805,377027
644,726736,380879
645,362742,369426
646,395429,383845
647,352060,371809
648,329158,380073
649,442348,392688
650,406932,373457
651,418739,376801
652,348542,372369
653,416076,373815
654,323138,376193
655,389243,371966
656,325370,372712
657,402846,377443
658,375368,372842
659,327182,374790
660,505764,379662
661,429322,376255
662,418740,389493
663,354288,376338
664,398898,379588
665,413674,552352
666,366137,468702
667,357747,404011
668,345335,373202
669,386791,383105
670,371184,371088
671,459836,369344
672,376558,374014
673,365109,372940
674,395120,375882
675,324005,371918
676,322743,370101
677,356952,372677
678,324572,370223
679,377128,370191
680,370172,371503
681,387422,369936
682,378979,376757
683,328473,440132
684,322803,373264
685,323790,374586
686,331504,371620
687,342528,380728
688,332114,378537
689,331809,374379
690,325046,376381
691,471876,372302
692,383741,373567
693,337466,373393
694,331695,373415
695,342779,371953
696,323399,373660
697,394211,372138
698,393942,373905
699,444058,372033
700,323243,370776
701,393570,373485
702,324203,370902
703,352123,370552
704,411588,397522
705,387815,398594
706,522673,375879
707,352615,370769
708,379004,369874
709,323183,398265
710,339788,394216
711,497550,384398
712,328402,394872
713,368374,408997
714,348903,415505
715,375873,373048
716,385284,421829
717,471809,468738
718,362126,391306
719,325036,393516
720,326043,373558
721,391817,376952
722,324810,378765
723,511602,371573
724,341478,387994
725,374655,381727
726,371047,373218
727,436229,385012
728,388946,378130
729,458408,380266
730,470749,374657
731,328705,373803
732,323807,382397
733,324057,374527
734,351214,370642
735,409412,382857
736,371949,373595
737,326744,375457
738,359842,372690
739,468935,371774
740,402194,375560
741,339417,373221
742,359434,374330
743,375981,374989
744,386172,372217
745,410849,374948
746,413604,371156
747,325552,371760
748,403208,375044
749,415777,372254
750,334748,372094
751,363386,373928
752,325547,370914
753,453583,373917
754,413887,380614
755,336570,384992
756,378792,385516
757,369743,379507
758,416583,380399
759,360584,375998
760,336534,372930
761,386374,374384
762,446787,370940
763,349014,375432
764,354184,379441
765,356421,376655
766,352296,373338
767,337106,375117
768,457602,370976
769,400919,374103
770,332028,371380
771,335785,376067
772,407953,387706
773,339404,383090
774,375699,378133
775,374141,380148
776,325318,375742
777,323445,375532
778,324169,373242
779,324053,376518
780,332193,375562
781,388718,373611
782,323326,372238
783,321637,376462
784,439051,372305
785,397034,373819
786,426149,371754
787,337304,371932
788,332261,374100
789,341591,371412
790,344404,387190
791,324571,384524
792,348361,376918
793,432249,379524
794,346335,374975
795,516054,371716
796,335154,374426
797,526891,373426
798,387577,375729
799,353139,371596
800,364785,371336
801,350145,373843
802,362246,374039
803,412032,375184
804,334722,378179
805,321473,373702
806,348035,383699
807,374412,381290
808,321900,375263
809,411800,375525
810,349383,375429
811,378786,373386
812,349063,375940
813,323122,373834
814,336607,375861
815,341924,375517
816,375366,373361
817,375868,373575
818,347442,374831
819,336012,371963
820,378255,373094
821,319814,371211
822,387613,373803
823,365160,371847
824,351972,372749
825,382210,373004
826,394349,373332
827,379368,370072
828,573833,374357
829,335554,379948
830,323009,386470
831,467395,377103
832,329903,374034
833,458059,374993
834,362937,373318
835,335713,372250
836,406256,374333
837,401414,368980
838,418000,370927
839,323259,373031
840,323455,371848
841,324987,374936
842,346663,371388
843,364407,372867
844,383092,374880
845,348669,371078
846,440920,371934
847,371396,376918
848,340886,383742
849,329898,382219
850,327071,377615
851,399876,375389
852,327790,375410
853,626528,373921
854,385254,373227
855,536627,375152
856,324434,373717
857,373004,376559
858,403244,371155
859,351710,374073
860,352207,377421
