iter,sign_ns,verify_ns
0,551303,138948
1,1284851,136912
2,691543,137176
3,254793,137937
4,806321,137166
5,3766454,137668
6,252962,139000
7,255747,137637
8,1242156,136696
9,255335,136141
10,471304,135444
11,256611,135770
12,362272,135706
13,476484,136761
14,1243038,143663
15,696893,138534
16,256122,136863
17,476640,137543
18,256797,137481
19,369778,137189
20,922370,137856
21,1356584,140735
22,255274,136707
23,255970,136109
24,584453,137498
25,367998,137801
26,255749,136115
27,472946,136573
28,1364651,138613
29,582572,142140
30,366459,147140
31,253948,152631
32,913085,140480
33,258407,153374
34,1581455,148754
35,1488945,165116
36,477993,138935
37,1147087,136678
38,268282,137050
39,290777,137180
40,274913,136532
41,1793089,138128
42,476732,138754
43,252417,139389
44,1132173,137245
45,256233,137774
46,252482,139156
47,585409,139131
48,260108,137716
49,4091441,140005
50,801707,137758
51,256356,137334
52,582541,136215
53,1571464,136519
54,439682,136772
55,537802,137053
56,363034,136014
57,598478,140279
58,256479,135941
59,844340,142403
60,429491,136763
61,1292979,137619
62,811783,141485
63,1270879,137676
64,689775,138628
65,911123,136166
66,481181,137798
67,694636,137121
68,254220,139511
69,696036,136985
70,801835,137353
71,477301,139331
72,582144,138207
73,476852,137828
74,816443,139105
75,257617,139986
76,1134008,138879
77,256992,138454
78,1603422,138772
79,2025400,138135
80,556490,140194
81,652463,137502
82,589963,137485
83,692713,137387
84,367156,137428
85,475093,137507
86,367516,139654
87,705853,137812
88,1364582,136993
89,255440,137824
90,1772883,136903
91,1790828,136836
92,361858,137286
93,254760,138814
94,475835,136995
95,363730,136864
96,700820,137321
97,806785,137264
98,524296,202438
99,278992,268540
100,898089,166214
101,1247280,162510
102,695690,137371
103,256187,137430
104,2046716,138027
105,475468,137550
106,362135,139793
107,475896,138158
108,2385566,135179
109,585158,135148
110,472094,137848
111,255941,137351
112,369220,135979
113,693482,140283
114,580782,136754
115,1144261,138076
116,705403,138748
117,817448,137774
118,921441,137161
119,490583,139232
120,1064320,139787
121,368454,137467
122,361823,137246
123,696051,137058
124,2567159,137227
125,252390,137899
126,916105,138461
127,255740,139622
128,1028210,139205
129,471848,139985
130,372145,138246
131,367076,137574
132,476142,137105
133,1019999,177397
134,597399,170562
135,1362845,218478
136,599944,154969
137,255601,137524
138,803677,159837
139,255276,178473
140,2019587,147302
141,367804,137419
142,255566,138530
143,2353079,157803
144,257570,167133
145,1022971,175512
146,256678,161704
147,1026433,166640
148,363295,157427
149,805367,143494
150,583550,137099
151,2234113,137806
152,1354566,145716
153,368116,155632
154,479311,167873
155,915581,167144
156,474538,181117
157,478138,147949
158,585055,149818
159,586044,146919
160,1350707,143752
161,475672,175095
162,806362,168982
163,477054,145451
164,368761,144497
165,366658,145270
166,259740,143793
167,1460086,151662
168,914637,138942
169,261455,137780
170,703577,137295
171,471585,136900
172,255232,138153
173,1132584,140432
174,694906,141525
175,366983,138414
176,2365787,137017
177,1253176,137848
178,921529,138491
179,1680835,137988
180,689451,140543
181,914785,137591
182,495494,137391
183,471814,139195
184,589985,137761
185,694903,137721
186,1564155,137948
187,587208,137620
188,1676042,138523
189,476856,135923
190,253515,136425
191,803266,137804
192,695902,136801
193,364187,137152
194,1146302,137284
195,701837,140739
196,1030319,137081
197,252089,138541
198,694785,138911
199,471207,138321
200,472325,137890
201,1033541,138606
202,587747,139828
203,690771,139091
204,361031,137373
205,695369,139385
206,253255,138223
207,369452,139218
208,1026001,137858
209,253590,140949
210,806834,136585
211,260594,136699
212,254238,139156
213,591849,138779
214,365204,138171
215,257455,138762
216,802413,138025
217,1685074,141325
218,365350,136826
219,367780,137139
220,1023305,137201
221,491096,138217
222,483251,137608
223,1145968,138686
224,1142820,142189
225,474983,136512
226,914278,136483
227,257757,138566
228,476350,139347
229,365325,135631
230,256688,137154
231,470437,140885
232,1916865,138768
233,365718,137778
234,581579,137728
235,1021844,137613
236,361109,138062
237,260176,138913
238,1025763,139396
239,1464590,138285
240,587671,135988
241,1241928,138090
242,589507,136747
243,476406,136888
244,585997,136782
245,587233,137102
246,371735,145474
247,370759,137212
248,1284183,135869
249,316456,137165
250,460953,164679
251,295984,169438
252,805307,176003
253,477366,175713
254,254019,152673
255,585090,169958
256,587365,139062
257,261480,137485
258,1581047,137983
259,252664,140703
260,366643,137732
261,582897,138179
262,368053,137798
263,256127,138202
264,253824,138953
265,1135282,137854
266,691065,139006
267,581007,138465
268,476182,137889
269,373572,137945
270,1029820,137947
271,478460,139972
272,1135251,138042
273,254150,174364
274,914918,152589
275,2474036,137621
276,1241234,137590
277,260947,141914
278,364144,158954
279,921280,137230
280,472561,140269
281,256406,136820
282,1685847,135835
283,256403,135970
284,363461,136502
285,586239,137114
286,694954,135940
287,257062,137308
288,1151870,138532
289,2895785,138474
290,252960,138258
291,364297,138221
