iter,sign_ns,verify_ns
0,695373,137316
1,690754,141598
2,908008,136708
3,1023436,139085
4,256542,142262
5,468129,137093
6,1352509,137204
7,260785,136485
8,918917,136408
9,368291,137007
10,975417,136280
11,336168,138404
12,277024,137266
13,1035611,136878
14,479812,137108
15,250035,137210
16,368704,137068
17,254337,137157
18,253385,138608
19,255891,142273
20,473625,138078
21,361036,136415
22,477405,136949
23,584679,141635
24,475724,137430
25,253505,139199
26,252032,136113
27,695991,136010
28,1241932,136735
29,370502,136186
30,258574,136380
31,694893,136689
32,915515,136683
33,365517,142666
34,256702,137277
35,258379,138067
36,805097,142083
37,365682,137435
38,363224,137190
39,1245406,137375
40,365104,141260
41,1833243,143057
42,256747,143452
43,361347,138462
44,360766,143803
45,260985,136527
46,579591,136236
47,587569,138815
48,1245039,136693
49,1026768,136982
50,1025371,136372
51,1134033,136780
52,258099,136187
53,804443,137508
54,1461814,138920
55,1350370,139404
56,257989,137879
57,695266,137960
58,253163,137463
59,1792658,137565
60,1906539,138647
61,364414,139038
62,804683,137687
63,1587116,138524
64,253800,136973
65,259275,136917
66,810625,136944
67,253678,140803
68,814542,136980
69,1240661,139734
70,366257,136591
71,254684,136727
72,366230,136550
73,1360166,136868
74,916126,138064
75,250734,136355
76,1466408,138495
77,364294,137176
78,259180,137449
79,809275,137346
80,1025778,137800
81,255528,137165
82,2231607,137912
83,258785,141464
84,1573901,140688
85,1024840,136471
86,693591,136806
87,254938,136399
88,752181,141282
89,702443,137761
90,1687112,140398
91,2558954,136984
92,919739,137883
93,258574,136693
94,702497,136827
95,927354,136999
96,255448,137499
97,469154,136403
98,913838,139303
99,364428,137335
100,256385,137480
101,1360588,137512
102,369332,137278
103,920933,137724
104,701441,138911
105,694911,139837
106,249668,136718
107,367634,136844
108,1243026,138020
109,249748,138629
110,361654,138198
111,475592,137694
112,252768,138042
113,478263,138615
114,472853,140150
115,365417,137931
116,585380,138271
117,362714,136898
118,257028,137563
119,365980,138492
120,477943,138052
121,250049,137750
122,584404,137809
123,812953,138934
124,256600,137836
125,365481,139965
126,257412,137613
127,1029521,138897
128,914919,136784
129,255501,138648
130,585820,137645
131,1137669,137819
132,254796,137971
133,918741,140037
134,367604,139399
135,1136865,157368
136,255032,136732
137,918080,138431
138,1690271,137827
139,2351655,137615
140,805136,136701
141,1460937,140273
142,484200,137221
143,913062,137710
144,3655147,137886
145,476792,137921
146,583401,137417
147,807778,142656
148,917942,140082
149,1683886,136632
150,254510,136800
151,584150,136786
152,473618,136667
153,251755,137166
154,1242176,136180
155,1566102,136667
156,2337891,139935
157,258967,138405
158,592304,137361
159,915097,137327
160,474690,140749
161,252449,137799
162,583730,138522
163,699576,138713
164,1438900,136036
165,472144,135568
166,254557,136196
167,255857,136690
168,472146,136256
169,253508,136679
170,476150,139368
171,474172,136486
172,586774,136107
173,1130177,136172
174,254528,136395
175,261786,137058
176,581009,136154
177,803483,138275
178,470026,136947
179,590182,137743
180,478462,138780
181,1136785,139017
182,692413,139084
183,367411,138267
184,469305,139558
185,252420,138650
186,365012,136784
187,255469,136693
188,471447,136609
189,255559,136860
190,798719,136909
191,383377,136919
192,478939,139182
193,598717,137204
194,2041661,137090
195,695498,137462
196,1136496,137618
197,1464263,136851
198,250706,136570
