iter,keygen_ns
0,13830
1,13871
2,13905
3,14022
4,13817
5,13924
6,14054
7,13840
8,13904
9,13803
10,13841
11,13847
12,13897
13,13847
14,13862
15,13858
16,13848
17,13793
18,13909
19,13883
20,13936
21,14012
22,13834
23,13782
24,13884
25,13867
26,13870
27,14047
28,14034
29,13898
30,13823
31,13866
32,13850
33,14383
34,14880
35,14637
36,14866
37,14648
38,14811
39,14740
40,14686
41,14734
42,14833
43,14716
44,14695
45,14620
46,14894
47,14735
48,14784
49,14718
50,15263
51,15154
52,15171
53,16070
54,15227
55,15241
56,15151
57,15224
58,15174
59,15235
60,15209
61,15208
62,15276
63,15174
64,15216
65,15177
66,15162
67,15195
68,15213
69,15289
70,15093
71,15209
72,15126
73,15241
74,15190
75,15268
76,15167
77,15079
78,15224
79,15183
80,15165
81,15198
82,15166
83,15193
84,15218
85,15188
86,15125
87,15221
88,15164
89,15451
90,15715
91,15819
92,15819
93,15630
94,15672
95,15522
96,15860
97,15587
98,15783
99,15616
100,15623
101,15646
102,15636
103,15618
104,15682
105,16113
106,16255
107,16094
108,16248
109,16114
110,16143
111,16420
112,16134
113,20859
114,16797
115,16399
116,16260
117,16196
118,16206
119,16161
120,16137
121,16047
122,16166
123,16354
124,16287
125,16262
126,16295
127,16143
128,16298
129,16233
130,16229
131,16207
132,16175
133,16132
134,16200
135,16102
136,16170
137,16143
138,16312
139,16193
140,16546
141,16856
142,16853
143,16771
144,16824
145,16735
146,16731
147,16746
148,16939
149,16805
150,16801
151,16680
152,16849
153,16808
154,17195
155,17484
156,17475
157,17387
158,17268
159,17419
160,17471
161,17273
162,17384
163,17300
164,17455
165,17385
166,17392
167,17387
168,17438
169,20775
170,17721
171,17465
172,17387
173,17376
174,17600
175,17442
176,17327
177,17627
178,17372
179,17338
180,17504
181,17285
182,17585
183,17432
184,17371
185,17532
186,17397
187,17305
188,17505
189,17513
190,17293
191,17400
192,17322
193,17309
194,17423
195,17390
196,17484
197,17251
198,17587
199,18050
200,17972
201,18072
202,17924
203,18106
204,18114
205,18020
206,18016
207,18120
208,18018
209,17910
210,18054
211,18308
212,18716
213,18683
214,18713
215,18580
216,18807
217,18728
218,18623
219,18638
220,18577
221,18602
222,22056
223,18958
224,18783
225,18707
226,18795
227,18642
228,18745
229,18735
