iter,keygen_ns
0,142936
1,143638
2,147939
3,143674
4,145340
5,143481
6,144023
7,146158
8,143776
9,147672
10,145838
11,143337
12,143801
13,144064
14,144362
15,143966
16,147972
17,143606
18,144201
19,145282
20,145336
21,143949
22,144101
23,145721
24,144044
25,145138
26,142507
27,144361
28,143299
29,144366
30,151392
31,143810
32,143627
33,144203
34,144557
35,143153
36,143400
37,165681
38,142752
39,144376
40,145392
41,145791
42,144997
43,149581
44,144046
45,145049
46,145232
47,145361
48,143664
49,144688
50,149456
51,144830
52,142987
53,145657
54,143899
55,144868
56,144419
57,151495
58,148512
59,149579
60,146911
61,145684
62,144528
63,144261
64,148124
65,146396
66,143162
67,144073
68,145369
69,145258
70,144177
71,149300
72,146247
73,144896
74,144594
75,144275
76,146550
77,153772
78,144663
79,143839
80,148097
81,145615
82,146360
83,144462
84,148246
85,143858
86,143802
87,144071
88,146175
89,143791
90,143554
91,148394
92,145300
93,144551
94,143110
95,142496
96,143479
97,141643
98,147031
99,143970
100,143999
101,143935
102,145158
103,144349
104,144765
105,145191
106,144502
107,149704
108,145116
109,144499
110,149468
111,143623
112,145843
113,142724
114,150313
115,143317
116,144453
117,150251
118,146422
119,145486
120,142536
121,142903
122,146260
123,144601
124,145960
125,151690
126,143964
127,144698
128,151443
129,145643
130,145339
131,144791
132,146265
133,144726
134,146629
135,142765
136,145141
137,143652
138,144137
139,146535
140,145893
141,146458
142,142485
143,146681
144,143838
145,145115
146,146928
147,149098
148,144403
149,143872
150,149671
151,145174
152,143701
153,145489
154,143576
155,145317
156,144836
157,145125
158,144232
159,143876
160,146246
161,148746
162,145399
163,144120
164,147300
165,150800
166,143699
167,145760
168,144968
169,142672
170,144461
171,143684
172,143640
173,146126
174,143869
175,144151
176,144306
177,143886
178,142642
179,143527
180,144108
181,142208
182,143454
183,143540
184,144396
185,144606
186,142950
187,146793
188,143591
189,142949
190,144253
191,144736
192,143742
193,143190
194,145731
195,142935
196,143466
197,142225
198,144825
199,142816
200,144970
201,145877
202,142552
203,150330
204,144712
205,143369
206,147168
207,142199
208,145184
209,152040
210,203996
211,209438
212,161297
213,155988
214,157183
215,144829
216,145043
217,143985
218,144436
219,142896
220,144663
221,148853
222,143926
223,143904
224,144290
225,147449
226,145023
227,143974
228,153843
229,144648
230,143848
231,143515
232,143237
233,144931
234,149692
235,142868
236,143417
237,143410
238,143026
239,145340
240,144435
241,147493
242,143692
243,143563
244,143505
245,143812
246,144906
247,143889
248,151055
249,143634
250,144295
251,147685
252,144088
253,143599
254,144100
255,145994
256,145469
257,144553
258,143426
259,142604
260,143905
261,316541
262,149018
263,145289
264,144027
265,212493
266,144470
267,146564
268,144510
269,145510
270,143133
271,144023
272,143130
273,144154
274,145885
275,143788
276,143943
277,145040
278,143901
279,143984
280,148708
281,145039
282,146331
283,145406
284,143936
285,144090
286,144112
287,142941
288,146621
289,144762
290,142877
291,145257
292,144852
293,143273
294,143634
295,145327
296,142591
297,145815
298,142826
299,142649
300,141971
301,143485
302,145413
303,144145
304,144202
305,143958
306,144937
307,143594
308,143876
309,147136
310,144609
311,143299
312,145476
313,145219
314,143392
315,145854
316,145303
317,143920
318,148636
319,145200
320,142821
321,148416
322,146490
323,145607
324,144409
325,144908
326,142372
327,145741
328,144603
329,147743
330,150575
331,146614
332,144217
333,150288
334,143395
335,144895
336,148410
337,143577
338,144659
339,149877
340,147952
341,145956
342,149931
343,148455
344,147103
345,146107
346,146412
347,148088
348,145974
349,145466
350,148866
351,146630
352,145640
353,144176
354,143383
355,146181
356,147564
357,145347
358,145627
359,145737
360,145307
361,144648
362,144711
363,147504
364,145671
365,146475
366,143806
367,144889
368,143647
369,145837
370,148657
371,145117
372,145077
373,145512
374,144809
375,145390
376,145641
377,146869
378,144278
379,142516
380,145490
381,144751
382,143590
383,143685
384,145756
385,145449
386,143584
387,144477
388,144913
389,148753
390,144507
391,149056
392,150016
393,143588
394,145359
395,146651
396,143151
397,147183
398,144962
399,144105
400,144598
401,143809
402,144706
403,145786
404,147375
405,144511
406,145609
407,144835
408,145379
409,142651
410,144529
411,148263
412,144383
413,144429
414,145653
415,142925
416,144182
417,144302
418,148178
419,143728
420,144785
421,147582
422,174928
423,145354
424,143536
425,146910
426,143311
427,145361
428,144510
429,144216
430,150290
431,145251
432,145483
433,148207
434,144181
435,143703
436,143127
437,143725
438,143745
439,146402
440,142029
441,143585
442,148547
443,146436
444,144660
445,149604
446,145444
447,142364
448,144392
449,141827
450,142135
451,144385
452,144173
453,143079
454,144399
455,142611
456,146477
457,143846
458,144702
459,146213
460,150449
461,145158
462,142853
463,151816
464,191761
465,224634
466,215533
467,166208
468,174199
469,147829
470,147119
471,151450
472,145705
473,145936
474,145668
475,146410
476,145560
477,145343
478,149728
479,144684
480,145893
481,145525
482,144067
483,145938
484,145476
485,147403
486,143804
487,143949
488,144548
489,143324
490,144538
491,143152
492,147338
493,142765
494,144688
495,143461
496,142478
497,143112
498,145381
499,146992
500,144414
501,144695
502,142838
503,144649
504,144261
505,147261
506,144176
507,143446
508,145043
509,144067
510,145021
511,145111
512,145649
513,144275
514,145217
515,144015
516,145430
517,143932
518,148741
519,146355
520,143182
521,148463
522,144557
523,143621
524,144853
525,144484
526,146582
527,144453
528,144377
529,145562
530,143917
531,144288
532,143765
533,147472
534,146771
535,149152
536,150188
537,146621
538,146590
539,144095
540,147333
541,143665
542,144182
543,145198
544,143516
545,143272
546,147868
547,148867
548,145149
549,145834
550,143312
551,145288
552,145385
553,146007
554,144764
555,148306
556,148321
557,148046
558,146460
559,148421
560,152234
561,147464
562,146332
563,178033
564,179295
565,147302
566,143483
567,153021
568,146716
569,143744
570,143145
571,186020
572,215695
573,213070
