iter,keygen_ns
0,4496259
1,4218611
2,7069136
3,4193771
4,5220984
5,6370040
6,5558335
7,4909256
8,8341152
9,5075013
10,5864534
11,6365025
12,6104586
13,6229464
14,7220180
15,6639279
16,5146085
17,4467324
18,5074031
19,4708064
20,4206906
21,5077563
22,6749045
23,4211624
24,4709152
25,5358082
26,6215163
27,5441464
28,5343139
29,5364905
30,6774753
31,6722094
32,4451846
33,4409471
34,4370214
35,5969293
36,4820132
37,4444636
38,5603742
39,4229126
40,4501895
41,4226429
42,5454527
43,7057373
44,5121044
45,4627303
46,4323956
47,6090558
48,4582146
49,5954752
50,4444709
51,5067586
52,4477803
53,4458190
54,4216445
55,4202337
56,4535017
57,4326400
58,9765096
59,4862978
60,4500452
61,6212485
62,7076265
63,4357381
64,5962490
65,4824837
66,4347322
67,4946397
68,5706280
69,4449034
70,6592861
71,6809159
72,4213938
73,4953643
74,4191949
75,4233018
76,4459197
77,4188223
78,5452944
79,5823389
80,5473064
81,4208399
82,5125566
83,4593506
84,4228553
85,5652709
86,5113558
87,6085278
88,7568711
89,4685839
90,7115922
91,4725878
92,4733175
93,4337955
94,5083178
95,4697047
96,6370929
97,4221387
98,6669791
99,4660964
100,8016890
101,5347153
102,5014783
103,5397022
104,7494942
105,5241490
106,5683350
107,4728880
108,4354575
109,6566232
110,5081849
111,4216272
112,6537519
113,4888060
114,4923337
115,6299197
116,4218056
117,4446941
118,5714471
119,8396677
120,4961754
121,5853312
122,4245641
123,5235800
124,4252645
125,4251353
126,4726028
127,7448099
128,5852836
129,5215864
130,4438454
131,4942207
132,4346315
133,4591074
134,4574827
135,4684742
136,5467334
137,6276179
138,4208106
139,4702441
140,5063112
141,4357893
142,9165431
143,5142695
144,5462868
145,5477797
146,7314421
147,4202145
148,4709142
149,4582589
150,4934941
151,4467967
152,5467711
153,4710968
154,4721190
155,7929792
156,4822548
157,4822668
158,4585893
159,6099137
160,7664784
161,6833349
162,4778209
163,7093691
164,4635932
165,5456049
166,9985271
167,5619978
168,4575856
169,7362703
170,6774648
171,4477514
172,4596407
173,6982863
174,7173829
175,4953443
176,4533476
177,6705999
178,5843426
179,4932537
180,4577616
181,4748698
182,7518067
183,4467757
184,6546712
185,5468913
186,4553378
187,5256771
188,5432121
189,5165247
190,7375469
191,4627280
192,4657860
193,6616202
194,4471220
195,5946306
196,7830924
197,4939351
198,4920283
199,5298828
200,4253295
201,8109547
202,6067974
203,4503580
204,5347490
205,4976899
206,6099234
207,5717051
208,4593010
209,4892956
210,6787225
211,7476711
212,5014994
213,8676909
214,5117556
215,4461756
216,4653495
217,4497656
218,4375393
219,5265283
220,5044950
221,4620458
222,5215922
223,7114445
224,4443396
225,4599222
226,4928364
227,9847354
228,5623281
229,5724988
230,4876908
231,6465282
232,8389740
233,5991740
234,4209779
235,4320926
236,4674084
237,4217081
238,4459589
239,4967120
240,4195539
241,8274376
242,4201405
243,6069119
244,5214355
245,6444693
246,4580625
247,6149525
248,4950541
249,5660346
250,4593403
251,5801439
252,4996315
253,4827742
254,5478020
255,8754086
256,5842344
257,5074628
258,4498754
259,4216799
260,6557261
261,5591077
262,5217478
263,4530741
264,4569716
265,5866522
266,5814823
267,6696506
268,4332861
269,6762625
270,6084562
271,5523010
272,5895619
273,4330822
274,5759213
275,4860685
276,4716988
277,5576995
278,4932251
279,4348753
280,6427694
281,5219823
282,5114968
283,4226312
284,5082666
285,4220566
286,4823026
287,10213275
288,5857434
289,5949665
290,7262747
291,7954857
292,7212261
293,9074589
294,4372796
295,4945841
296,4206241
297,6380106
298,4840228
299,5452960
300,5697515
301,4694722
302,5959200
303,4347570
304,6284459
305,5856667
306,5463336
307,4357666
308,4751038
309,4341489
310,4231741
311,6537758
312,4215074
313,5255969
314,5574179
315,4349641
316,4635795
317,4668901
318,5154818
319,7808522
320,5735630
321,4848606
322,6756688
323,4761222
324,5578309
325,7537112
326,4266297
327,6459965
328,4896528
329,5042211
330,5565606
331,6497443
332,8496967
333,5408744
334,6013979
335,5285857
336,4715385
337,8161518
338,6112443
339,4208302
340,4453888
341,4582165
342,4713859
343,8993893
344,4820805
345,5202588
346,5282777
347,4976278
348,4808354
349,4506361
350,4375512
351,5264819
352,5881686
353,5744652
354,5372441
355,4973998
356,4814957
357,5485407
358,7584281
359,4694657
360,4959936
361,5976995
362,6395661
363,6631404
364,5445194
365,5318253
366,6882970
367,4975772
368,4720737
369,4580611
370,4401908
371,10836015
372,4210280
373,4686684
374,7353020
375,5557145
376,5557723
377,5586824
378,4927010
379,6313557
380,4836256
381,5420768
382,6255612
383,4481944
384,4333064
385,10541011
386,5835274
387,7901889
388,7592092
389,5119133
390,4416241
391,4964964
392,4708166
393,5693947
394,4710992
395,8868958
396,4596461
397,5835132
398,8288488
399,7189031
400,4195868
401,4459416
402,8769928
403,4838086
404,4979420
405,4732712
406,4812038
407,4581966
408,4330821
409,6823542
410,4822889
411,5449304
412,4570930
413,5577239
414,5425803
415,5097435
416,4708403
417,7056600
418,5336068
419,5968386
420,4317210
421,4792685
422,4593996
423,4956293
424,4447520
425,6433314
426,5343208
427,5068218
428,4185189
429,4323196
430,7071365
431,4814888
432,4203877
433,4694227
434,4337333
435,4329072
436,4945565
437,4454740
438,6078381
439,4690881
440,6315933
441,5200899
442,5939270
443,5657198
444,4598504
445,4266323
446,4497372
447,7701641
448,4726977
449,5731064
450,4178762
451,6908924
452,4690727
453,5532979
454,4946356
455,6550572
456,8219970
457,6008405
458,4207419
459,5575349
460,4452865
461,4316005
462,4575706
463,4450096
464,6946000
465,4568861
466,5562313
467,4672988
468,4360088
469,4827083
470,5981934
471,4769918
472,7379345
473,4718499
474,4307269
475,4561843
476,6044311
477,6625894
478,5095996
479,5731956
480,7391192
481,7181451
482,5727828
483,6117541
484,5788331
485,4778173
486,6352259
487,4734462
488,4444699
489,7982679
490,6661435
491,4355281
492,7048683
493,4849763
494,4323458
495,7699151
496,4830510
497,5108511
498,5090845
499,6174920
500,4708250
501,6976728
502,4853575
503,7665686
504,4836262
505,4218666
506,5801442
507,5690568
508,4832912
509,6351708
510,5111329
511,4316347
512,4205190
513,5953185
514,4492517
515,4190227
516,4445947
517,5811897
518,4734216
519,7685595
520,4770454
521,4314293
522,4947535
523,4473628
524,4708345
525,5227847
526,6117834
527,5434390
528,8160579
529,5934706
530,5441085
531,8573785
532,4824698
533,5174118
534,5022332
535,4703909
536,8000760
537,6850050
538,5481721
539,5082076
540,4205731
541,4747559
542,5218694
543,4703400
544,4923334
545,5474268
546,6216481
547,7057844
548,4852109
549,4349170
550,5833633
551,4201655
552,5938239
553,4963312
554,5806555
555,5337735
556,4572630
557,4937706
558,4556333
559,4802859
560,4946616
561,5721209
562,4570203
563,5680624
564,4565176
565,5564072
566,6486432
567,10408997
568,4239492
569,6049054
570,5828593
571,6883926
572,4435114
573,4750682
574,4454825
575,6441966
576,4321677
577,5189833
578,4586745
579,4463686
580,5438308
581,4449806
582,4552508
583,4316848
584,4458313
585,10516169
586,6592582
587,4824662
588,4955519
589,5074719
590,6798561
591,6791594
592,4189828
593,4960687
594,4205141
595,6342081
596,5606762
597,4846389
598,12597791
599,4952045
600,7129003
601,5739844
602,4562124
603,5322187
604,5328956
605,4594820
606,8513586
607,5521067
608,5388905
609,10902449
610,6251936
611,4233147
612,5378225
613,4194686
614,5819217
615,5457676
616,6452785
617,4296669
618,6096969
619,4332055
620,4714064
621,4203535
622,4196201
623,4328536
624,6073432
625,5712621
626,5313336
627,4734097
628,4750580
629,6509786
630,8603553
631,4895016
632,5078409
633,5602047
634,6043701
635,6208372
636,7672835
637,5596247
638,4330355
639,5441831
640,4720389
641,4455972
642,5189826
643,4569907
644,4310866
645,6598147
646,5301498
647,5638487
648,4335510
649,5306967
650,4897103
651,5393288
652,4586872
653,4308905
654,4652993
655,5326399
656,5708951
657,5464847
658,4971151
659,5823472
660,4441564
661,5371164
662,4696770
663,4700153
664,4321574
665,4319778
666,7852021
667,6651610
668,7476391
669,4631312
670,5775846
671,5916779
672,5962928
673,6633971
674,6176777
675,5640946
676,5087941
677,8609849
678,4684745
679,6546092
680,5080605
681,4202283
682,5059565
683,5353142
684,5073110
685,5794932
