iter,keygen_ns
0,7382970
1,11624939
2,8936099
3,9242478
4,8153773
5,9977572
6,8014585
7,8011409
8,7621270
9,8033748
10,7590551
11,7256394
12,7540419
13,8375253
14,7408813
15,7978759
16,7796609
17,7375715
18,7463462
19,8614195
20,7806988
21,9586219
22,9263351
23,8591889
24,7301098
25,7720369
26,8804552
27,9256505
28,7762494
29,12065899
30,10175351
31,9229718
32,7485533
33,7222439
34,7871058
35,10096168
36,14898852
37,9840269
38,8647462
39,7999717
40,7274771
41,9786365
42,7382888
43,8158548
44,11439682
45,11901582
46,8000549
47,7236795
48,8647016
49,7940487
50,10486335
51,7583351
52,8547948
53,11053092
54,8067522
55,7591855
56,8139005
57,7442459
58,8912584
59,7736673
60,7763804
61,9346014
62,8753734
63,8784164
64,7452548
65,8549356
66,7517439
67,8261521
68,7395806
69,7249825
70,8720816
71,8166226
72,9711877
73,7610911
74,9522710
75,8477357
76,9067194
77,7526401
78,8281204
79,7349028
80,8253742
81,7338677
82,7223283
83,7499455
84,8756657
85,7890732
86,7255620
87,8466390
88,7349759
89,7494401
90,7469663
91,9710642
92,8072809
93,8118114
94,8701542
95,7564622
96,8517484
97,12344492
98,7803414
99,7598004
100,8240081
101,7358038
102,8560683
103,7779485
104,11632697
105,8394738
106,8097082
107,9996796
108,8041351
109,12709008
110,7638965
111,7347335
112,7582475
113,8705318
114,8417879
115,10734387
116,8073613
117,8219099
118,8277331
119,11105140
120,8050012
121,7869249
122,7427556
123,7886427
124,7671099
125,9869455
126,7408346
127,8732497
128,9170647
129,8819758
130,7989179
131,9143044
132,7718087
133,9239336
134,8333469
135,7823302
136,8298181
137,8367198
138,7430052
139,7402120
140,10667502
141,8113780
142,7396262
143,7861128
144,9566522
145,7989435
146,7974175
147,8775362
148,8659860
149,9136637
150,10507745
151,7714024
152,7887130
153,7982004
154,9541762
155,7697763
156,8908092
157,9477481
158,9935223
159,8041310
160,7666572
161,7946988
162,9512204
163,8141390
164,12887250
165,8420484
166,8215632
167,7948274
168,7641459
169,7547538
170,7392392
171,7598657
172,12239133
173,10143351
