iter,sign_ns,verify_ns
0,249226,34331
1,201404,34329
2,204166,34321
3,203508,34180
4,3211103,34340
5,199171,34302
6,201893,34300
7,201886,34374
8,202297,34360
9,201073,34372
10,199351,34367
11,204211,34308
12,204297,34369
13,204272,34303
14,205463,34243
15,202694,34268
16,197402,34379
17,200962,34414
18,202457,34337
19,3201368,34318
20,199171,34203
21,201556,34235
22,203739,36195
23,200420,34560
24,206911,34432
25,198240,34326
26,204051,35311
27,203800,35370
28,202966,35317
29,208354,35259
30,203745,35263
31,205597,35319
32,203174,35363
33,203541,35310
34,3258810,35328
35,196642,35373
36,198812,35261
37,199405,35322
38,202211,35269
39,204853,35310
40,203841,35321
41,202625,35329
42,202722,35416
43,198830,35242
44,202497,35278
45,200629,35272
46,199378,35317
47,199626,35296
48,3203890,35250
49,201378,36775
50,205635,42901
51,202870,35421
52,206921,35365
53,202187,35368
54,203296,40352
55,203119,35690
56,201512,35353
57,205425,35365
58,203234,35354
59,205775,35320
60,201025,35364
61,202710,35304
62,202021,35248
63,3200991,35265
64,202523,35270
65,201916,35313
66,205019,39433
67,198933,36114
68,210457,35609
69,202463,35415
70,206562,35259
71,202931,35279
72,207399,35365
73,203268,35332
74,207306,35262
75,201932,35360
76,200662,35277
77,200459,35351
78,3206818,3046676
79,200901,50497
80,203344,50184
81,199324,50082
82,204649,50149
83,204286,46813
84,204572,35363
85,202590,35415
86,202463,35362
87,201369,35517
88,201438,35265
89,204819,35347
90,203576,35232
91,204316,35390
92,202424,35385
93,3202199,35384
94,204145,35295
95,200027,35323
96,205031,35255
97,206098,35277
98,200651,35310
99,203891,35425
100,201012,35389
101,203835,35294
102,205503,35421
103,200585,35369
104,203555,36639
105,201102,35317
106,200035,35571
107,3212184,35414
108,264109,35340
109,204084,35374
110,200535,35446
111,204870,35397
112,203592,35320
113,208859,35310
114,201626,35221
115,206723,35266
116,203432,35289
117,204700,35442
118,201032,35287
119,201646,35344
120,201562,35398
121,204009,35311
122,3268072,35501
123,203524,35384
124,204425,35284
125,201056,35309
126,201436,35254
127,205718,35379
128,200966,35272
129,200281,35443
130,202819,35451
131,203870,35396
132,203866,36628
133,201030,35220
134,203352,35308
