iter,sign_ns,verify_ns
0,59287,25844
1,133305,25830
2,46874,25836
3,56687,25767
4,35392,25846
5,35356,25791
6,80413,25867
7,62041,25866
8,68282,25788
9,96584,25788
10,60498,25835
11,47663,25891
12,59332,25844
13,45521,25872
14,58696,27279
15,110239,25839
16,35427,25801
17,46272,25930
18,110779,25803
19,45359,25891
20,72473,25790
21,65450,25925
22,3123490,25802
23,64995,25878
24,121712,25782
25,57815,25906
26,87390,25751
27,88620,25925
28,45941,25759
29,35315,25924
30,45283,25793
31,57720,25923
32,35333,25812
33,47382,25864
34,58561,25817
35,46417,25814
36,82236,25743
37,58316,25855
38,35357,25840
39,56013,25857
40,68103,25800
41,103455,25811
42,107775,25814
43,45980,25876
44,66018,25818
45,57752,25836
46,156902,25778
47,35374,25943
48,58823,25833
49,35494,25906
50,69427,25884
51,100328,25925
52,66652,3028226
53,35258,25948
54,72315,31407
55,88495,25927
56,93766,25882
57,45725,25927
58,99794,25782
59,35347,25925
60,46739,25847
61,35323,25868
62,35341,25800
63,35405,25961
64,59106,25820
65,114031,25958
66,45347,25821
67,3071309,25837
68,35325,25837
69,189688,25926
70,56874,30517
71,71978,25870
72,152681,25773
73,35477,25846
74,157870,25805
75,35380,25885
76,244389,25798
77,80601,25883
78,91805,25836
79,68467,25867
80,58857,25839
81,91200,25774
82,79547,25785
83,121141,25802
84,104389,25838
85,68238,25888
86,145939,25855
87,83404,25824
88,146183,25895
89,114917,25939
90,47456,27131
91,35232,25855
92,35240,25838
93,35307,25857
94,35579,25880
95,158802,25813
96,48807,25863
97,38118,25755
98,61206,25910
99,35311,25795
100,93397,25834
101,70757,25818
102,46951,25913
103,3112194,25899
104,59513,25858
105,45783,25829
106,55266,25887
107,35324,25822
108,83655,25877
109,141986,25783
110,48249,25967
111,45481,25841
112,46343,25864
113,56489,25855
114,35372,25845
115,141537,25871
116,70800,25844
117,91337,25798
118,45657,25912
119,78615,25895
120,58275,25861
121,67646,25823
122,208378,25864
123,45826,25780
124,80789,25851
125,101709,25765
126,56371,25857
127,48457,25788
128,83511,25900
129,116846,27122
130,45596,25819
131,166069,25822
132,75607,25848
133,47468,25827
134,35341,25837
135,46374,25829
136,35304,25915
137,88125,25810
138,102046,25864
139,111821,25900
140,35340,25830
141,134649,25840
142,3049221,25837
143,52515,25904
144,45583,25851
145,78509,25853
146,56357,25858
147,97748,25889
148,58166,25791
149,35357,25836
150,53249,25805
151,84738,25852
152,35390,25781
153,57436,25906
154,47569,25771
155,171778,25922
156,35403,25820
157,35298,25832
158,81968,25840
159,175445,25827
160,68470,25785
161,45335,25702
162,47396,25795
163,71827,25822
164,59083,25886
165,48780,25828
166,45356,25906
167,35203,25811
168,35336,3037788
169,35222,36684
170,121225,36598
171,35285,36649
172,139075,36628
173,35373,31980
174,35353,25865
175,206745,25774
176,46837,25838
177,35141,25815
178,76959,25783
179,143202,25835
180,46798,25763
181,46068,25781
182,48227,25825
183,59145,25780
184,35389,25691
185,81718,25695
186,56831,25826
187,35358,25753
188,3063057,25820
189,35478,25835
190,76715,25823
191,35207,25894
192,69390,25729
193,47464,25884
194,79213,25788
195,68161,25858
196,35265,25802
197,47389,25871
198,101793,25780
199,91671,25836
200,49001,25799
201,35245,25832
202,321931,25813
203,125486,26794
204,56720,27345
205,35358,25838
206,167503,25781
207,35435,25764
208,79529,25816
209,35459,25790
210,45901,25781
211,57502,25802
212,68381,25764
213,104167,25879
214,47364,25723
215,35320,25868
216,58926,25846
217,152650,25810
218,101464,25741
219,35229,25867
220,181993,25846
221,129694,25777
222,85024,25834
223,57563,25850
224,67045,25794
225,56705,25840
226,3048778,25831
227,35315,25799
228,147824,25819
229,71638,25776
230,132458,25901
231,60017,25800
232,151209,25824
233,67096,25789
234,125720,25917
235,395015,25794
236,56647,25818
237,147676,25819
238,104225,25849
239,94810,25823
240,47348,25843
241,76357,25837
242,81960,25896
243,35292,26877
244,81090,25897
245,56980,25843
246,77899,25966
247,35347,25889
248,112045,25939
249,111619,25866
250,58554,25911
251,45243,25919
252,58940,25923
253,46925,25830
254,35425,25828
255,84039,25850
256,35239,25924
257,35337,25794
258,97177,25975
259,76777,25940
260,89337,26958
261,3092772,29642
262,106348,30472
263,99075,28824
264,34352,29906
265,98258,32722
266,53746,37040
267,47439,37361
268,34192,48689
269,34301,40185
270,75737,27962
271,111039,27585
272,139451,26103
273,87325,27706
274,54610,26052
275,34281,27697
276,133749,32069
277,129992,3035050
278,147356,26265
279,138212,25818
280,44964,25774
281,121646,25861
282,34298,25785
283,47546,25926
284,44628,25774
285,59206,25818
286,152877,25745
287,108660,25828
288,34317,25749
289,77254,25878
290,65059,25793
291,44934,25756
292,57963,25721
293,86072,25832
294,46805,25782
295,79333,25838
296,34314,25738
297,149260,25742
298,46078,25759
299,3099705,25735
300,34272,25762
301,45990,25787
302,63880,25686
303,45249,25818
304,53743,25756
305,46115,25831
306,45990,25703
307,53688,25906
308,87174,25725
309,45316,25785
310,56700,25735
311,34318,25886
312,96414,25736
313,46784,25754
314,89291,25728
315,65271,25823
316,88820,27331
317,86128,25820
318,66113,25737
319,34205,25827
320,34271,25753
321,45222,25783
322,34217,25793
323,46681,25770
324,98320,25722
325,54931,25765
326,64859,25709
327,44709,25794
328,70296,25792
329,87683,25865
330,58532,25774
331,122087,25806
332,79654,25672
333,34287,25760
334,34205,25714
335,107590,25730
336,55443,25770
337,34333,25797
338,56359,25770
339,34276,25795
340,134585,25797
341,34256,25872
342,66032,25698
343,78974,25795
344,34168,25792
345,54300,25777
346,67143,25820
347,46753,25742
348,3092308,25714
349,45008,25831
350,67928,25756
351,44346,25751
352,84917,25762
353,45294,25857
354,130086,27194
355,274465,25842
356,46035,25803
357,44258,25808
358,34279,25780
359,76332,25779
360,79044,25748
361,89952,25811
362,45058,25753
363,44354,25846
364,68842,25837
365,55322,25763
366,106976,25821
367,54579,25831
368,44539,25815
369,34303,25829
370,34268,25840
371,34119,25747
372,91873,25721
373,56342,25893
374,34299,25775
375,75367,25846
376,45550,25837
377,59586,25801
378,185794,25781
379,65501,25904
380,128395,25817
381,75108,25810
382,53837,25749
383,98770,25758
384,99236,25833
385,53580,25833
386,34306,25747
387,47402,25761
388,34213,25836
389,66059,25901
390,3078499,25835
391,78201,25799
392,55709,25783
393,58826,3028418
394,34668,25975
395,35324,25905
396,246638,25765
397,86570,25840
398,54523,25865
399,149211,25792
400,68096,25742
401,109400,25765
402,142243,25805
403,47513,26042
404,136265,25808
405,145910,25801
406,78319,25689
407,34101,25773
408,123572,25742
409,34405,25820
410,43911,25795
411,34288,25778
412,56056,25748
413,65418,25846
414,45656,25785
415,123435,25839
416,34178,25783
417,34309,25857
418,43833,25781
419,265972,25863
420,152778,25773
421,43948,25767
422,77823,25809
423,118409,25791
424,66411,25759
425,3178139,25815
426,74093,25810
427,44137,25809
428,34166,25743
429,46170,25899
430,200121,26050
431,34382,25929
432,34236,27181
433,55335,25767
434,34298,25828
435,68009,25773
436,163982,25871
437,93068,25808
438,107518,25771
439,44967,25850
440,45057,25812
441,186823,26027
442,34132,25919
443,69223,25832
444,112944,25781
445,45244,25820
446,65925,25744
447,67900,25867
448,98365,25826
449,34297,25901
450,47589,25751
451,58242,25853
452,57893,25738
453,43957,25782
454,44959,25818
455,34168,25747
456,68880,25788
457,45093,25738
458,45909,25781
459,54624,25779
460,44253,25808
461,69538,25736
462,109860,25809
463,44364,27072
464,66857,25848
465,34217,25824
466,45287,25820
467,54633,25828
468,34300,25900
469,44594,25656
470,3223663,28007
471,39027,25935
472,37647,25823
473,49886,25925
474,56281,26014
475,50111,25957
476,148500,25938
477,99890,25811
478,43985,25739
479,34156,25819
480,111029,25876
481,65183,25918
482,46309,25772
483,76948,25897
484,122842,25887
485,34182,25911
486,57035,25836
487,54887,25868
488,69193,25826
489,34306,25831
490,141114,25868
491,65860,25893
492,34175,25776
493,87567,25945
494,90724,25819
495,151447,25970
496,66260,25959
497,279146,25827
498,65495,25836
499,120087,25806
500,119250,25956
501,90200,25772
502,34193,25867
503,64302,25972
504,34326,25817
505,78492,25906
506,3036577,25967
507,58966,25894
508,45956,25885
509,34331,3028997
510,45308,26011
511,34255,25855
512,34242,25728
513,232079,25838
514,34267,25738
515,34332,26103
516,112652,27511
517,151601,25840
518,58499,25813
519,57167,25686
520,34356,25708
521,134886,25827
522,57012,25732
523,69121,25791
524,34255,25742
525,64378,25729
526,156751,29100
527,89765,29808
528,98098,66730
529,43943,44624
530,70391,39556
531,45430,40664
532,46163,48988
533,34315,57962
534,161513,47507
535,54939,43959
536,109440,36903
537,75647,39775
538,34329,33862
539,196811,38833
540,77816,36645
541,44854,38468
542,34173,29071
543,66752,38238
544,57301,36582
