iter,sign_ns,verify_ns
0,19741361,675932
1,22742591,3648504
2,22746531,632425
3,19759412,636360
4,22385742,640351
5,19397451,633602
6,22367792,3640189
7,19003586,634673
8,19020981,633263
9,22039473,635115
10,19114816,3637362
11,19010269,634066
12,21998829,639647
13,18681318,660542
14,18676067,634060
15,18705262,3634452
16,21678782,633761
17,18676074,634139
18,18446120,633539
19,18371398,631547
20,18374827,3635735
21,18868413,635184
22,21584489,633294
23,18376467,653259
24,18365588,3654228
25,18358649,653609
26,18355278,653678
27,18366968,651063
28,18365925,653882
29,18230409,3683757
30,21130180,652527
31,18185280,653510
32,18234775,654243
33,18722884,650632
34,18111960,3655715
35,18060339,653798
36,18067129,652535
37,18149586,654843
38,18019737,3656661
39,18201403,654176
40,17796565,654422
41,17792297,652277
42,17787114,633181
43,17764302,3648624
44,17777825,655121
45,17873709,649464
46,17809747,634855
47,17615115,3633760
48,14538349,634721
49,17534903,634584
50,17568093,632947
51,17641238,634332
52,17517078,3636251
53,17520136,634791
54,14524587,634066
55,17522406,635357
56,17529805,634352
57,17514492,3635241
58,17656342,634249
59,17273629,634446
60,14306419,633058
61,17386291,633934
62,17424616,3636584
63,17523600,634985
64,17704929,633336
65,17561048,633955
66,14547784,3642512
67,17526467,634089
68,17531926,639610
69,17522550,635234
70,17517012,653032
71,17548969,3639233
72,17540406,636951
73,14524126,634396
74,17539801,634056
75,17534358,633920
76,17545883,3636300
77,17527368,642258
78,17669744,639849
79,17798958,632213
80,14785216,631942
81,17696794,3637177
82,17793919,637313
83,17783774,632256
84,17802296,634475
85,17827142,3635330
86,17796582,631743
87,17800323,634255
88,17785204,634886
89,18005663,632453
90,17815707,3635415
91,17790887,633388
92,17888230,635126
93,17904024,634583
94,18060857,633398
95,18104226,3635687
96,18254070,640081
97,18571572,637144
98,18479019,633725
99,18481201,3634909
100,21370449,632897
101,18347387,634551
102,18483664,632842
103,18454202,634453
104,18355297,3635104
105,18654398,633740
106,21712930,634080
107,18670805,634322
108,18682409,633488
109,18872525,3635814
110,22002015,634271
111,19007515,632124
112,19050954,633571
113,22010411,632676
114,18796732,3643221
115,18677835,647787
116,19074871,632465
117,22390615,634745
118,19286050,3635760
119,22144913,634834
120,19015305,634664
121,22009466,634184
122,19012442,632598
123,18997457,3635604
124,18775040,633417
125,21660761,634722
126,18672513,634902
127,18659749,632892
128,18913354,3638942
129,21659139,633932
130,18695269,632559
131,18682023,635039
132,18683337,3635688
133,18665896,634948
134,21674258,635055
135,18611254,633287
136,18662795,637770
137,18664317,3638135
138,18372798,632799
139,21347595,634369
140,18348552,634647
141,19213281,632488
142,18393820,3637512
143,18462813,635513
144,18055533,638244
145,18057745,636382
146,18056884,633181
147,18049119,3637515
148,17886033,634523
149,17785563,633446
150,17778061,634482
151,17794505,3635276
152,17783658,633503
153,17825829,634541
154,17770605,632028
155,17794107,636568
156,17954017,3636269
157,17794264,634431
158,17803750,633723
159,17804673,649295
160,17783365,631874
161,17911454,3635947
162,17803712,636411
163,14758551,633956
164,17785400,634554
165,17995050,632213
166,17788460,3670557
167,17786633,682027
168,17544616,651333
169,17528259,654261
170,17524736,3659999
171,17526602,652806
172,14514250,653475
173,17532464,653569
174,17645272,652992
175,17801226,3655520
176,17564501,653062
177,17522715,651300
178,17521795,654328
179,14273784,3655480
180,17284369,651038
181,17495655,654067
182,17484244,652968
183,17293838,652084
184,14286293,3659201
185,17283355,657189
186,17277243,651787
187,17426208,652529
188,17530034,3654444
189,14530290,652168
190,17579301,653501
191,17523224,653753
192,17533696,652342
193,17569130,3655314
194,17544834,651760
195,14524429,652888
196,17527089,654291
197,17610098,652001
198,17536392,3655631
199,17534109,656081
200,17510095,651499
201,17547248,653596
202,14518143,3654484
203,17377962,652992
204,17482771,654717
205,17266280,658745
206,14279650,655540
207,17344941,3655908
208,17376262,658599
209,17288728,657416
210,17291116,653108
211,14281134,3654482
212,17273758,650960
213,17399848,654348
214,17521509,653575
215,17423520,651455
216,14272949,3655769
217,17384934,654725
218,17293258,653169
219,17461198,656296
220,14283120,3654760
221,17337923,653288
222,17286305,652876
223,17353941,652187
224,17287638,653407
225,14280305,3657186
226,17292533,654041
227,17275272,654985
228,17513093,653248
229,17528182,651288
230,14449008,3655615
231,17532913,653974
232,18146524,652269
233,22285782,655266
234,17820923,3654765
235,17988841,652801
236,17832396,653577
237,14778014,654848
238,17779142,651428
239,17797940,3657049
240,17772119,654513
241,20784869,651573
242,14791646,654480
243,17789577,3655995
244,17777904,651955
245,17790677,653695
246,17799290,653159
247,17805323,651754
248,17793994,3654178
249,17778542,661130
250,17698725,653226
251,14616740,654053
252,17592990,651081
253,17795889,3655404
254,17781333,653445
255,17800262,652545
256,17678607,653003
257,17769143,3654547
258,17772675,652080
259,17792702,653666
260,17679536,654714
261,14522099,653222
262,17540248,3654943
263,17555712,659389
264,17526221,650665
265,17528535,652181
266,17667212,3653931
267,17720098,664744
268,17713993,652718
269,14789076,653512
270,17776071,650778
271,17828143,3654291
272,17779278,653135
273,17730935,651653
274,17535371,656765
275,17517459,655839
276,17539445,3656316
277,17520651,653092
278,14563041,652327
279,17648997,653077
280,17526163,3655066
281,17517974,652724
282,17523956,660681
283,17346535,3658508
284,14269155,656325
285,17303434,652311
286,17492130,652662
287,17522059,651253
288,17525121,652251
289,14535180,3653677
290,17511017,655230
291,17534180,653348
292,17547227,657380
293,17529801,655946
294,17533728,3654774
295,17547498,653492
296,14531583,652615
297,17667586,664631
298,17558665,3652798
299,17534992,652658
300,17531274,654243
301,17567501,654495
302,17528036,651952
303,14522330,3652934
304,17526938,652877
305,17539341,657043
306,17538968,657481
307,17535412,650672
308,17522850,3659555
309,14526360,653256
310,17521215,650866
311,17520905,653540
312,17515688,3654565
313,17518722,653009
314,17540339,654342
315,14524259,653420
316,17522428,651199
317,17577539,3654494
318,17784017,654857
319,17783489,652287
320,17659042,653172
321,17524049,3655861
322,17526059,654398
323,14530178,653437
324,17567304,652981
325,17772584,652964
326,17787607,3656104
327,17783559,654071
328,17568100,652113
329,17540927,654349
330,17570538,651021
331,14576961,3655699
332,17811320,656268
333,17610739,650333
334,17526419,654435
335,17536452,3656373
336,17752309,652727
337,17543622,654751
338,17537581,654881
339,14516121,652028
340,17543037,3655791
341,17531178,655349
342,17595296,652464
343,17518715,652347
344,17510488,3655450
345,14513106,653746
346,17521000,654658
347,17524298,653635
348,17524573,653899
349,17552813,3655034
350,17542727,654411
351,17552649,651470
352,14576338,695626
353,17534492,3696833
354,17544955,652790
355,17533950,653287
356,17568252,654171
357,17535442,652106
358,17691963,3656065
359,14562464,654914
360,17524308,651700
361,17428136,653638
362,17570833,652381
363,17517398,3656314
364,17543065,654395
365,14520882,652405
366,17528170,653953
367,17523230,3655261
368,17531816,653895
369,17524276,653921
370,17528106,653119
371,17845591,651494
372,14545827,3656105
373,17534896,653189
374,17582580,650893
375,17572611,653621
376,17873401,3653149
377,17831044,652461
378,17839877,653554
379,17795385,653555
380,17795049,651685
381,17805292,3653636
382,17808051,660105
383,17789295,652282
384,14781007,652932
385,17799662,3653861
386,17790882,653527
