iter,sign_ns,verify_ns
0,175387102,274420
1,179259127,273785
2,176545319,276770
3,174677531,274494
4,174709206,274181
5,174762604,276691
6,174648373,274446
7,173341007,274200
8,170109638,273523
9,170098566,276614
10,169922675,274513
11,170594879,274463
12,173013074,274006
13,172209706,276214
14,172194322,274312
15,169773083,274121
16,173566351,280174
17,174771399,274777
18,176030904,274354
19,175488099,274564
20,175907258,276805
21,175116266,274361
22,174790234,274094
23,174186086,276115
24,173644972,274234
25,173624289,274701
26,174919277,274063
27,171835652,276667
28,173368358,274346
29,173567497,274009
30,176250414,274256
31,176267348,276492
32,174917650,273536
33,173623768,273051
34,170197751,276452
35,174727199,274365
36,176991976,274779
37,175421059,274499
38,173896833,277681
39,169808255,275015
40,172691099,275248
41,172820013,274047
42,172220477,277317
43,172014668,274628
44,171700203,274229
45,170219874,277016
46,172639251,273872
47,176174265,273719
48,180419176,273280
49,187163857,276166
50,191205524,283506
51,196782241,273847
52,188971260,276623
53,183799939,274413
54,183776883,273759
55,179668514,274056
56,177161460,279211
57,175425008,274831
58,175251194,274115
59,173727630,273972
60,172241225,277021
61,171292946,274189
62,171284546,274116
63,170864495,275480
64,172878438,273513
65,171174710,273867
66,170368979,273480
67,171083784,276361
68,175666935,272899
69,173822716,272900
70,169974608,273137
71,177030993,276646
72,176033820,273966
73,175300735,274142
74,169939634,276640
75,175338313,274359
76,174816511,273832
77,172189243,273972
78,172125717,275916
79,170409711,273478
80,167608476,273731
81,169707304,273559
82,169844831,275738
83,170373540,273937
84,170078037,273686
85,173773142,275559
86,175226595,273619
87,174740323,274114
88,171880478,273812
89,171846893,275683
90,171065068,273440
91,169966508,273125
92,176065208,273542
93,175220326,276631
94,172851090,273441
95,172782680,273962
96,174581048,280151
97,172042719,274623
98,172462461,274196
99,172154922,273847
100,170318162,278781
101,172347439,274943
102,173725243,274113
103,182363723,275974
104,187867021,274657
105,193285575,273612
106,192177865,274169
107,192140731,276199
108,186936351,272777
109,188845992,272332
110,187105960,272093
111,188479486,275828
112,192045583,273392
113,193300289,273890
114,208240871,275505
115,244126303,274086
116,259469537,273537
117,300883865,273268
118,329413955,276222
119,279021561,274152
120,242725832,273693
121,266341443,273499
122,232366206,280145
123,212429137,273836
124,212930951,273966
125,209646516,276769
126,205865379,274816
127,223825362,274427
128,219570754,274017
129,211131645,276655
130,198849232,273369
131,202028462,273263
132,205686736,273960
133,203654075,276890
134,196862370,274510
135,196459819,274141
136,197653862,276432
137,191379356,274110
138,210030281,273997
139,268730951,273769
140,364135607,276257
141,361097259,274246
142,395890052,274810
143,317316070,276060
144,252804736,274686
145,229653538,274504
146,213925036,274215
147,209137926,276112
148,211166829,274111
149,205461244,273960
150,199004369,273685
151,192016146,276207
152,190996496,273957
153,186500751,273960
154,200538839,276346
155,198511258,274606
156,205483375,273839
157,209796750,273872
158,202695195,275942
159,195909832,272970
160,203731786,272892
161,198137131,272597
162,190121407,275861
163,191785291,274158
164,235008789,274241
165,279761319,275743
166,297290222,273196
167,315389894,273757
168,256950421,274023
169,230613648,276234
170,213644960,273934
171,208669026,274381
172,200216957,274036
173,197997166,276280
174,188374129,274157
175,182587372,273758
176,179406164,275701
177,177561155,273821
178,175730355,274233
179,176746953,274078
180,178200851,277153
181,179916329,273997
182,177859079,274461
183,177721335,274151
184,177953770,276929
185,173923560,274126
186,174346813,273947
187,180940986,276101
188,201226421,274604
189,219384239,274354
190,213871477,274217
191,198776093,276250
192,198249921,274297
193,197156906,274321
194,191743444,276551
195,191814399,274551
196,186428262,274873
197,186706851,273843
198,195991179,278948
199,197358768,274551
