iter,sign_ns,verify_ns
0,240509,37995
1,71181,37991
2,46635,37946
3,247385,38073
4,107324,38026
5,85365,37968
6,61090,38040
7,59599,37951
8,46861,38035
9,69150,40051
10,88448,37934
11,46741,37988
12,46819,37988
13,46775,37985
14,93727,38018
15,46798,37963
16,111423,37969
17,46817,38025
18,60045,37965
19,138527,37997
20,99843,37998
21,157527,37977
22,69460,37991
23,73027,38107
24,166760,37989
25,46709,38116
26,83514,38050
27,94543,38047
28,211707,38026
29,46859,37973
30,89497,37977
31,128077,38048
32,46873,37997
33,71464,38004
34,57708,37969
35,73743,39836
36,80775,38006
37,213208,38022
38,46894,38029
39,97191,37974
40,46795,37977
41,186499,37966
42,86119,38029
43,85291,37966
44,46982,38025
45,111323,38074
46,46783,37971
47,57815,37964
48,72264,37960
49,94114,37980
50,148687,37982
51,46908,37993
52,58322,37998
53,46881,38033
54,163913,37995
55,59297,37988
56,129364,37966
57,175946,37998
58,83102,38038
59,46826,38073
60,46822,38000
61,168979,38016
62,46712,39500
63,101931,37950
64,76083,37921
65,86519,37997
66,71666,37958
67,70066,37987
68,58217,38050
69,153084,38001
70,70386,37973
71,239367,38002
72,48025,37998
73,177714,37921
74,85793,37987
75,59942,37949
76,72823,38018
77,62804,37952
78,73090,37997
79,72589,37984
80,58951,38023
81,81155,37926
82,85964,37979
83,82413,37944
84,97680,39104
85,46781,37956
86,46775,37991
87,113194,37967
88,70425,39471
89,101335,37954
90,136133,37967
91,59464,37942
92,158404,38007
93,120526,38016
94,157906,38006
95,46851,37960
96,46782,38030
97,64182,37972
98,114568,37959
99,83381,37990
100,179456,37997
101,112615,38052
102,74657,38055
103,101158,38130
104,59230,38092
105,58140,38026
106,59535,38016
107,265289,37907
108,59709,37986
109,46851,37965
110,46891,37937
111,111140,38015
112,46740,37991
113,74295,37920
114,136095,39830
115,100635,38065
116,59013,38034
117,58613,37948
118,47305,37979
119,47015,37955
120,119195,37943
121,66680,38030
122,53777,38056
123,204335,38019
124,53513,38011
125,87536,37980
126,220289,38014
127,54366,37993
128,106386,38035
129,135155,37955
130,127628,37864
131,47760,38002
132,60103,38065
133,75197,38019
134,105490,37992
135,90066,38001
136,47008,38005
137,87609,38036
138,116490,37926
139,47176,37901
140,47518,39546
141,126842,38084
142,46906,38020
143,175812,37989
144,146897,37992
145,149256,37985
146,73387,38116
147,147436,37971
148,95894,38003
149,59762,37893
150,98331,38018
151,85905,38071
152,161494,37941
153,100327,37991
154,80781,38025
155,284009,38010
156,46963,37979
157,192759,37976
158,122309,37986
159,69377,38149
160,46828,37912
161,136125,37865
162,69767,38104
163,75111,37904
164,73033,37999
165,195865,38030
166,147363,38010
167,140484,39491
168,193533,37995
169,160532,38006
170,46843,38009
171,60616,38106
172,60610,38100
173,137671,37883
174,46761,37986
175,61226,37967
176,46842,37988
177,74401,38030
178,60423,37990
179,135966,37999
180,114234,37925
181,93320,37971
182,58104,38043
183,58135,37987
184,105937,38030
185,74532,37965
186,246279,37947
187,58967,37994
188,154979,37987
189,83178,37892
190,46699,37986
191,176916,38057
192,59981,38027
193,119075,39703
194,46879,38096
195,234833,37981
196,163546,37992
197,137395,38008
198,110035,37986
199,46780,37998
200,72545,38001
201,83908,37999
202,72316,37987
203,71381,37996
204,203732,37958
205,162100,38122
206,219254,37981
207,50188,37952
208,144350,37940
209,58430,37959
210,185877,38038
211,82050,37996
212,73075,37993
213,146736,37973
214,121815,38009
215,97865,38057
216,85296,37931
217,94305,37984
218,109916,38034
219,133711,39476
220,134497,37989
221,61314,37906
222,106812,37955
223,96417,37960
224,113168,37972
225,114002,37976
226,59977,37997
227,110373,37985
228,59576,37980
229,48268,37993
230,75097,38009
231,61901,38000
232,130962,37951
233,103189,37959
234,58909,38059
235,62540,37996
236,49036,37945
237,166709,37972
238,93290,37975
239,160342,37990
240,60221,37933
241,84116,37991
242,59674,37966
243,162585,38016
244,72989,37991
245,153351,39652
246,113551,38049
247,147008,38025
248,74161,38015
249,175564,37986
250,47609,37998
251,61740,38036
252,83084,38032
253,114605,37919
254,47613,37992
255,254013,38041
256,48729,38013
257,48170,37966
258,133547,38044
259,122873,38015
260,77435,38006
261,257724,38004
262,77434,38092
263,122722,38035
264,73622,38006
265,98455,38018
266,59589,37997
267,48424,38045
268,48967,38002
269,48612,37958
270,280454,37974
271,74338,37986
272,58678,40029
273,59365,37963
274,62298,37999
275,48242,37935
276,74574,38008
277,47691,38028
278,218817,37996
279,59470,38061
280,75235,37928
281,46855,37956
282,46743,37961
283,255943,37969
284,84052,37954
285,101619,37934
286,136620,37947
287,58338,37992
288,58614,37957
289,123143,37984
290,144457,37921
291,93193,37952
292,145703,37974
293,215949,37971
294,54713,37984
295,232462,37957
296,58803,37940
297,70571,38024
298,196628,39555
299,47744,37949
300,268229,38025
301,85051,37973
302,156508,38020
303,46962,38026
304,127713,37969
305,59235,38013
306,173559,37968
307,47226,38057
308,160743,37994
309,83890,37967
310,184419,37986
311,84116,38054
312,60077,37905
313,47179,37911
314,83920,37906
315,59419,37983
316,46671,37997
317,47016,37937
318,122766,37973
319,100411,37898
320,59974,38009
321,96949,37942
322,178739,37914
323,86268,38045
324,61217,39542
325,247775,38057
326,220794,37977
327,74135,38010
328,103149,38032
329,191680,38042
330,184436,37952
331,86844,38039
332,71550,37948
333,163933,38066
334,83653,38002
335,106721,38001
336,261138,37970
337,72319,37956
338,46865,37915
339,98592,37899
340,161002,37949
341,61228,37949
342,98871,38029
343,46783,37999
344,171350,37993
345,46819,37897
346,62651,37964
347,46714,38066
348,385660,37958
349,58761,37876
350,59432,39719
351,72418,38116
352,72606,38021
353,96266,39002
354,46706,42904
355,230352,48546
356,48640,41696
357,59994,39314
358,118619,41273
359,146340,41265
360,109024,39321
361,85030,39644
362,46827,38003
363,59167,37958
364,157498,37989
365,108879,37969
366,143542,38216
367,105602,38232
368,82578,37951
369,46827,37964
370,46743,37976
371,73237,38046
372,118573,37970
373,46839,37974
374,149369,37954
375,62515,37896
376,59862,39913
377,193893,38194
378,103040,37964
379,46971,37946
380,59611,38024
381,71075,37934
382,47062,37975
383,46876,37964
384,59375,37941
385,46863,38115
386,259978,38056
387,57915,38160
388,46721,38056
389,46864,38011
390,235356,37936
391,135065,37920
392,82608,37947
393,93179,40022
394,46777,37973
395,46783,37970
396,84850,37978
397,83443,38031
398,94811,38074
399,138846,38032
400,62138,38040
401,46855,38021
402,98106,40539
403,126837,38037
404,46703,38000
405,101612,38034
406,73817,38076
407,59956,37934
408,85860,37986
409,126075,38025
410,81616,38005
411,59894,37954
412,77071,37967
413,72499,37978
414,179886,38001
415,84574,37987
416,82945,38032
417,86501,38000
418,46868,37985
419,69835,37968
420,159369,37989
421,87377,38011
422,46958,38011
423,61230,37976
424,46698,38078
425,107810,37982
426,111309,37986
427,95680,37987
428,242540,39563
429,125028,38077
430,171280,37999
431,84379,38009
432,149287,37958
433,62546,37979
434,149103,38005
435,87439,37975
436,61281,38021
437,69347,38070
438,60586,38121
439,146763,38008
440,46769,38006
441,155449,38005
442,87855,38056
443,82848,38125
444,75437,37948
445,70174,38166
446,248071,37985
447,57864,40436
448,55159,38015
449,87481,38038
450,109030,37974
451,71497,37988
452,93522,38030
453,116540,37899
454,252182,40066
455,46947,38065
456,69955,37913
457,119536,38004
458,106840,37961
459,46846,37925
460,101719,37961
461,46937,37940
462,119653,37893
463,135846,37881
464,137677,37976
465,133933,37973
466,223599,38020
467,98985,37923
468,46821,37939
469,46815,37915
470,144608,38023
471,73174,37984
472,58086,37982
473,94000,37992
474,57997,37936
475,46678,37936
476,46738,37907
477,100734,37927
478,46866,37998
479,172875,37962
480,132836,37941
481,110061,39259
482,85899,37999
483,355550,38075
484,63048,37965
485,61886,37968
486,167824,37910
487,60381,37991
488,46848,37908
489,46949,37970
490,230575,38001
491,119436,37971
492,79342,37966
493,132470,38000
494,131475,37969
495,85003,38041
496,150203,37985
497,55028,38023
498,188982,37987
499,117951,37945
500,251488,38021
501,65804,37965
502,59196,37969
503,61309,37986
504,47521,37928
505,135019,37931
506,83420,38079
507,53565,40111
508,79581,38041
509,131262,38004
510,133988,37995
511,150859,37959
512,256583,37980
513,136774,37915
514,184472,37993
515,52363,38027
516,48182,38006
517,242525,37960
518,53959,38070
519,62736,37982
520,195021,37928
521,58979,37968
522,47019,37969
523,120257,37992
524,154791,37966
525,74687,37984
526,46921,37970
527,71173,38000
528,120564,37974
529,169405,38031
530,46814,37922
531,177243,38003
532,83261,37921
533,47290,39757
534,159332,38005
535,85899,38063
536,106845,37958
537,46940,38022
538,147296,37989
539,75798,37982
540,46843,38002
541,124525,37966
542,100681,37980
543,47205,38064
544,58313,37986
545,98628,37915
546,128264,37945
547,61489,38025
548,217282,37971
549,74254,37907
550,95743,38003
551,222190,37973
552,46779,37979
553,105628,38042
554,104421,38009
555,60347,38022
556,83375,38045
557,60708,38068
558,194610,37979
559,73640,38036
560,57733,39684
561,46895,38093
562,276090,38039
563,62019,38028
564,71378,37976
565,61486,37949
566,224838,37997
567,105877,37961
568,149099,37966
569,90680,38028
570,46854,37919
571,70933,37989
572,46747,38026
573,136080,37915
574,46906,38013
575,138770,37970
576,186077,38025
577,46751,37970
578,112404,37941
579,46785,38044
580,46857,37999
581,46728,37974
582,74685,37959
583,73173,37982
584,46786,38001
585,129188,38029
586,110921,39206
587,60574,38010
588,59186,37999
589,223307,38005
590,172369,37927
591,112971,37947
592,87035,37967
593,93413,37928
594,71824,38005
595,46895,38055
596,140109,38075
597,109991,37958
598,96028,37992
599,91708,37975
600,71181,37963
601,92154,37936
602,88735,38022
603,61316,37975
604,229443,37937
605,94969,37948
606,88077,37990
607,126700,38015
608,55778,38010
609,64783,37988
610,76266,37932
611,46926,37939
612,73682,39294
613,172263,38056
614,64095,38068
615,82600,37999
616,86336,38032
617,62524,37943
618,61782,37930
619,112530,37941
620,48546,37960
621,116499,37973
622,69795,37905
623,46918,37952
624,59929,38010
625,98269,38022
626,61296,38028
627,61313,38010
628,72463,37969
629,62406,38026
630,60494,37923
631,233247,37994
632,46774,37967
633,149581,38070
634,198731,37978
635,58690,37973
636,46738,37946
637,46792,38012
638,46858,39455
639,121815,37990
640,46830,38025
641,75825,37983
642,59378,37946
643,72918,37989
644,72952,37927
645,70939,37983
646,48587,38013
647,47022,37973
648,180988,37998
649,105650,38054
650,109174,37892
651,71375,38065
652,62599,37951
653,160612,37923
654,74427,37987
655,182760,37898
656,46923,38028
657,58988,37957
658,144388,37960
659,112421,38049
660,73764,37989
661,46733,37982
662,84785,37995
663,70184,37902
664,115989,37953
665,135497,39642
666,59272,37936
667,71013,38005
668,111681,37961
669,95432,37977
670,59254,38028
671,88374,37973
672,46779,38065
673,123263,37952
674,135115,37994
675,94296,37992
676,82790,37951
677,109512,38008
678,61244,37964
679,46851,37961
680,46923,38003
681,94844,37979
682,69351,37937
683,46854,37941
684,61307,38084
685,60617,37960
686,60567,37967
687,46772,37962
688,259586,37890
689,132398,37956
690,75168,38036
691,82032,39088
692,255709,37974
693,95898,37944
694,46909,37992
695,57761,38012
696,95465,37968
697,46713,38012
698,84115,37882
699,217632,38035
700,46791,37987
701,140477,37942
702,123721,37878
703,84880,37975
704,111517,38012
705,194105,38002
706,70334,37949
707,95877,37967
708,119159,38031
709,60675,38005
710,59447,38042
711,149007,38055
712,58137,38076
713,130416,38036
714,106773,37924
715,101213,37919
716,147582,38035
717,58499,39332
718,97550,38063
719,99312,38004
720,82707,38004
721,58737,38031
722,71831,37955
723,46880,38044
724,215990,37973
725,110705,38072
726,188909,37995
727,84922,37969
728,46875,38004
729,135361,37895
730,143268,37963
731,46832,37984
732,101003,38046
733,70646,37916
734,46925,37899
735,61274,38063
736,100353,37964
737,94987,38014
738,217947,37976
739,71957,38066
740,85978,37891
741,46883,37961
742,124432,37979
743,60289,39294
744,47870,38067
745,153268,37975
746,57776,37983
747,55565,37916
748,83437,38138
749,114532,38212
750,116755,37955
751,60629,38002
752,99874,38011
753,111041,37957
754,164641,37982
755,56065,37947
756,55963,37952
757,105178,37969
758,197912,38275
759,212220,37916
760,149965,37958
761,181769,38004
762,154194,38089
763,75207,38194
764,255542,38041
765,80644,38010
766,66334,37993
767,105241,42921
768,70710,45153
769,60133,47982
770,134349,51266
771,60101,45745
772,58552,57821
773,155432,49661
774,46872,39270
775,95772,39657
776,71311,37956
777,73898,37996
778,75240,39935
779,60619,37925
780,213084,38010
781,46882,38015
782,60064,38020
783,58440,37930
784,108388,38125
785,128973,38049
786,58741,37941
787,73180,38007
788,159617,37984
789,194299,38052
790,116003,37979
791,69069,38013
792,83939,38054
793,83415,38139
794,68932,42773
795,97840,38122
796,81705,38077
797,114080,38116
798,74232,38628
799,90249,39901
800,46762,38051
801,213957,38088
802,70336,38014
803,71613,38063
804,71454,38018
805,46719,38047
806,114174,37962
807,342630,38072
808,71542,38067
809,241625,37985
810,119280,37897
811,271618,38021
812,85233,37910
813,147269,38050
814,66145,38089
815,288679,38015
816,73661,38034
817,149275,38028
818,146964,38063
819,301466,37971
820,46858,40628
821,46852,37986
822,158783,37987
823,58231,37972
824,58560,38058
825,175289,37934
826,46823,37910
827,307053,37936
828,287603,37911
829,438977,38029
830,225940,37969
