iter,sign_ns,verify_ns
0,575326,94207
1,254400,89728
2,171689,89232
3,254535,89243
4,178076,88956
5,174633,94771
6,492604,89648
7,434550,90643
8,333432,89517
9,255371,90317
10,493543,91337
11,284298,89576
12,195796,96525
13,585977,89378
14,255348,89618
15,495883,89715
16,493632,89727
17,1290625,95287
18,495529,98555
19,334990,107713
20,616663,138014
21,914168,169368
22,179759,150984
23,253750,130519
24,178130,114804
25,177208,118772
26,572383,90061
27,361863,89365
28,744120,89261
29,615754,90798
30,174087,113978
31,174145,98270
32,173830,90278
33,346691,89591
34,336805,88646
35,496047,88822
36,575220,88761
37,418498,88858
38,175802,89025
39,1536843,91325
40,176755,89290
41,418123,90377
42,177210,89785
43,255817,89687
44,257397,89488
45,1271601,89730
46,535220,90226
47,317067,90608
48,441257,89446
49,496333,89036
50,345683,91669
51,176051,88870
52,971381,88564
53,421909,88481
54,336883,88810
55,412923,88731
56,254578,89419
57,177757,89572
58,892748,89158
59,751655,90035
60,254672,88732
61,173888,89166
62,1048461,91065
63,653703,89317
64,174635,89291
65,651424,89447
66,257051,88938
67,1050294,90934
68,414668,93876
69,1132031,90801
70,495887,90166
71,174050,89080
72,496005,95040
73,341194,92821
74,331802,89203
75,182737,90133
76,178472,89125
77,272808,89261
78,350895,88980
79,413312,90241
80,339677,89671
81,255829,89859
82,254416,88589
83,1259199,88882
84,449631,90802
85,175584,90430
86,831234,89587
87,174981,94251
88,174977,88513
89,177053,88497
90,261657,88738
91,171971,94580
92,729970,89067
93,731429,90021
94,341034,89012
95,490705,90743
96,396420,89705
97,227511,89811
98,421915,89384
99,450385,89653
100,276271,89792
101,258260,89275
102,440817,89311
103,739980,90592
104,176583,93509
105,253188,91815
106,1862832,108988
107,335865,96805
108,333628,113514
109,904937,99241
110,338156,95818
111,412912,97805
112,257958,97043
113,815817,89524
114,253701,90973
115,581626,90626
116,573357,90909
117,575476,89334
118,178822,89185
119,177097,90521
120,179127,90370
121,173997,89048
122,276968,89625
123,735274,90176
124,177128,88589
125,732473,89068
126,413682,88955
127,251223,90710
128,495450,90620
129,571996,90223
130,966828,90523
131,176132,90794
132,824363,89380
133,650485,89202
134,172247,90275
135,743902,89400
136,808140,89003
137,174755,90521
138,176917,92206
139,892586,89689
140,254037,91399
141,417860,89204
142,418137,88890
143,513323,90415
144,252938,90366
145,651281,89088
146,1372318,90372
147,492963,89236
148,898146,89114
149,257676,91843
150,571767,88883
151,340547,90902
152,254179,88963
153,256574,89366
154,499205,89316
155,174048,89560
156,171962,89267
157,418320,88256
158,499291,88199
159,260288,89244
160,335333,89260
161,256301,91914
162,250895,89308
163,1047961,89058
164,491359,89298
165,500895,88962
166,818603,89135
167,340092,90074
168,172775,90490
169,255505,89203
170,1364039,90042
171,490583,88902
172,493851,90472
173,172661,90654
174,179896,92098
175,499293,89235
176,257064,88588
177,1530100,89278
178,493048,88732
179,253256,89297
180,174468,88424
181,572097,88840
182,512546,89022
183,174525,90468
184,331945,89325
185,180315,89729
186,255458,95077
187,340421,88827
188,493322,88514
189,578731,88912
190,980590,94799
191,495727,105954
192,256594,99138
193,332046,111752
194,734879,103015
195,815832,94930
196,174407,91040
197,252787,88893
198,250734,89316
199,252640,89959
200,574308,89383
201,175228,90413
202,172979,89540
203,177882,89891
204,254818,99307
205,417325,91471
206,254907,98112
207,260586,95547
208,410900,90631
209,255528,90236
210,175053,90017
211,174451,90012
212,413133,89102
213,173888,89687
214,888816,88922
215,337556,92326
216,731691,88979
217,434394,92380
218,258591,89581
219,173207,88966
220,575625,88799
221,175033,88884
222,253815,89161
223,332916,89019
224,177891,88844
225,338528,88975
226,337104,90584
227,177013,89865
228,492752,89492
229,173739,89157
230,579067,89883
231,1131597,89038
232,254572,89351
233,586857,90364
234,337435,90392
235,1054533,89408
236,577096,89291
237,816392,89451
238,255185,95780
239,174056,100102
240,171200,88542
241,1534089,88771
242,727166,88807
243,1299543,92964
244,257636,89733
245,173589,89386
246,497774,90929
247,972339,90690
248,177542,89520
249,250767,90632
250,334203,89293
251,415187,89027
252,335504,88533
253,177269,90252
254,254110,88500
255,572297,89598
256,173345,89304
257,172825,88166
258,259428,88836
259,576927,88079
260,341303,90670
261,1370221,89018
262,171693,88594
263,1047939,88694
264,172408,88686
265,178336,89171
266,415528,89066
267,595230,90201
268,651341,88734
269,336180,89488
270,572810,88535
271,331917,90178
272,176385,89243
273,250542,88593
274,414429,89455
275,658388,88673
276,177005,88205
277,254762,88618
278,659301,88738
279,583426,88803
280,731818,88789
281,335777,88729
282,260010,90387
283,254433,90317
284,258649,90273
285,178296,93987
286,187752,89165
287,256639,88476
288,1073296,88373
289,292635,88550
290,228115,94640
291,500301,89453
292,813678,89208
293,174630,91013
294,420386,89146
295,255574,88979
296,417400,88722
297,731168,90405
298,418798,89944
299,658163,88734
300,868749,88347
301,426231,88507
302,833820,88235
303,176689,88405
304,340943,89035
305,332785,91825
306,974584,90083
307,255335,94004
308,172238,89197
309,1324517,89487
310,664737,89343
311,351581,89395
312,175369,94916
313,174682,89019
314,173692,89034
315,177165,88944
316,410201,91596
317,411160,88958
318,730688,89433
319,416618,89793
320,181450,89097
321,495523,88658
322,1222435,88423
323,572243,93909
324,254010,93001
325,737045,88663
326,334282,91723
327,735509,112730
328,573997,92503
329,175849,123775
330,416986,97602
331,253349,91774
332,176222,125265
333,569121,130611
334,608841,130185
335,425767,137288
336,340531,190504
337,897471,143665
